"sample_name","uploader","upload_date","overall_job_status","runtime_seconds","total_reads","passed_filters","passed_filters_percent","total_ercc_reads","subsampled_fraction","quality_control","compression_ratio","reads_after_star","reads_after_trimmomatic","reads_after_priceseq","reads_after_cdhitdup","reads_after_idseq_dedup","reads_after_czid_dedup","host_organism","notes","insert_size_median","insert_size_mode","insert_size_median_absolute_deviation","insert_size_min","insert_size_max","insert_size_mean","insert_size_standard_deviation","insert_size_read_pairs","sample_type","nucleotide_type"
"AM_N_068","Lauren Mee","2022-09-08 07:38:16 -0700","COMPLETE",13250,47023956,21151562,44.98,0,0.450894,96.659,4.59,22363876,22360004,21616708,NA,NA,4705786,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abdomen","RNA"
"AM_N_072","Lauren Mee","2022-09-08 07:38:16 -0700","COMPLETE",21604,58727372,33190070,56.516,0,0.322384,96.525,5.15,35063728,35059684,33845340,NA,NA,6569188,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Abdomen","RNA"
"SRR18500045","Lauren Mee","2022-09-12 09:48:45 -0700","COMPLETE",7730,55804110,3663068,6.564,0,1,97.49,4.35,4133362,4065070,4029592,NA,NA,927180,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR5109820","Lauren Mee","2022-09-12 12:49:38 -0700","COMPLETE",15453,40214438,10788810,26.828,0,0.268833,91.095,1.44,13838024,13834600,12605756,NA,NA,8755456,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thorax and Abdomen","RNA"
"SRR5109826","Lauren Mee","2022-09-12 13:01:54 -0700","COMPLETE",13319,84044582,32107222,38.203,0,0.301947,93.657,4.28,36877094,36870848,34537920,NA,NA,8071804,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thorax and Abdomen","RNA"
"SRR5109829","Lauren Mee","2022-09-12 13:15:32 -0700","COMPLETE",14641,90787598,49229325,54.225,12,0.195034,93.893,4.58,53927362,53920198,50633836,NA,NA,11047372,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thorax and Abdomen","RNA"
"SRR5109831","Lauren Mee","2022-09-12 13:24:36 -0700","COMPLETE",12593,37640156,3503022,9.307,0,0.94364,84.854,1.65,5449796,5336026,4624368,NA,NA,2805780,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thorax and Abdomen","RNA"
"SRR5109832","Lauren Mee","2022-09-12 13:37:38 -0700","COMPLETE",14085,89462246,10964692,12.256,4,0.344475,91.627,1.91,15091468,15076242,13827898,NA,NA,7255220,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thorax and Abdomen","RNA"
"SRR5109833","Lauren Mee","2022-09-12 13:48:43 -0700","COMPLETE",12670,41030460,7322876,17.847,2,0.484788,91.034,1.74,9310580,9307700,8475822,NA,NA,4884552,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Thorax and Abdomen","RNA"
"SRR18500044","Lauren Mee","2022-09-12 14:20:26 -0700","COMPLETE",6006,61748118,249190,0.404,0,1,89.672,1.66,629220,578646,564234,NA,NA,339794,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500043","Lauren Mee","2022-09-12 14:31:28 -0700","COMPLETE",7127,49980378,1084470,2.17,0,1,92.894,1.91,1718296,1624946,1596196,NA,NA,836070,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500042","Lauren Mee","2022-09-12 14:42:28 -0700","COMPLETE",13055,55614222,19425307,34.929,0,0.49936,98.624,4.62,20515016,20375028,20232712,NA,NA,4379372,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500050","Lauren Mee","2022-09-12 14:52:34 -0700","COMPLETE",7705,46685198,5654588,12.112,2,1,94.796,4.13,6925048,6655100,6564644,NA,NA,1589874,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500061","Lauren Mee","2022-09-12 15:03:20 -0700","COMPLETE",3931,52798936,311124,0.589,0,1,87.293,1.73,723374,649622,631456,NA,NA,365484,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500072","Lauren Mee","2022-09-12 15:15:15 -0700","COMPLETE",7954,44812704,1883780,4.204,0,1,95.122,2.35,2509354,2418184,2386952,NA,NA,1016076,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500076","Lauren Mee","2022-09-12 15:27:06 -0700","COMPLETE",6138,49473290,782276,1.581,0,1,89.42,2.03,1558938,1428354,1394002,NA,NA,687886,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500077","Lauren Mee","2022-09-12 15:37:55 -0700","COMPLETE",11288,53602794,5809238,10.838,4,1,97.666,3.99,6393878,6294972,6244642,NA,NA,1563566,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500078","Lauren Mee","2022-09-12 15:52:53 -0700","COMPLETE",7642,60261536,5518262,9.157,0,1,97.541,4.57,6131396,6029510,5980602,NA,NA,1309754,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500079","Lauren Mee","2022-09-12 16:07:44 -0700","COMPLETE",10988,57307776,14422640,25.167,4,0.793527,98.808,5.45,14979362,14891142,14800848,NA,NA,2715954,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500080","Lauren Mee","2022-09-12 16:22:09 -0700","COMPLETE",8720,59327672,2821636,4.756,6,1,94.86,2.26,3714062,3571848,3523162,NA,NA,1558994,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500081","Lauren Mee","2022-09-13 02:28:33 -0700","COMPLETE",6271,70006470,430086,0.614,0,1,91.578,1.82,911994,852932,835184,NA,NA,460098,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500082","Lauren Mee","2022-09-13 02:42:22 -0700","COMPLETE",5353,56283654,368188,0.654,0,1,88.878,1.77,832480,758064,739892,NA,NA,417914,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500083","Lauren Mee","2022-09-13 02:53:28 -0700","COMPLETE",6091,61193534,1663444,2.718,0,1,93.377,2.94,2465000,2341814,2301744,NA,NA,783868,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500084","Lauren Mee","2022-09-13 03:02:48 -0700","COMPLETE",7056,58357552,3278296,5.618,0,1,96.161,3.61,4084092,3970934,3927310,NA,NA,1088748,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500085","Lauren Mee","2022-09-13 03:09:13 -0700","COMPLETE",10927,42643264,2819918,6.613,0,1,97.421,1.89,4649048,4571794,4529124,NA,NA,2396176,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500086","Lauren Mee","2022-09-13 03:15:56 -0700","COMPLETE",6758,47757222,887274,1.858,0,1,92.308,2.03,1647936,1550572,1521176,NA,NA,750036,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500087","Lauren Mee","2022-09-13 03:23:42 -0700","COMPLETE",5518,52955132,795010,1.501,0,1,95.045,1.69,1313532,1267382,1248448,NA,NA,738936,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500088","Lauren Mee","2022-09-13 03:31:48 -0700","COMPLETE",8148,43416592,1488066,3.427,0,1,98.606,2.46,3430908,3405128,3383096,NA,NA,1377060,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500089","Lauren Mee","2022-09-13 03:40:00 -0700","COMPLETE",7105,45018452,3889498,8.64,0,1,97.896,4.14,4250164,4195534,4160734,NA,NA,1004604,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500090","Lauren Mee","2022-09-13 03:50:18 -0700","COMPLETE",10978,53962136,14197653,26.31,0,0.685702,98.834,4.6,15195172,15107368,15017922,NA,NA,3261348,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
"SRR18500091","Lauren Mee","2022-09-13 04:03:36 -0700","COMPLETE",7468,69089802,4608902,6.671,0,1,97.521,3.23,5296682,5210892,5165356,NA,NA,1599820,"Bee",NA,NA,NA,NA,NA,NA,NA,NA,NA,"10 Pooled Whole Bodies","RNA"
