AM_N_068 CA_N_007 CA_N_030 SRR10034516 SRR10034517 SRR10034518 SRR10034523 SRR10765021 SRR11426432 SRR11426433 SRR11440495 SRR11440496 SRR11445089 SRR11445090 SRR11445091 SRR11448239 SRR11448240 SRR11448241 SRR12053407 SRR12053408 SRR12053418 SRR12053420 SRR12053426 SRR12053430 SRR12233820 SRR12235348 SRR12244814 SRR12245258 SRR12245523 SRR12527928 SRR12527929 SRR12527932 SRR12527933 SRR12527934 SRR12527935 SRR12527936 SRR12527961 SRR12527962 SRR12527963 SRR12527964 SRR12527965 SRR12527966 SRR13404631 SRR13404632 SRR13404634 SRR13404636 SRR13404640 SRR13404641 SRR13442813 SRR13442815 SRR13442818 SRR13442822 SRR13442824 SRR13442825 SRR13442827 SRR13442828 SRR13442829 SRR13442830 SRR13442831 SRR13769013 SRR13769014 SRR13769015 SRR13769016 SRR13769017 SRR13769018 SRR13769019 SRR14567209 SRR14567210 SRR14567211 SRR14567212 SRR14567213 SRR14567214 SRR14567217 SRR14567218 SRR14567219 SRR14567220 SRR14567221 SRR14567222 SRR1503066 SRR1503113 SRR1503129 SRR1503133 SRR15496107 SRR15496114 SRR15496115 SRR17475010 SRR18500042 SRR18500043 SRR18500044 SRR18500045 SRR18500050 SRR18500061 SRR18500072 SRR18500076 SRR18500077 SRR18500078 SRR18500079 SRR18500080 SRR18500081 SRR18500082 SRR18500084 SRR18500085 SRR18500086 SRR18500087 SRR18500088 SRR18500090 SRR18500091 SRR2001612 SRR2001766 SRR2396653 SRR2895251 SRR2915407 SRR2954866 SRR3383868 SRR3948521 SRR3948531 SRR3948533 SRR3948536 SRR3948544 SRR3948548 SRR3948562 SRR3948566 SRR3948570 SRR3948572 SRR3948575 SRR3948577 SRR5109820 SRR5109826 SRR5109829 SRR5109831 SRR5109832 SRR5109833 SRR5117446 SRR5117450 SRR5253659 SRR5387735 SRR5387737 SRR5387738 SRR6148364 SRR6148366 SRR6148368 SRR6148369 SRR6148370 SRR6148371 SRR6148372 SRR6148374 SRR6148376 SRR6148378 SRR6148379 SRR8335253 SRR8335256 SRR8335258 SRR8754036 SRR8754038 SRR8754044 SRR8867392 SRR8867393 SRR8867394 SRR8867395
TRH1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00234100663285213 0 0 0 0 0 0 0 0 0 0 0 0 0.505952380952381 0.0719178082191781 0 0 0 0 0.0431519699812383 0 0.00524922190737214 0.0092654986522911 0.00527546053054835 0 0 0 0.050535981729057 0 0.0678807947019868 0 0 0 0 0 0.0289179104477612 0 0 0 0 0.0457920792079208 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0144579216386269 0 0 0.0321709233791749 0 0 0 0 0 0.118881118881119 0.181008902077151 0 0 0 0.313131313131313 0 0.198412698412698 0.140127388535032 0 0 0 0 0 0 0 0 0 0 0 0.939764761791612 0 0 0 0 0 0 0 0.00024219841639497 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRH13 0 0 0 0 0 0 0 0.479099678456592 0 0 0 0 0 0 0 0 0 0.00446585967798801 0 0 0 0 0 0 0 0 0.375802997858672 0.471304347826087 0.168859649122807 0.0752984389348026 0 0 0.219178082191781 0 0.877450980392157 0.012998266897747 0.0891089108910891 0 0.000390167772142021 0.0199313542482086 0.020633850303439 0.151597890164443 0 0 0 0 0 0 0 0.000267043824858813 0.413533834586466 0 0.0616438356164384 0 0 0.0588945884906949 0.619426751592357 0.452782989368355 0.422727272727273 0.00070841269103916 0.000909703504043127 0.000659432566318543 0 0 0.000625660492431611 0.000703635713246827 0.186394557823129 0 0.00698802053622362 0.0725552050473186 0.00460602072709327 0.208616780045351 0.000302254059649839 0.239738805970149 0.168765743073048 0.000386633041308226 0.00197208737864078 0.000146895824152344 0.675742574257426 0 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.207514734774067 0 0 0.819747416762342 0.814320388349515 0 0.475524475524476 0 0 0 0 0 0 0.214285714285714 0 0.17258883248731 0 0 0 0 0 0 0 0 0 0 0.0364738030177023 0 0 0 9.65103467134206e-05 0.000647332988089073 0 0 0.000260829063809967 0 0 0 0.00261096605744125 0 0 1 0.38876404494382 1 0 0 0 0 0 0 0
TRH21 0 0.504424778761062 0.211009174311927 0 0 0 0 0 0 0 0 0 0 0.00457065787501873 0.0049429210309521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0148242401671736 0.135696821515892 0.0977601493233784 0 0 0 0 0.0134944863248396 0 0.299527062532843 0.12998222899213 0.0234053497942387 0.0378317965912266 0.0641115593755481 0.0058446464939627 0.0297733153244048 0.00260020112052866 0 0.181985840918556 0.00121810098057129 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRH23 0 0.495575221238938 0.788990825688073 0.997836091554662 0.874453759029698 1 0.77591906240609 0 0.0891530460624071 0 0.202479338842975 0.100985221674877 0.166796570537802 0.217593286377941 0.108038131105096 0.0384268446689518 0.01364522417154 0.0123398754260195 0 0 0 0 0 0.218045112781955 0 0 0 0 0 0.0449954086317723 0 0 0 0 0.0735294117647059 0 0 0 0.0367538041357784 0.00174625158065876 0 0 0 0 0 0 0 0 0.393305439330544 0 0.210526315789474 0 0.164383561643836 0 0 0 0 0 0 0 0.0478436657681941 0 0.0200082673280529 0 0.0191010467983533 0 0 0.0463576158940397 0 0.135646687697161 0 0.0952380952380952 0 0.042910447761194 0.0285474391267842 0 0.0121359223300971 0 0 0 0 0 0 0 0 1 0.109159373512921 0.675816848188486 0.822911805879608 1 0.737527114967462 1 0.269074262461851 0.0708865491246651 0.438986354775828 0.601418812401471 0.87001777100787 0.147247942386831 0.209248393405979 0.284248377477635 0.0222276709984438 0.152345771427642 0.0182732366039362 0.053211246922645 0.644614988002459 0.0143173715254841 0.00576062005219471 0 0.0356090373280943 0.00205592105263158 0.16256157635468 0 0 0.00280898876404494 0 0 0 0 0 0.505050505050505 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0.000426254031317608 0 0 0.00159861453407047 0.000838379133674895 0.000686712120468926 0.0185810810810811 0.00534534763850178 0.0288946910356832 0 0.10546875 0 0 0 0 0 0 0 0 0 0
TRH54 0 0 0 0.00216390844533845 0.125546240970302 0 0 0 0.0237741456166419 0 0 0 0 0.00524501723362805 0.0058844297987525 0 0.0076200602516392 0 0 0 0 0 0 0 0.165497896213184 0.421915444348576 0 0 0 0.0238751147842057 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0589225589225589 0 0.472803347280335 0 0.37593984962406 0.154761904761905 0.164383561643836 0 0 0 0 0.0193871169480926 0 0.000487759557764668 0.000690700808625337 0 0 0 0 0 0 0 0 0 0 0.0453514739229025 0 0 0 0 0 0 0.0408415841584158 0 0 0 0 0 0 0 0.00161380423313264 0 0 0 0 0 0 0 0 0 0 0.0124099794238683 0 0 0 0 0.00188909639419624 0 0 0.00450697362811377 0 0 0.0105599214145383 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000747955187029009 0 0 0 0 0 0.00563063063063063 0 0.002088772845953 0 0 0 0 0 0 0 0 0 0 0 0
TRH101 0 0 0 0 0 0 0.0756285685665632 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.889514731369151 0 0 0 0 0 0 0 0.0286239676432689 0.0421020887426907 0.0643162454459393 0 0.0404077231067253 0 0 0 0 0 0 0 0.677988060015056 0 0 0 0.727841780090119 0.549326145552561 0.743582595269242 0.552824225938075 0.731963278259993 0.496301242382978 0.565715251598904 0.0285714285714286 0 0.408727895037079 0 0.49481822668202 0.0929705215419501 0.822569310634053 0.0485074626865672 0.0344248530646516 0.942927690834161 0 0 0 0 0 0 0 0 0 0 0.74156373492231 0 0 0 0 0 0 0.759915270076631 0 0 0 0.584683641975309 0.609080748812518 0.341080512190844 0.684714347906586 0.806309634234322 0 0 0.0991829773732326 0.193242350560092 0.92485009295546 0 0 0 0 0 0 0.316947565543071 0 0 0 0 0 0 0 0 0 0 0 0 0.354668651162791 0 0 0.071706414998087 0 0 0 0 0 0 0 0 0.790628845334127 0 0.756946078046995 0.669619662958769 0.770787144853284 0.385539804777554 0 0.733801687602612 0.654656222802437 0 0.0546875 0 0 0 0 0 0 0.216142330223476 0.0903208359892604 0 0.0683484556869215
TRH102 0 0 0 0 0 0 0.110688169888811 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0831889081455806 0 0 0 0 0 0 0 0.0213235260399231 0 0.384721305832066 0 0.325942381986739 0 0 0 0 0 0 0 0.0369579299357482 0 0 0 0.0591234263947601 0.031216307277628 0.0363224035512856 0.0313958450009334 0.0267835106734289 0.0302367520333966 0.0316203669126116 0 0 0.0221049629207074 0 0.0383286724790262 0 0.0471818587113398 0 0 0.0539089479187719 0.770175970873786 0.115540242778735 0 0 0 0 0 0 0 0 0.0181035731280905 0 0 0 0 0 0 0.0218677963989783 0 0 0 0.146894290123457 0.109974853310981 0 0.0285727153086704 0 0.00214049705502083 0.663974430959271 0.00344061712971226 0.00810974152834193 0.0535606741671103 0 0 0 0 0 0 0.182116104868914 0 0 0 0 0 0 0 0 0 0 0 0 0.0372747906976744 0 0 0.0135186838413468 0 0.388328461503116 0 0 0 0 0 0 0.090583002919438 0 0.0766094252332784 0.0777992406580963 0.106958546809502 0.0878255751214009 0 0.12760108434195 0.072236727589208 0 0.0390625 0 0 0 0 0 0 0.0100672597092645 0.00919433659770914 0 0.00232181590443895
TRH104 0 0 0 0 0 0 0.0377641991385355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00376944911931545 0.0134187708799411 0.00189334174818555 0 0.000910370759198698 0 0 0 0 0 0 0 0.0285194068523609 0 0 0 0 0 0.000176920932426926 0.000106675200682721 0.000118188106800335 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00576210870419796 0 0 0 0 0 0 0.00831100865989658 0 0 0 0 0.0136630343671417 0 0.0128502159216577 0.00542003656029465 0 0.176737355850214 0.00308366549665854 0.00223006179519975 0.0119707430327046 0 0 0 0 0 0 0.00936329588014981 0 0 0 0 0 0 0 0 0 0 0 0 0.00223702325581395 0 0 0.0198316541257493 0 0.00378553578939555 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRH111 0 0 0 0 0 0 0 0.234726688102894 0 0.188679245283019 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.110440034512511 0 0.12 0.507675438596491 0.0165289256198347 0 0 0.780821917808219 0 0 0 0 0 0 0 0.111665542818611 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.340909090909091 0.00867515213452873 0.109922506738544 0.0597242177950291 0.00692722084433421 0.00398363442332894 0.00702947965026104 0.00670222844182033 0.148299319727891 0 0 0 0.235400559302517 0.108843537414966 0.000362704871579806 0.227611940298507 0 0 0.00419700647249191 0 0.0445544554455446 0.194871794871795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.69047619047619 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00207146556188503 0 0 0 0.430200618040908 0.00957207207207207 0 0.00626631853785901 0.0290891750119218 0.53515625 0 0 0 0 0 0 0 0 0 0.00129074634161244
TRH114 0 0 0 0 0 0 0 0.106109324758842 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0139186295503212 0.0521739130434783 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00614334470989761 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.032520325203252 0 0 0.00035377358490566 0.000327035662970985 0 0 0 0.000361645171054235 0 0 0 0 0 0 0 0 0.0109151973131822 0 0 0 0.0668316831683168 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0157170923379175 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00190091481525484 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
