AM_N_068	CA_N_007	CA_N_030	SRR10034516	SRR10034517	SRR10034518	SRR10034523	SRR11426432	SRR11426433	SRR11440496	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12053426	SRR12053430	SRR12233820	SRR12235348	SRR12244814	SRR12245258	SRR12245523	SRR12527928	SRR12527929	SRR12527932	SRR12527933	SRR12527934	SRR12527935	SRR12527961	SRR12527962	SRR12527963	SRR12527964	SRR12527965	SRR12527966	SRR13404631	SRR13404632	SRR13404634	SRR13404636	SRR13404640	SRR13404641	SRR13442813	SRR13442815	SRR13442818	SRR13442824	SRR13442825	SRR13442827	SRR13442828	SRR13442829	SRR13442830	SRR13442831	SRR13769013	SRR13769014	SRR13769015	SRR13769016	SRR13769017	SRR13769018	SRR13769019	SRR14567209	SRR14567210	SRR14567211	SRR14567212	SRR14567213	SRR14567214	SRR14567217	SRR14567218	SRR14567219	SRR14567220	SRR14567221	SRR14567222	SRR1503066	SRR1503113	SRR1503129	SRR1503133	SRR17475010	SRR18500042	SRR18500043	SRR18500044	SRR18500045	SRR18500050	SRR18500061	SRR18500072	SRR18500076	SRR18500077	SRR18500078	SRR18500079	SRR18500080	SRR18500081	SRR18500082	SRR18500084	SRR18500085	SRR18500086	SRR18500087	SRR18500088	SRR18500090	SRR18500091	SRR2001612	SRR2001766	SRR2396653	SRR2895251	SRR2915407	SRR2954866	SRR3948521	SRR3948531	SRR3948533	SRR3948536	SRR3948544	SRR3948548	SRR3948566	SRR3948570	SRR3948572	SRR3948575	SRR3948577	SRR5109826	SRR5109829	SRR5109832	SRR5117446	SRR5117450	SRR5253659	SRR5387735	SRR5387737	SRR5387738	SRR6148364	SRR6148366	SRR6148371	SRR6148372	SRR6148374	SRR6148376	SRR6148378	SRR6148379	SRR8335253	SRR8335256	SRR8335258	SRR8754036	SRR8754038	SRR8754044	SRR8867392	SRR8867393	SRR8867394	SRR8867395
TRH1	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	21	0	0	0	0	69	0	452	550	984	0	0	0	12856	0	41	0	0	0	0	0	31	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3086	0	0	131	0	0	0	0	17	244	0	0	0	62	25	22	0	0	0	0	0	0	0	0	15820	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	0	0	0	0	1053	271	154	82	0	0	48	0	537	18	0	5	331	153	2443	0	0	0	0	0	0	0	432	110	18	0	0	3364	389	724	279	61	54	123	0	0	119	179	137	0	49	23	28	92	40	257	201	44	39	22	546	0	171	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	845	0	0	714	671	68	0	0	0	0	0	27	0	34	0	0	0	0	0	0	0	614	0	0	0	12	5	0	0	0	15	0	0	296	346	320	0	0	0	0	0	0	0
TRH21	0	57	23	0	0	0	0	0	0	0	0	61	42	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1433	1221	419	0	0	0	0	1083	0	1140	512	728	1354	731	1168	27444	362	0	18354	260	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH23	0	56	86	98220	39221	829	7746	60	0	41	1070	2904	918	213	77	105	0	58	0	0	0	0	0	49	0	0	0	0	45	0	0	471	29	0	0	0	0	0	0	0	0	94	0	56	48	0	0	0	0	0	0	0	2840	0	3001	0	3633	0	0	28	0	43	0	42	0	46	34	0	240	0	0	0	0	0	688	10552	6081	3527	424	680	515	1058	5689	1126	2289	3427	4580	7489	3241	4442	140427	2544	1232	65012	3056	1320	0	145	5	33	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	0	0	0	0	9292	15925	5060	53	0	28	33	140	166	0	27	0	0	0	0	0	0	0	0	0	0
TRH54	0	0	0	213	5631	0	0	16	0	0	0	70	50	0	43	0	0	0	118	489	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	0	113	0	100	48	0	0	0	0	31	0	42	41	0	0	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	33	0	0	0	0	156	0	0	0	0	0	0	0	0	0	0	386	0	0	0	0	263	0	0	962	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	93	0	0	10	0	12	0	0	0	0	0	0	0	0	0	0	0	0
TRH111	0	0	0	0	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	128	0	69	463	18	0	0	171	0	0	0	0	0	0	828	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	225	747	6525	11140	1039	1146	1337	1705	109	0	0	0	1431	48	48	244	0	0	83	0	36	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	319	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	17541	17	0	36	122	137	0	0	0	0	0	0	0	0	0	169
TRH114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	30	0	0	0	0	0	0	0	0	0	0	0	0	99	0	0	0	0	0	0	0	0	0	0	0	0	0	0	52	0	0	21	61	0	0	0	92	0	0	0	0	0	0	0	0	13	0	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH116	0	0	0	0	0	0	0	296	0	21	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0	0	0	0	0	100	0	0	15949	0	13275	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	74	66	0	0	0	836	0	0	0	0	0	0	0	0	33	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	63	0	30	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	53	0	0	0	0	0	0	0	0	0	0	0	0
TRH127	0	0	0	0	0	0	0	16	20	0	589	443	616	566	744	62	0	0	0	0	351	37	201	47	0	0	0	35	0	0	0	0	7	388	245	0	0	0	0	0	0	0	178	0	67	0	0	0	239	461	156	541	350	589	437	537	581	551	18	234	34	67	31	86	1242	61	77	0	663	148	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	180	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39	0	0	0	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH130	0	0	0	0	0	0	0	244	0	266	62	0	170	54	53	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	23	0	25	23	56	33	39	298	364	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	56	55	0	0	0	0	0	0	0	0	0	0	0	0
TRH152	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	58	1021	110	66	124	36	74	135	111	114	169	0	0	0	0	0	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH153	0	0	0	0	0	0	0	27	44	0	104	140	1698	219	137	183	0	0	162	402	24	0	38	591	0	0	0	0	0	0	0	0	0	0	53	367	137	0	0	81	0	0	0	0	0	448	0	254	0	120	0	90	42	131	83	374	141	83	0	0	25	21	0	0	0	49	89	0	2683	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	219	0	162	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	157	0	0	0	27	0	0	0	0	0	0	0	0	181	0	0	0	0	0	0	0	0
TRH159	0	0	0	0	0	0	0	0	22	0	0	0	0	75	69	0	42	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	348	0	0	593	0	532	687	59	0	75	0	578	31	27	84	0	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	143	0	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	186	0	0	0	0	53	0	0	0	0	0	0	0	0	0	0
TRH171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	168	0	37	0	42	26	0	0	0	0	87	0	0	0	0	0	0	0	0	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	108	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	363	0	0	0	0	0	0	0	0
TRH181	0	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	0	0	0	0	0	31	0	0	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	0	0	0	0	26	0	0	0	0	36	0	173	51	97	0	0	0	0	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15	0	24	0	0	83	0	0	0	0	0	0	0	0	0	0	0	0
TRH191	0	0	0	0	0	0	0	0	0	0	439	0	0	556	294	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	79	0	0	0	0	0	0	0	0	0	0	0	0	61	45	0	79	86	58	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
