AM_N_068	CA_N_007	CA_N_030	SRR10034516	SRR10034517	SRR10034518	SRR10034523	SRR11426432	SRR11426433	SRR11440496	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12053426	SRR12053430	SRR12233820	SRR12235348	SRR12244814	SRR12245258	SRR12245523	SRR12527928	SRR12527929	SRR12527932	SRR12527933	SRR12527934	SRR12527935	SRR12527961	SRR12527962	SRR12527963	SRR12527964	SRR12527965	SRR12527966	SRR13404631	SRR13404632	SRR13404634	SRR13404636	SRR13404640	SRR13404641	SRR13442813	SRR13442815	SRR13442818	SRR13442824	SRR13442825	SRR13442827	SRR13442828	SRR13442829	SRR13442830	SRR13442831	SRR13769013	SRR13769014	SRR13769015	SRR13769016	SRR13769017	SRR13769018	SRR13769019	SRR14567209	SRR14567210	SRR14567211	SRR14567212	SRR14567213	SRR14567214	SRR14567217	SRR14567218	SRR14567219	SRR14567220	SRR14567221	SRR14567222	SRR1503066	SRR1503113	SRR1503129	SRR1503133	SRR17475010	SRR18500042	SRR18500043	SRR18500044	SRR18500045	SRR18500050	SRR18500061	SRR18500072	SRR18500076	SRR18500077	SRR18500078	SRR18500079	SRR18500080	SRR18500081	SRR18500082	SRR18500084	SRR18500085	SRR18500086	SRR18500087	SRR18500088	SRR18500090	SRR18500091	SRR2001612	SRR2001766	SRR2396653	SRR2895251	SRR2915407	SRR2954866	SRR3948521	SRR3948531	SRR3948533	SRR3948536	SRR3948544	SRR3948548	SRR3948566	SRR3948570	SRR3948572	SRR3948575	SRR3948577	SRR5109826	SRR5109829	SRR5109832	SRR5117446	SRR5117450	SRR5253659	SRR5387735	SRR5387737	SRR5387738	SRR6148364	SRR6148366	SRR6148371	SRR6148372	SRR6148374	SRR6148376	SRR6148378	SRR6148379	SRR8335253	SRR8335256	SRR8335258	SRR8754036	SRR8754038	SRR8754044	SRR8867392	SRR8867393	SRR8867394	SRR8867395
Starmerella	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00234100663285213	0	0	0	0	0	0	0	0	0	0	0	0	0.0719178082191781	0	0	0	0	0.0431519699812383	0	0.10409949332105	0.040081620754992	0.0585226596883549	0	0	0	0.160089658178196	0	0.0678807947019868	0	0	0	0	0	0.0303921568627451	0	0	0	0	0.0457920792079208	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0187359601724243	0	0	0.0321709233791749	0	0	0	0	0.118881118881119	0.181008902077151	0	0	0	0.313131313131313	0.198412698412698	0.140127388535032	0	0	0	0	0	0	0	0	0.939764761791612	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Alternaria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0130674002751032	0	0	0	0	0.375802997858672	0.500924214417745	0.168859649122807	0.0955710955710956	0	0	0.219178082191781	0	0.877450980392157	0.0891089108910891	0	0.000390167772142021	0.0199313542482086	0.032109129066107	0.151597890164443	0	0	0	0	0	0	0	0.000267043824858813	0.413533834586466	0.0616438356164384	0	0	0.888536714210248	0.619426751592357	0.452782989368355	0.422727272727273	0.0140488254260709	0.00393528640139921	0.00731533246104437	0	0	0.00176413905566674	0.00222900193014134	0.209800918836141	0	0.0147590361445783	0.103603603603604	0.0124499777678968	0.241469816272966	0.0294767870302137	0.251960784313725	0.178349600709849	0.19047619047619	0.00858085808580858	0.000262636391853497	0.675742574257426	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.207514734774067	0	0	0.959677419354839	0.964080459770115	0.475524475524476	0	0	0	0	0	0.214285714285714	0	0.17258883248731	0	0	0	0	0	0	0	0.0364738030177023	0	0	0	0.046875	0.000648088139987038	0	0	0	0.0309917355371901	0	0	1	0.38876404494382	1	0	0	0	0	0	0	0
Wolfiporia	0	0.504424778761062	0.211009174311927	0	0	0	0	0	0	0	0	0.00918674698795181	0.00727650727650728	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.11802981632485	0.135696821515892	0.0977601493233784	0	0	0	0	0.111019989748847	0	0.299527062532843	0.12998222899213	0.127853881278539	0.141542964666527	0.107263389581805	0.156862745098039	0.160589835864127	0.00260577878233829	0	0.2082983407858	0.0015785319652723	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aspergillus	0	0.495575221238938	0.788990825688073	0.997836091554662	0.874453759029698	1	1	0.0891530460624071	0	0.100985221674877	0.272333927207941	0.437349397590361	0.159043659043659	0.050414201183432	0.0167719451099978	0.0361072902338377	0	0.218045112781955	0	0	0	0	0	0.0571095571095571	0	0	0	0	0.0735294117647059	0	0	0.0367538041357784	0.00174625158065876	0	0	0	0	0	0	0	0	0.393305439330544	0	0.210526315789474	0.164383561643836	0	0	0	0	0	0	0	0.206966914443959	0	0.0822011613892845	0	0.0538581276406493	0	0	0.0463576158940397	0	0.193693693693694	0	0.110236220472441	0	0.0450980392156863	0.0301685891748004	0	0.0528052805280528	0	0	0	0	0	1	0.869121159706779	0.675816848188486	0.822911805879608	1	0.737527114967462	1	0.269074262461851	0.583188108662224	0.438986354775828	0.601418812401471	0.87001777100787	0.804355461889708	0.782876855530002	0.475568598679384	0.596561912436207	0.82171508821206	0.0183124343156591	0.440471934215231	0.737816918991307	0.018553821868739	1	0	0.0356090373280943	0.00205592105263158	0.16256157635468	0	0	0	0	0	0	0	0.505050505050505	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0.20703125	0	0.00157153280574732	0.214285714285714	0.714285714285714	0.34297520661157	0	0.116379310344828	0	0	0	0	0	0	0	0	0	0
Penicillium	0	0	0	0.00216390844533845	0.125546240970302	0	0	0.0237741456166419	0	0	0	0.0105421686746988	0.00866250866250866	0	0.00936615116532346	0	0	0	0.165497896213184	0.421915444348576	0	0	0	0.0303030303030303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0723140495867769	0	0.472803347280335	0	0.37593984962406	0.164383561643836	0	0	0	0	0.0193871169480926	0	0.00967296176877015	0.0029879026380994	0	0	0	0	0	0	0	0	0	0	0.05249343832021	0	0	0	0	0	0	0.0408415841584158	0	0	0	0	0.0128490239683716	0	0	0	0	0	0	0	0	0	0	0.0677906568317527	0	0	0	0	0.00189314867335627	0	0	0.0058405682715075	0	0	0.0105599214145383	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.36328125	0	0	0.0649350649350649	0	0.0247933884297521	0	0	0	0	0	0	0	0	0	0	0	0
Metschnikowia	0	0	0	0	0	0	0	0	0.188679245283019	0	0	0	0	0	0	0	0	0	0	0.110440034512511	0	0.127541589648799	0.507675438596491	0.020979020979021	0	0	0.780821917808219	0	0	0	0	0	0	0.173767051416579	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.340909090909091	0.172040534315983	0.475513773502405	0.662543118829547	0.0284595157225814	0.0334627850614652	0.019820621154844	0.021231554697715	0.166921898928025	0	0	0	0.636282792352157	0.125984251968504	0.0353721444362564	0.23921568627451	0	0	0.0182618261826183	0	0.0445544554455446	0.194871794871795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69047619047619	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00207388204795852	0.984509176629062	0.11038961038961	0	0.0743801652892562	0.0290891750119218	0.59051724137931	0	0	0	0	0	0	0	0	0	0.00139693665842832
Bipolaris	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0139186295503212	0.055452865064695	0	0	0	0	0	0	0	0	0	0	0	0	0.00614334470989761	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.032520325203252	0	0	0.00153038915609969	0.0036279291066968	0	0	0	0.00114563227694415	0	0	0	0	0	0	0	0	0.0115350488021295	0	0	0	0.0668316831683168	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0157170923379175	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00190091481525484	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Fusarium	0	0	0	0	0	0	0	0.439821693907875	0	0.0517241379310345	0	0	0	0	0	0	0	0	0	0	0.010349750178444	0	0	0	0	0	0	0	0	0.495049504950495	0	0	0.96037815379057	0	0.823766677008998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0287679799874922	0	0.0170428374021188	0.00480979449059904	0	0	0	0.0123934474835075	0	0	0	0	0	0	0	0	0.0323529411764706	0.0133096716947649	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0174361493123772	0.0259046052631579	0	0.0403225806451613	0.0359195402298851	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0584415584415584	0	0.109504132231405	0	0	0	0	0	0	0	0	0	0	0	0
Aureobasidium	0	0	0	0	0	0	0	0.0237741456166419	0.188679245283019	0	0.149910918808857	0.0667168674698795	0.106722106722107	0.13396449704142	0.162056196906992	0.0213204951856946	0	0	0	0	0.125267665952891	0.0683918669131238	0.220394736842105	0.0547785547785548	0	0	0	0.0298889837745517	0	0	0	0	0.000421509002227976	0.0814270724029381	0.0152032268073224	0	0	0	0	0	0	0	0.000110031946353863	0	0.229452054794521	0	0	0	0.380573248407643	0.288305190744215	0.236363636363636	0.124596959926301	0.0255064859349949	0.0350303318663019	0.0119699791826449	0.015680205565451	0.00861314950707879	0.00686134113691551	0.0275650842266462	0.387417218543046	0.0102409638554217	0.301801801801802	0.0137839039573144	0.225721784776903	0.915254237288136	0.0598039215686275	0.0683229813664596	0	0.145874587458746	0.00176682663610534	0.073019801980198	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0442043222003929	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00231673993109184	0	0	0	0.0859375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Parastagonospora	0	0	0	0	0	0	0	0.362555720653789	0	0.655172413793103	0.0157800967167218	0	0.0294525294525295	0.0127810650887574	0.0115443258549336	0	0	0	0	0	0	0	0.0274122807017544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.133891213389121	0	0	0	0	0	0	0	0.0143839899937461	0	0.00575771533855366	0.00167614050429966	0.00333055786844296	0.00090391147145831	0.0011387858790551	0.00441775998814024	0.00453271900877903	0	0	0	0	0	0	0	0	0.00976042590949423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.285714285714286	0.113636363636364	0	0	0	0	0	0	0	0	0	0	0	0
