BT_N_025	SRR10034523	SRR11440495	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12053407	SRR12053408	SRR12053418	SRR12053420	SRR12053425	SRR12245258	SRR12527928	SRR12527929	SRR12527936	SRR12527965	SRR13404632	SRR13404634	SRR13404635	SRR13404636	SRR13404640	SRR13404641	SRR13442817	SRR13442824	SRR13442828	SRR13769013	SRR13769014	SRR13769015	SRR13769016	SRR13769017	SRR13769018	SRR13769019	SRR14567209	SRR14567210	SRR14567211	SRR14567212	SRR14567213	SRR14567214	SRR14567217	SRR14567218	SRR14567219	SRR14567220	SRR14567221	SRR14567222	SRR1503133	SRR15496107	SRR15496114	SRR15496115	SRR18500042	SRR18500076	SRR18500080	SRR18500081	SRR18500082	SRR18500084	SRR18500085	SRR18500086	SRR18500087	SRR18500088	SRR18500090	SRR18500091	SRR2001621	SRR2396653	SRR2915407	SRR2954866	SRR3383868	SRR3383870	SRR3948540	SRR5109820	SRR5109826	SRR5109829	SRR5109831	SRR5109833	SRR5117446	SRR6148364	SRR6148365	SRR6148366	SRR6148368	SRR6148369	SRR6148370	SRR6148371	SRR6148372	SRR6148373	SRR6148374	SRR6148376	SRR6148379	SRR8335251	SRR8335252	SRR8335253	SRR8335254	SRR8867392	SRR8867393	SRR8867395
TRH11	48	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH101	0	755	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2053	0	6242	19685	0	6726	0	36796	0	0	38726	62673	32608	138696	82917	210569	94396	143914	21	0	2866	0	3008	41	108858	52	41	107308	0	0	0	0	0	0	71684	60987	18186	21799	3889	136834	743228	0	0	10003	41247	211922	0	0	0	0	677	3	0	238293	0	0	2249	0	0	98306	0	0	28960	10053	41372	15720	0	0	19219	3761	14	0	0	0	0	4981	4676	8949
TRH102	0	1105	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	192	0	4650	0	0	40233	0	296809	0	0	2111	5091	1853	6775	4709	7705	5751	8044	0	0	155	0	233	0	6244	0	0	6135	15231	17304	0	0	0	0	1750	1755	4569	3936	0	5710	0	298	15373	347	1731	12273	0	0	0	0	389	6	0	25044	0	0	424	219731	0	11263	0	0	2931	1168	5741	3581	0	0	3342	415	10	0	0	0	0	232	476	304
TRH104	0	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	822	6274	0	198	0	829	0	0	1629	0	0	33	16	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	557	667	0	489	0	2568	4996	0	4092	311	476	2743	0	0	0	0	20	0	0	1503	0	0	622	2142	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH162	0	0	174	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9066	27085	0	7557	0	418877	0	0	10523	13780	10444	24057	22553	34644	20042	21546	0	0	644	0	558	19	15880	0	23	0	0	48696	0	0	0	0	10534	7091	1954	0	698	47283	0	0	0	2079	5283	0	0	0	0	0	424	5	0	406466	0	0	28069	343965	0	14514	0	4	6368	1956	6477	3546	0	0	3434	925	0	0	0	0	0	1164	829	700
TRH185	0	0	0	2486	6706	2725	1318	1052	5601	135	30	0	189	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	95	0	0	0	0	0	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH210	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH319	0	0	0	0	0	0	0	0	698	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH336	0	0	0	0	0	0	0	0	0	0	0	1055	0	0	34	231	30	0	2650	0	0	0	0	67	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	111	345	366	0	0	701	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	158	0	0	0	0	0	0	0	0	0	0	0	0	0	0	126	0	0	0	0	0	0	0	0
TRH360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
