AM_N_072	BT_N_001	BT_N_025	BT_N_029	CA_N_007	CA_N_012	CA_N_030	ERR10123638	SRR10034516	SRR10034517	SRR10034518	SRR10034523	SRR11426431	SRR11426432	SRR11426433	SRR11440494	SRR11440495	SRR11440496	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12053407	SRR12053410	SRR12053411	SRR12053412	SRR12053413	SRR12053415	SRR12053416	SRR12053417	SRR12053419	SRR12053421	SRR12053422	SRR12053423	SRR12053424	SRR12053425	SRR12053426	SRR12053427	SRR12053428	SRR12053429	SRR12053430	SRR12053431	SRR12053432	SRR12053435	SRR12053436	SRR12053437	SRR12233573	SRR12233820	SRR12235348	SRR12244814	SRR12245258	SRR12245523	SRR12527928	SRR12527929	SRR12527930	SRR12527933	SRR12527934	SRR12527935	SRR12527936	SRR12527961	SRR12527963	SRR12527964	SRR13189057	SRR13189058	SRR13189059	SRR13189063	SRR13189066	SRR13189067	SRR13404631	SRR13404632	SRR13404633	SRR13404634	SRR13404635	SRR13404636	SRR13404640	SRR13404641	SRR13442815	SRR13442818	SRR13442819	SRR13442828	SRR13442829	SRR13442831	SRR13769013	SRR13769014	SRR13769015	SRR13769016	SRR13769017	SRR13769018	SRR13769019	SRR1380984	SRR14567209	SRR14567210	SRR14567211	SRR14567212	SRR14567213	SRR14567214	SRR14567217	SRR14567218	SRR14567219	SRR14567220	SRR14567221	SRR14567222	SRR1503088	SRR1503113	SRR15496106	SRR15496107	SRR15496108	SRR15496109	SRR15496114	SRR15496115	SRR17475010	SRR17475011	SRR17475012	SRR17475013	SRR17475014	SRR1790685	SRR1790686	SRR1790687	SRR18500042	SRR18500043	SRR18500044	SRR18500045	SRR18500050	SRR18500061	SRR18500072	SRR18500076	SRR18500077	SRR18500078	SRR18500079	SRR18500080	SRR18500081	SRR18500082	SRR18500083	SRR18500084	SRR18500085	SRR18500086	SRR18500087	SRR18500088	SRR18500089	SRR18500090	SRR18500091	SRR2001621	SRR2396653	SRR2895245	SRR2895246	SRR2895247	SRR2895248	SRR2895249	SRR2895250	SRR2895251	SRR2915407	SRR2954866	SRR3383868	SRR3383869	SRR3383871	SRR3948521	SRR3948528	SRR3948531	SRR3948533	SRR3948536	SRR3948537	SRR3948540	SRR3948542	SRR3948544	SRR3948548	SRR3948550	SRR3948554	SRR3948556	SRR3948560	SRR3948563	SRR3948564	SRR3948566	SRR3948568	SRR3948570	SRR3948572	SRR3948575	SRR3948577	SRR5109820	SRR5109826	SRR5109829	SRR5109831	SRR5109832	SRR5109833	SRR5117442	SRR5117444	SRR5117446	SRR5117447	SRR5117448	SRR5117450	SRR5387735	SRR5387737	SRR5387738	SRR6148364	SRR6148365	SRR6148366	SRR6148367	SRR6148368	SRR6148369	SRR6148370	SRR6148371	SRR6148372	SRR6148373	SRR6148374	SRR6148375	SRR6148376	SRR6148377	SRR6148378	SRR6148379	SRR8335251	SRR8335252	SRR8335253	SRR8335254	SRR8754036	SRR8754037	SRR8754038	SRR8754039	SRR8754040	SRR8754041	SRR8754042	SRR8754043	SRR8754044	SRR8867392	SRR8867393	SRR8867394	SRR8867395
Gilliamella	0.56985478217326	0.488540197461213	0.324230254350736	0.324850299401198	0	0	0	0.351077516886459	0	0	0	0	0.00110876564532293	0.000929776078927658	0.000726819644896688	0	0	0	0.00304714106470694	0.0268952357876246	0.0224799590653249	0.00412889753689906	0.00238457520495992	0.00153847406165292	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00081593182436312	0.0240365774003919	0	0	0.0574585635359116	0	0.877250824245498	0.000128358719835701	0.00126760969145228	0	0	0	0	0.0116189000774593	0.181352342775026	0.222499234020407	0.368759569572967	0.543888158064433	0	0.102215868477484	0	0.52753306637544	0.136149543715043	0.427145463116686	0	0.45178615202906	0	0.774912008207817	0.139723212666949	0	0.088556749182625	0.0669766744168604	0	0.23722456633849	0.0176857949200376	0.2960410038883	0.147709320695103	0.229402808323465	0.167928423950447	0.0875276209182421	0.0474357211604565	0.0636417206835592	0.00831934612858498	0.0019364135819148	0.00480085825398954	0.0121064239125334	0.0123070381612671	0.0154247868716388	0.00400925212027756	0.00158941968389526	0.00338952814200339	0.00141062672130046	0.000953903269052284	0.00806899102931656	0.0557092058474911	0	0.430723202310946	0.43736311870346	0.040983606557377	0	0.286425094645754	0.272016505592355	0	0	0	0	0	0	0	0	0.11452227732918	0.064081607265037	0.311730477851768	0.111306266747731	0.249714612400161	0.174598272759219	0.203048692152918	0.164538847604543	0.472266050965891	0.343702296550086	0.336519375020472	0.233530601867379	0.305853868860071	0.334323381226141	0.182005422194146	0.24021542375369	0.232175673935691	0.408166637890635	0.142196027068326	0.203265957446809	0	0.21120551602035	0.2176666570928	0	0	0	0	0	0	0	0	0	0	0	0.38785046728972	0.365443425076453	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.346382587300257	0.413628649193057	0.729734578219921	0.401246719395816	0.377215472884987	0.396191779735183	0.00168726344110539	0	6.52131343576119e-05	0.772543741588156	0	0.780420860018298	0.125576811074773	0.0773940164029109	0.0747954173486088	0	0	0.0115571522891251	0	0.00209222938664644	0.078279465316881	0.00589712982593668	0	0.0101371109233868	0	0.00100149565469484	0	0.00811625112137985	0	0.00210502183178583	0	0	0	0	0	0.513225161146922	0.238845144356955	0.487009773598911	0.401358112937813	0.550484748167415	0.383412644459551	0.415869805075395	0.443123314537877	0.894707047834701	0.560961313012896	0.641035218783351	0.795341922695738	0.602179836512262
Snodgrassella	0.43014521782674	0.293547249647391	0.450468540829987	0.302020958083832	0	0	0	0.287069797362496	0	0	0	0	0.0473144416725303	0.0170975490069475	0.0271648842280137	0	0.000771692076039902	0.0011280841198874	0.0173567544960268	0.00575461126086561	0.00808459832850077	0.00448483697973518	0.00156700656325937	0.00160359465685516	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00096703031035629	0.0141084258654474	0	0	0	0.0053835800807537	0	0	0.0025544255903508	0	0	0	0	0.010844306738962	0.424317294642144	0.231767736999483	0.193046845147275	0.170006964327169	0.366448801742919	0.245532523230879	0	0.136864458196821	0.042979099205181	0.0708493034632123	0	0.0710449490785105	0	0.0645843129990358	0.0204870973590379	0	0	0.0694517362934073	0	0.349742147210502	0.0355597365945437	0.456521739130435	0.270602948920484	0.125867027575706	0.119850555500934	0.248833783452001	0.117695586415509	0	0.00153251112894986	0.00220661082590291	0.00356711814402575	0	0.000696847650206102	0.00122775769942416	0.00164482138267797	0.00337455149304629	0.0014016845700014	0	0	0.00744474243965597	0	0	0.287527081398948	0.335851949189663	0.136338797814208	0.165758531689131	0.190048674959438	0.184276251493105	0	0	0	0	0	0	0.0480809282951503	0	0.112144935852769	0.050366361883436	0.106660385286291	0.0694566416717332	0.0631738061362497	0.0163353104667384	0.0289995975855131	0.0220277826046959	0.0625980054706395	0.0559974897384579	0.0491663664057126	0.0746389952537374	0.0360518722430433	0.0318789347570586	0.068218309117709	0.0630167479330083	0.0604089850288537	0.0382951434279654	0.0297314996725606	0.0652553191489362	0	0.0606160160883927	0.0510957290978545	0	0	0	0	0	0	0	0	0	0	0	0.345794392523364	0.541284403669725	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.125232509929109	0.0955193816279661	0.0787875493220623	0.144897991440434	0.174406231211044	0.103418340371925	0.00697706233754389	0	0.000804895813010525	0.082099596231494	0	0.109789569990851	0.0174275346086645	0.0468407069423588	0.0366612111292962	0	0	0.0148167093938294	0	0.00273458051412561	0.0320942492277598	0.00745782037805769	0	0.00902430307362402	0	0.00127163592997437	0	0.0196304947612519	0	0.00500203207553068	0	0	0	0	0	0.0673482996221383	0.121522309711286	0.0577137201534084	0	0.0225821707259399	0.311352821210061	0.0319970577418168	0.0297254228977691	0.0546277950750071	0	0.12940234791889	0.0386521308225966	0.0565753621109996
Bombilactobacillus	0	0.0410789844851904	0.0792503346720214	0.0232035928143713	0	0	0	0	0.0027163783685478	0	0	0	0	0	0.000298515211296854	0	0	0	0.027603513174404	0.0846533603901021	0.0240832338393314	0.00747472829955863	0.0135353030681534	0.00165243510325684	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0014517599700824	0.00148758933180797	0.0603634634038153	0.02909541128221	0	0	0	0.0038587550054605	0.0170738887253459	0.00377817404196301	0	0.00777750540414057	0	0.00172896153060594	0	0	0.201027557216254	0.0839083477086927	0	0	0.00658513640639699	0	0	0.0255455929622737	0.0544685871595713	0.0367051313528112	0.0580228241440946	0	0	0	0	0	0	0	0	0	0	0	0	0.000508646998982706	0.00533386013433425	0	0.0368307025688641	0.0608848007008322	0.0745901639344262	0.142529394895325	0.0156841535965387	0.018134433706157	0	0	0	0	0	0	0	0	0.0379554863302865	0.0920408036325185	0.0598365143431926	0.068128082145511	0.147435766975706	0.0231399150223093	0.0212756539235412	0.266060860054584	0.128756191021572	0.144628379524407	0.174722395099741	0.235757675121944	0.194739809624888	0.14489016845999	0.0613616024426195	0.189005397824563	0.206737601104985	0.0843203512320253	0.0640908098668413	0.0247659574468085	0	0.117505474369777	0.0712870149639544	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00351172121917898	0.0254750877339718	0.0304381112877872	0.00431067617985003	0.023446200514232	0.0115096159494768	0.00300971316521501	0	0	0	0	0	0.0619147887639443	0.061279889107081	0.020949263502455	0	0	0	0	0	0	8.55172905271785e-05	0	0	0	0.00169331831089851	0	0	0	0	0	0	0	0	0	0.133362969548789	0.0496062992125984	0.108437461338612	0	0.0190352329155829	0	0.0299742552408974	0.073424859034077	0	0	0.0464247598719317	0	0.0858310626702997
Acinetobacter	0	0.0394922425952045	0.0740294511378849	0.160179640718563	0.577924601632336	0	0	0	0	0	0	0	0	0	0	0	0	0	0.053474338292406	0.0467940757791441	0.138870885212349	0.0503535665132172	0.069198101423932	0.224055547867708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.900283344143652	0	0	0	0	0	0	0	0	0.0127523910733262	0.156353591160221	0	0	0	0.00023047448935496	0	0	0.000401892455613776	0	0.12006196746708	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0149290714241467	0	0	0	0	0.0492944496707432	0	0	0.0175943156826256	0.0228099498574378	0.0165725509452492	0.0105183555616664	0	0	0	0	0	0.000578737878984728	0	0	0.00058713637576728	0.00079004039400079	0	0.000721872744147675	0.000716729862202904	0.0138285262741999	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0147646345698116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.295698924731183	0	0.0380313199105145	0.181208053691275	0	0	0	0.033175355450237	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00534463693328419	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0412321383663473	0.000322359181312228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000118961938127896	0	0.000232469931849604	0	0.000381264586933671	0	0.000109656247969329	0	0.000125186956836855	0	0.000207349481203135	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Escherichia	0	0.0394922425952045	0.0598393574297189	0.102544910179641	0.267003497862417	0	0	0.00257317465422966	0.354452551731788	0.249417087833835	0.100845331500983	0.29346931688647	0.851169534531653	0.89635579431287	0.936221576160316	0	0.931093544137022	0.948387564166253	0.033219812391707	0	0	0.0298989131982345	0.124838189539663	0.010639077241166	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.994776828110161	0.91040161200667	0.867123991417606	0.951404310907903	0.997122302158273	0.968119022316684	0.343093922651934	0.0524899057873486	0	0.860828586098139	0.843123697579058	0	0.868396106882409	0.86914076410439	0	0	0.00043699865959065	0	0	0	0	0	0.0967741935483871	0.00916150952554302	0	0.000860849781713091	0	0.00256278831368529	0.00526711813393529	0	0.0125702544267843	0.0409465402961036	0	0.0107815195379885	0	0	0.0156161806208843	0.0176740897843761	0	0	0	0.00712005892462558	0.00240615976900866	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.929556810775581	0	0	0	0.144607943599623	0.000365739876842695	0.00257197061332586	0	0.0034616544525091	0	0.00312595573440644	0	0.000364303163589178	0	0	0.00043151624906269	0.00304467513515306	0	0	0.0010742649337095	0	0.00458032212712429	0	0	0	0	0	0	0	1	0.702460850111857	0.767337807606264	0.664440734557596	0.939226519337017	0.969040247678019	0.907582938388626	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0736577861656309	0.000456530300020561	0.00423569490312264	0.256881455686608	0	0.127471896262325	0.98449541702768	0	0.992717386271987	0	1	0	0.240222212266476	0.258923414577798	0.350818330605565	0.998511987385207	0.955352452988759	0.955127556938158	0.974345854579459	0.990884731619581	0.887327523802682	0.983573553777904	0.996431242439605	0.97700467866658	0.949199001035512	0.992811633162684	0.996992219947988	0.966485553242269	0.966464971021891	0.987474078010859	0.998426323319027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Pantoea	0	0.00246826516220028	0.00682730923694779	0.0108532934131737	0	0	0	0	0.000337935010712024	0	0	0	0	0	0	0	0	0	0	0.00151437138443832	0.00180794814941156	0.00149494565991173	0	0.00853079797149346	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000755492429965852	0	0	0	0	0	0	6.72355199139385e-05	0	0	0	0	0	0.0333075135553834	0	0	0	0	0	0	0	0.00759616551389394	0	0.00446822029555843	0	0.0143293294408664	0.00195635816403311	0	0	0	0	0	0	0	0	0	0.00118483412322275	0	0.00147478124078262	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0358861729210862	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0156599552572707	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0410546139359699	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0380592931795767	0.000134998618302732	0	0.00894618691820327	0	0	0	3.22462736188191e-05	0	0	0	0.0148738855786031	0.0165184243964422	0.03379705400982	0	0	4.16366783447636e-05	0	0	0	0	0	0	0	0	0	0	0	0	6.46084267848078e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Lactobacillus: Firm-5	0	0.0953808180535966	0.00535475234270415	0.00711077844311377	0	0	0	0	0.219989242832102	0.410147503035344	0.553255884561914	0.376443441259584	0.0185078573103904	0.00798057801079573	0.00554199979233724	0	0.00246565029173725	0.0029909753270409	0.0229431797813228	0.0381621588878457	0.013610779464438	0.00531536234635281	0.00279335952581019	0.00239318187368233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0134589502018843	0	6.72355199139385e-05	0.00259283800524329	0	0.00126704646775601	0	0	0	0.0397143541453945	0.13754775005861	0.191463606897307	0.0761433103768475	0	0.0380629020729092	0	0.0470331270476884	0	0.0550465610417649	0	0.0498740890958929	0	0.0115802423396079	0.383936665256542	0.0109025583844391	0.124147594581971	0.244749868746719	0.458792650918635	0.309892170651664	0.0412041392285983	0.0966772711205373	0.304304897314376	0.0201319573676197	0.013174712417658	0.0688681561502578	0.0769283651863055	0	0	0	0	0.00183004082398761	0	0	0	0	0.00262497292200263	0	0.00123749613282458	0.0189586608711736	0.907743974713552	0	0.162901062622511	0.107752956636005	0.227595628415301	0.144823630628047	0.16170903190914	0.16755348029102	0	0	0	0	0	1	0.0217197262719429	0	0.0637373447555027	0.421357218386515	0.305459707915813	0.367042716566462	0.20613032916245	0.110566837402963	0.124170623742455	0.253247947991945	0.0874754034444316	0.0854082567251264	0.096111893609355	0.284506111551736	0.214029385426686	0.183301597135542	0.14748499684144	0.248903312079059	0.158474090201449	0.152386355227783	0.164418249290548	0.144106382978723	1	0.344343013769432	0.0616652784559267	0	0	0	0	0	0	0	0	0	0	0	0	0.0107033639143731	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00922789711336516	0.037541776007416	0.0919820787069126	0.00352936612225221	0.0369292311596808	0.034747763023319	0	0	0	0	0	0	0.474217104968415	0.486369412036502	0.410229132569558	0	0	0.000368782008196478	0	0	0.000265241729155039	4.27586452635892e-05	0	0.000426440964325167	0	0	0	0	0	0	0	0	0	0	0	0.134029784396533	0.197112860892388	0.203822838055178	0.089349535382416	0.23870891463703	0.190346702923182	0.281629275468922	0.0751409659230203	0.0506651570902915	0.0609613130128957	0.0910352187833511	0.0931615460852329	0.160691237630862
Bifidobacterium	0	0	0	0.0123502994011976	0	0	0	0.00337729173367642	0	0	0	0	0.0301072517537687	0.00599189028642269	0.00809884747170595	0.2	0.0157538114059853	0.00939725120052989	0.0069905000896218	0.00242299421510131	0.00235374381715845	0.00130511129039913	0.002679808325574	0.000407003720014001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00274330502939255	0	0	0	0	0	0.00115522847852131	0.000364917941478686	0	0	0	0	0.00619674670797831	0.00288671229941131	0.00579626201958389	0.005155878824155	0.0197064665067451	0	0	0	0.00793593010556971	0.0163379452458051	0.0173126456100077	0	0.0145076103670359	0	0.00967078482503764	0.0365625188855986	0.0103450411943257	0.175338626809902	0.111452786319658	0	0.103141115799344	0.113264346190028	0.0549664192294097	0.00835966298051606	0.0172559634579597	0.0109133811817914	0.120058924625583	0.0299051285576791	0	0	0	0	0	0	0.000380431963201854	0	0	0.000165653631000166	0	0	0.000624248589660594	0.0122481232714342	0	0.0107293923449912	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0545148993728737	0.112315730546744	0.0442009702186175	0.182496791190975	0.106526819033734	0.155270640101377	0.0753883299798793	0.0921691488383028	0.103040530249956	0.17783846127752	0.0328343542205772	0.0341089251874828	0.1086265795496	0.110150420466659	0.128592861655085	0.0740488576507232	0.0984466996757617	0.085329156697827	0.105173542894565	0.0711489361702128	0	0.101832212800059	0.0901140247580205	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00903531885295857	0.0210509257807191	0.0248669266975623	0.013134630320003	0.0360059097404971	0.015835199049627	0	0	0	0	0	0	0	0	0	0	0	0	0.00058224676676606	0.000256940450991668	0.0001657760807219	4.27586452635892e-05	9.53676422609158e-05	0.00022337383845604	0	0	0	0	0	0	0	0	0	0	0	0.100022227161591	0.0923884514435696	0.065445997773104	0	0.123551667060771	0.114887831407206	0.099209268113277	0.316805589605295	0	0	0.0105656350053362	0	0
Arthrobacter	0	0	0	0.032185628742515	0	0	0.116915422885572	0	0	0	0	0	0	0	0	0	0	0	0.00277827567664456	0.00151437138443832	0.00136448916936722	0.00109154762469745	0.00106738128222015	0.000415143794414281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00856946521686406	0	0.036619011788312	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.219007344758513	0.301158301158301	0.810105310329375	0.176672649625549	0.0175836411036281	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Aeromonas	0	0	0	0.0138473053892216	0	0	0	0	0.000764868173100115	0.00218670834226082	0.000878889084197574	0.00106693239322498	0	0	0	0	0	0	0.00498894664515744	0.00354362903958567	0.00382056967422821	0.0710217834939016	0.00551858833147866	0.051860414004184	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0723756906077348	0.0847913862718708	0	0.112032713136598	0.131476093073281	0	0.101279247655964	0.105458615251564	0.242105263157895	0.0549961270333075	0	0	0	0	0	0	0	0	0	0	0	0	0.00205668422372711	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000183528893565477	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
