AM_N_068	BT_N_001	SRR10034523	SRR11440496	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12244814	SRR12527961	SRR13189063	SRR13189066	SRR13404632	SRR13404634	SRR13404636	SRR13404641	SRR13442813	SRR13442815	SRR13442827	SRR13442828	SRR13442829	SRR13442831	SRR13769013	SRR13769015	SRR13769016	SRR13769017	SRR13769019	SRR1380984	SRR15496106	SRR15496109	SRR15496114	SRR1790685	SRR1790687	SRR18500042	SRR18500043	SRR18500044	SRR18500050	SRR18500061	SRR18500077	SRR18500078	SRR18500080	SRR18500083	SRR18500085	SRR18500086	SRR18500088	SRR18500090	SRR2396633	SRR2396644	SRR2396654	SRR2396655	SRR3383870	SRR5109820	SRR5109826	SRR5109829	SRR5109831	SRR5109832	SRR5109833	SRR5117442	SRR5117444	SRR5117446	SRR5117447	SRR5117448	SRR5117449	SRR5117450	SRR5387735	SRR5387737	SRR5387738	SRR6148364	SRR6148369	SRR6148371	SRR6148372	SRR6148374	SRR6148376	SRR6148377	SRR6148378	SRR6148379	SRR8335255	SRR8754037	SRR8754040	SRR8754041	SRR8754042	SRR8754044	SRR8867392	SRR8867393	SRR8867394	SRR8867395
TRH776	331	0	0	0	0	0	0	0	0	0	1867	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1949	0	332	209	0	0	0	0	0	0	0	0	0	960	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	197	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH777	0	467	0	0	228228	169408	89902	71461	24953	30567	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1917	0	13862	18037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	204	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	15401	0	0	0	0	0	0	0	0	0	0	0
TRH778	0	188	1232	0	0	0	0	0	0	0	0	138	2526	5399751	0	0	0	738197	0	0	0	0	0	0	0	0	0	0	0	0	228	212	772470	0	0	0	28947	0	0	0	0	3753207	92477	0	17994	0	0	7077115	13	0	0	0	0	210	1403	0	2512	2544	0	0	0	0	0	613729	0	1424691	0	0	4602858	140	0	0	0	0	0	34252	0	0	294	450	80638	850	706	6906	0	0	0	0
TRH780	0	0	0	181	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	562	0	0	0	0	34368	0	0	0	0	0	0	0	95	0	0	0	43	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH787	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1523451	0	280769	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11413	0	0	0	0	0	0	0	0	3251	0	0	0	0	0	0	617028	0	0	0	0	535043	14893	961271	0	0	108233	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	364
TRH788	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1465	35654	275	0	124	4597	19134	16284	14379	0	0	0	0	0	0	0	0	0	0	0	0	1249736	360	1796	0	0	0	0	0	0	0	0	0	6112	0	0	0	0	0	0	0	116	2793	338	0	0	0	0	3786366	0	0	0	968	1542	0	0	0	0	0	0	0	0	0	0	0	0	0	316	0	0	0	13378	850905	939906
TRH792	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	140	0	0	0	0	0	0	0	0	0	15803	0	0	0	317	0	128547	0	0	0	0	0	0	0	0	0	0	0	0	0	10623	3697	962	0	0	0	0	0	0	0	0	0	0	1465246	7032	440	490739	583	527	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18677	0
TRH793	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	385	0	167	3939	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	903	0	0	0	0	14224	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2701	0	3303	1786	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH795	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38	34	0	100	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28786	0	0	0	0	9336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
TRH803	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	619	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1539	0	0	0	0	0	1236	0	0	0	0	0	0	0	0	0	0
TRH804	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100279	27850	0	0	51881	0	0	8894	0	0	0	0	0	0	0	0	0	80364	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5336	0	5543	32155
TRH806	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2259	0	201	0	565	456	0	0	0	0	0	0	0	0	0	0	0	0	0
