AM_N_068 BT_N_001 SRR10034523 SRR11440496 SRR11445089 SRR11445090 SRR11445091 SRR11448239 SRR11448240 SRR11448241 SRR12244814 SRR12527961 SRR13189063 SRR13189066 SRR13404632 SRR13404634 SRR13404636 SRR13404641 SRR13442813 SRR13442815 SRR13442827 SRR13442828 SRR13442829 SRR13442831 SRR13769013 SRR13769015 SRR13769016 SRR13769017 SRR13769019 SRR1380984 SRR15496106 SRR15496109 SRR15496114 SRR1790685 SRR1790687 SRR18500042 SRR18500043 SRR18500044 SRR18500050 SRR18500061 SRR18500077 SRR18500078 SRR18500080 SRR18500083 SRR18500085 SRR18500086 SRR18500088 SRR18500090 SRR2396633 SRR2396644 SRR2396654 SRR2396655 SRR3383870 SRR5109820 SRR5109826 SRR5109829 SRR5109831 SRR5109832 SRR5109833 SRR5117442 SRR5117444 SRR5117446 SRR5117447 SRR5117448 SRR5117449 SRR5117450 SRR5387735 SRR5387737 SRR5387738 SRR6148364 SRR6148369 SRR6148371 SRR6148372 SRR6148374 SRR6148376 SRR6148377 SRR6148378 SRR6148379 SRR8335255 SRR8754037 SRR8754040 SRR8754041 SRR8754042 SRR8754044 SRR8867392 SRR8867393 SRR8867394 SRR8867395
TRH776 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.982854261220373 0 0.0179760680058476 1 0 0 0 0 0 0 0 0 0 0.077588297098521 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRH777 0 0.712977099236641 0 0 1 1 1 1 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.980562659846547 0 1 0.976609453679138 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.940092165898618 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
TRH778 0 0.287022900763359 1 0 0 0 0 0 0 0 0 1 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0.987716245265636 0 0 0 0 1 1 0 1 0 0 0.998678751278138 0.0599078341013825 0 0 0 0 0.00724237825907022 0.00226864435967796 0 0.029131054957034 0.882720333102012 0 0 0 0 0 0.988671968760924 0 0.743796954208715 0 0 1 0.026948989412897 0 0 0 0 0 1 0 0 1 1 1 0.728987993138937 1 1 0 0 0 0
TRH780 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.00651737774118357 0 0 0 0 0.0345185353325854 0 0 0 0 0 0 0 0.0182868142444658 0 0 0 0.0707236842105263 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRH787 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.999039291344572 0 0.999021505529383 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.922411702901479 0 0 0 0 0 0 0 0 0.000458761037570426 0 0 0 0 0 0 0.997731355640322 0 0 0 0 1 1 0.965481464667415 0 0 0.995951156220956 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000374321927140911
TRH788 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000960708655427578 1 0.000978494470616701 0 1 0.970445429596791 0.98027562887443 1 0.98851918053073 0 0 0 0 0 0 0 0 0 0 0 0 0.906733958120357 0.0122837547343638 1 0 0 0 0 0 0 0 0 0 0.000862487684291125 0 0 0 0 0 0 0 1 0.0323897438276258 0.117279666897988 0 0 0 0 0.720991192799468 0 0 0 0.624113475177305 0.745287578540358 0 0 0 0 0 0 0 0 0 0 0 0 0 0.271012006861063 0 0 0 1 0.972323953720897 0.966558860580507
TRH792 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0295545704032088 0 0 0 0 0 0 0 0 0 1 0 0 0 0.338675213675214 0 0.093266041879643 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 0 0 0.279008807200532 0.0113280312390759 0.00404884377904355 0.256203045791284 0.375886524822695 0.254712421459642 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0213420939865733 0
TRH793 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.01972437112557 0 0.0114808194692699 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0314054185650193 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.519923002887392 0 0.654967281380131 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRH795 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0194373401534527 0.0171457387796268 0 0.00541447831501435 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.99275762174093 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
TRH803 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.661324786324786 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.45045045045045 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.305175490779298 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
