MicroHit	TaxHit	Class	PhyloHit	GenHitID	MicroHitID
Pseudomonas	Pseudomonas	bacteria	Pseudomonas	GRH1	MRH1
Pseudomonas nitroreducens	Pseudomonas nitroreducens	bacteria	Pseudomonas	GRH1	MRH2
Pseudomonas fluorescens	Pseudomonas fluorescens	bacteria	Pseudomonas	GRH1	MRH3
Acinetobacter	Acinetobacter	bacteria	Acinetobacter	GRH2	MRH4
Acinetobacter johnsonii	Acinetobacter johnsonii	bacteria	Acinetobacter	GRH2	MRH5
Ralstonia	Ralstonia	bacteria	Ralstonia	GRH3	MRH6
Cutibacterium	Cutibacterium	bacteria	Cutibacterium	GRH4	MRH7
Cutibacterium acnes	Cutibacterium acnes	bacteria	Cutibacterium	GRH4	MRH8
Escherichia	Escherichia	bacteria	Escherichia	GRH5	MRH9
Escherichia coli	Escherichia coli	bacteria	Escherichia	GRH5	MRH10
Meyerozyma	Meyerozyma	fungus	Meyerozyma	GRH6	MRH11
Meyerozyma guilliermondii	Meyerozyma guilliermondii	fungus	Meyerozyma	GRH6	MRH12
Gilliamella	Gilliamella	bacteria	Gilliamella	GRH7	MRH13
Gilliamella apicola	Gilliamella apicola	bacteria	Gilliamella	GRH7	MRH14
Snodgrassella	Snodgrassella	bacteria	Snodgrassella	GRH8	MRH15
Snodgrassella alvi	Snodgrassella alvi	bacteria	Snodgrassella	GRH8	MRH16
Methylobacterium	Methylobacterium	bacteria	Methylobacterium	GRH9	MRH17
Acinetobacter baumannii	Acinetobacter baumannii	bacteria	Acinetobacter	GRH2	MRH18
Acinetobacter lwoffii	Acinetobacter lwoffii	bacteria	Acinetobacter	GRH2	MRH19
Bombiscardovia	Bombiscardovia	bacteria	Bombiscardovia	GRH10	MRH20
Bombiscardovia coagulans	Bombiscardovia coagulans	bacteria	Bombiscardovia	GRH10	MRH21
uncultured bacterium	uncultured bacterium	bacteria	Unspecified Bacterial	GRH11	MRH22
non-genus-specific reads in family Pasteurellaceae	Pasteurellaceae	bacteria	non-genus-specific Pasteurellaceae	GRH12	MRH23
Plasmodium	Plasmodium	other_eukaryota	Plasmodium	GRH13	MRH24
Pseudomonas sp. SXM-1	Pseudomonas sp. SXM-1	bacteria	Pseudomonas	GRH1	MRH25
Pseudomonas sp. NC02	Pseudomonas sp. NC02	bacteria	Pseudomonas	GRH1	MRH26
Pseudomonas putida	Pseudomonas putida	bacteria	Pseudomonas	GRH1	MRH27
Bacillus	Bacillus	bacteria	Bacillus	GRH14	MRH28
Corynebacterium	Corynebacterium	bacteria	Corynebacterium	GRH15	MRH29
Sphingomonas	Sphingomonas	bacteria	Sphingomonas	GRH16	MRH30
Methylobacterium radiotolerans	Methylobacterium radiotolerans	bacteria	Methylobacterium	GRH9	MRH31
Ralstonia insidiosa	Ralstonia insidiosa	bacteria	Ralstonia	GRH3	MRH32
Ralstonia pickettii	Ralstonia pickettii	bacteria	Ralstonia	GRH3	MRH33
Enterobacter	Enterobacter	bacteria	Enterobacter	GRH17	MRH34
Pantoea agglomerans	Pantoea agglomerans	bacteria	Pantoea	GRH18	MRH35
Agrobacterium	Agrobacterium	bacteria	Agrobacterium	GRH19	MRH36
Agrobacterium tumefaciens	Agrobacterium tumefaciens	bacteria	Agrobacterium	GRH19	MRH37
Stenotrophomonas	Stenotrophomonas	bacteria	Stenotrophomonas	GRH20	MRH38
Stenotrophomonas maltophilia	Stenotrophomonas maltophilia	bacteria	Stenotrophomonas	GRH20	MRH39
Moraxella	Moraxella	bacteria	Moraxella	GRH21	MRH40
Moraxella osloensis	Moraxella osloensis	bacteria	Moraxella	GRH21	MRH41
Brevundimonas	Brevundimonas	bacteria	Brevundimonas	GRH22	MRH42
Lactobacillus apis	Lactobacillus apis	bacteria	Lactobacillus: Firm-5	GRH761	MRH43
Acinetobacter guillouiae	Acinetobacter guillouiae	bacteria	Acinetobacter	GRH2	MRH44
Acinetobacter junii	Acinetobacter junii	bacteria	Acinetobacter	GRH2	MRH45
Acinetobacter pittii	Acinetobacter pittii	bacteria	Acinetobacter	GRH2	MRH46
Pseudomonas yamanorum	Pseudomonas yamanorum	bacteria	Pseudomonas	GRH1	MRH47
Pseudomonas protegens	Pseudomonas protegens	bacteria	Pseudomonas	GRH1	MRH48
Pseudomonas syringae	Pseudomonas syringae	bacteria	Pseudomonas	GRH1	MRH49
Pseudomonas aeruginosa	Pseudomonas aeruginosa	bacteria	Pseudomonas	GRH1	MRH50
Delftia	Delftia	bacteria	Delftia	GRH24	MRH51
Delftia acidovorans	Delftia acidovorans	bacteria	Delftia	GRH24	MRH52
Delftia tsuruhatensis	Delftia tsuruhatensis	bacteria	Delftia	GRH24	MRH53
Rheinheimera	Rheinheimera	bacteria	Rheinheimera	GRH25	MRH54
Staphylococcus	Staphylococcus	bacteria	Staphylococcus	GRH26	MRH55
Alternaria	Alternaria	fungus	Alternaria	GRH27	MRH56
Caulobacter	Caulobacter	bacteria	Caulobacter	GRH28	MRH57
Corynebacterium sp. 1959	Corynebacterium kalinowskii	bacteria	Corynebacterium	GRH15	MRH58
Brevundimonas sp. GW460-12-10-14-LB2	Brevundimonas sp. GW460-12-10-14-LB2	bacteria	Brevundimonas	GRH22	MRH59
Brevundimonas diminuta	Brevundimonas diminuta	bacteria	Brevundimonas	GRH22	MRH60
Massilia	Massilia	bacteria	Massilia	GRH29	MRH61
Rhizobium	Rhizobium	bacteria	Rhizobium	GRH30	MRH62
Bradyrhizobium	Bradyrhizobium	bacteria	Bradyrhizobium	GRH31	MRH63
Methylobacterium brachiatum	Methylobacterium brachiatum	bacteria	Methylobacterium	GRH9	MRH64
Methylobacterium sp. C1	Methylobacterium sp. C1	bacteria	Methylobacterium	GRH9	MRH65
Sphingomonas melonis	Sphingomonas melonis	bacteria	Sphingomonas	GRH16	MRH66
Achromobacter	Achromobacter	bacteria	Achromobacter	GRH32	MRH67
Fusarium	Fusarium	fungus	Fusarium	GRH33	MRH68
Capnocytophaga	Capnocytophaga	bacteria	Capnocytophaga	GRH34	MRH69
Enterobacter asburiae	Enterobacter asburiae	bacteria	Enterobacter	GRH17	MRH70
Enterobacter hormaechei	Enterobacter hormaechei	bacteria	Enterobacter	GRH17	MRH71
Enterobacter cloacae	Enterobacter cloacae	bacteria	Enterobacter	GRH17	MRH72
Salmonella	Salmonella	bacteria	Salmonella	GRH35	MRH73
Salmonella enterica	Salmonella enterica	bacteria	Salmonella	GRH35	MRH74
Herbaspirillum	Herbaspirillum	bacteria	Herbaspirillum	GRH36	MRH75
Herbaspirillum huttiense	Herbaspirillum huttiense	bacteria	Herbaspirillum	GRH36	MRH76
Cupriavidus metallidurans	Cupriavidus metallidurans	bacteria	Cupriavidus	GRH37	MRH77
Actinomyces	Actinomyces	bacteria	Actinomyces	GRH38	MRH78
Actinomyces naeslundii	Actinomyces naeslundii	bacteria	Actinomyces	GRH38	MRH79
Klebsiella	Klebsiella	bacteria	Klebsiella	GRH39	MRH80
Klebsiella pneumoniae	Klebsiella pneumoniae	bacteria	Klebsiella	GRH39	MRH81
Aquabacterium	Aquabacterium	bacteria	Aquabacterium	GRH40	MRH82
Micrococcus	Micrococcus	bacteria	Micrococcus	GRH41	MRH83
Micrococcus luteus	Micrococcus luteus	bacteria	Micrococcus	GRH41	MRH84
Acinetobacter sp. NEB 394	Acinetobacter sp. NEB 394	bacteria	Acinetobacter	GRH2	MRH85
Acinetobacter indicus	Acinetobacter indicus	bacteria	Acinetobacter	GRH2	MRH86
Trichosporon	Trichosporon	fungus	Trichosporon	GRH42	MRH87
Trichosporon asahii	Trichosporon asahii	fungus	Trichosporon	GRH42	MRH88
Pseudomonas stutzeri	Stutzerimonas stutzeri	bacteria	Stutzerimonas	GRH43	MRH89
Leptotrichia	Leptotrichia	bacteria	Leptotrichia	GRH44	MRH90
Aeromonas	Aeromonas	bacteria	Aeromonas	GRH45	MRH91
Asticcacaulis	Asticcacaulis	bacteria	Asticcacaulis	GRH46	MRH92
Asticcacaulis excentricus	Asticcacaulis excentricus	bacteria	Asticcacaulis	GRH46	MRH93
Comamonas	Comamonas	bacteria	Comamonas	GRH47	MRH94
Streptococcus oralis	Streptococcus oralis	bacteria	Streptococcus	GRH48	MRH95
Sphingobium	Sphingobium	bacteria	Sphingobium	GRH49	MRH96
Sphingobium yanoikuyae	Sphingobium yanoikuyae	bacteria	Sphingobium	GRH49	MRH97
Acinetobacter schindleri	Acinetobacter schindleri	bacteria	Acinetobacter	GRH2	MRH98
Veillonella	Veillonella	bacteria	Veillonella	GRH50	MRH99
Neisseria	Neisseria	bacteria	Neisseria	GRH51	MRH100
Comamonas testosteroni	Comamonas testosteroni	bacteria	Comamonas	GRH47	MRH101
Staphylococcus hominis	Staphylococcus hominis	bacteria	Staphylococcus	GRH26	MRH102
Paracoccus	Paracoccus	bacteria	Paracoccus	GRH52	MRH103
Burkholderia cenocepacia	Burkholderia cenocepacia	bacteria	Burkholderia	GRH53	MRH104
Sphingomonas sp. FARSPH	Sphingomonas sp. FARSPH	bacteria	Sphingomonas	GRH16	MRH105
Cloacibacterium	Cloacibacterium	bacteria	Cloacibacterium	GRH54	MRH106
Shewanella	Shewanella	bacteria	Shewanella	GRH55	MRH107
