Genus	Class	GenID
Starmerella	eukaryota	GRH1
Gilliamella	bacteria	GRH2
Snodgrassella	bacteria	GRH3
Bombilactobacillus	bacteria	GRH4
Acinetobacter	bacteria	GRH5
Azospirillum	bacteria	GRH6
Escherichia	bacteria	GRH7
Pantoea	bacteria	GRH8
Lactobacillus: Firm-5	bacteria	GRH9
Bifidobacteriaceae	bacteria	GRH10
Colpoda	eukaryota	GRH11
Ligilactobacillus	bacteria	GRH12
Alternaria	eukaryota	GRH13
Neisseriaceae	bacteria	GRH14
Hornodermoporus	eukaryota	GRH15
Lactobacillus	bacteria	GRH16
Bifidobacterium	bacteria	GRH17
Arthrobacter	bacteria	GRH18
Aeromonas	bacteria	GRH19
Neisseria	bacteria	GRH20
Agrobacterium	bacteria	GRH21
Wolfiporia	eukaryota	GRH22
Paraburkholderia	bacteria	GRH23
Aspergillus	eukaryota	GRH24
Jonesia	bacteria	GRH25
Calothrix	bacteria	GRH26
Rheinheimera	bacteria	GRH27
Clostridium	bacteria	GRH28
Herbaspirillum	bacteria	GRH29
Ralstonia	bacteria	GRH30
Paecilomyces	eukaryota	GRH31
Tepidimonas	bacteria	GRH32
Knufia	eukaryota	GRH33
Filimonas	bacteria	GRH34
Effusibacillus	bacteria	GRH35
Flaviflexus	bacteria	GRH36
Thermomonas	bacteria	GRH37
Exophiala	eukaryota	GRH38
Staphylococcus	bacteria	GRH39
Hydrogenophaga	bacteria	GRH40
Psychrobacter	bacteria	GRH41
Ustilago	eukaryota	GRH42
Antrihabitans	bacteria	GRH43
Jeotgalibaca	bacteria	GRH44
Anoxybacillus	bacteria	GRH45
Saccharomycopsis	eukaryota	GRH46
Chryseobacterium	bacteria	GRH47
Xanthomonas	bacteria	GRH48
Microlunatus	bacteria	GRH49
Alatosessilispora	eukaryota	GRH50
Hathewaya	bacteria	GRH51
Ascochyta	eukaryota	GRH52
Frischella	bacteria	GRH53
Penicillium	eukaryota	GRH54
Cyanobacterium	bacteria	GRH55
Mediterraneibacter	bacteria	GRH56
Streptococcus	bacteria	GRH57
Pyrenophora	eukaryota	GRH58
Hymenobacter	bacteria	GRH59
Rothia	bacteria	GRH60
Halomonas	bacteria	GRH61
Schaalia	bacteria	GRH62
Gemella	bacteria	GRH63
Veillonella	bacteria	GRH64
Phyllobacterium	bacteria	GRH65
Haemophilus	bacteria	GRH66
Anaerococcus	bacteria	GRH67
Blastococcus	bacteria	GRH68
Gordonia	bacteria	GRH69
