Snodgrassella alvi
Gilliamella apicola
Gilliamella bombicola
Gilliamella bombi
Gilliamella intestini
Gilliamella mensalis
Bombilactobacillus bombi
Bombilactobacillus mellis
Bombilactobacillus mellifera
Lactobacillus apis
Lactobacillus melliventris
Lactobacillus kimbladii
Lactobacillus kullabergensis
Lactobacillus panisapium
Lactobacillus bombicola
Lactobacillus helsingborgensis
Bifidobacterium actinocoloniiforme
Bifidobacterium bohemicum
Bifidobacterium commune
Bifidobacterium bombi
Bifidobacterium asteroides
Apilactobacillus kunkeei
Apilactobacillus apinorum
Apilactobacillus micheneri
Apilactobacillus queniae
Apilactobacillus timberlakei
Apilactobacillus bombintestini
Frischella perrara
Frischella japonica
Bartonella apis
Bombiscardovia coagulans
Apibacter adventoris
Apibacter mensalis
Candidatus Schmidhempelia
Candidatus Schmidhempelia bombi 
