Taxa	Class	taxID
Starmerella	eukaryota	TRH1
Gilliamella	bacteria	TRH2
Snodgrassella	bacteria	TRH3
Bombilactobacillus	bacteria	TRH4
Acinetobacter	bacteria	TRH5
Azospirillum	bacteria	TRH6
Escherichia	bacteria	TRH7
Pantoea	bacteria	TRH8
Lactobacillus: Firm-5	bacteria	TRH9
Bifidobacteriaceae	bacteria	TRH10
Colpoda	eukaryota	TRH11
Ligilactobacillus	bacteria	TRH12
Alternaria	eukaryota	TRH13
Neisseriaceae	bacteria	TRH14
Hornodermoporus	eukaryota	TRH15
Bifidobacterium	bacteria	TRH16
Arthrobacter	bacteria	TRH17
Aeromonas	bacteria	TRH18
Neisseria	bacteria	TRH19
Agrobacterium	bacteria	TRH20
Wolfiporia	eukaryota	TRH21
Paraburkholderia	bacteria	TRH22
Aspergillus	eukaryota	TRH23
Jonesia	bacteria	TRH24
Calothrix	bacteria	TRH25
Rheinheimera	bacteria	TRH26
Clostridium	bacteria	TRH27
Herbaspirillum	bacteria	TRH28
Ralstonia	bacteria	TRH29
Paecilomyces	eukaryota	TRH30
Tepidimonas	bacteria	TRH31
Knufia	eukaryota	TRH32
Filimonas	bacteria	TRH33
Effusibacillus	bacteria	TRH34
Flaviflexus	bacteria	TRH35
Thermomonas	bacteria	TRH36
Exophiala	eukaryota	TRH37
Staphylococcus	bacteria	TRH38
Hydrogenophaga	bacteria	TRH39
Psychrobacter	bacteria	TRH40
Ustilago	eukaryota	TRH41
Antrihabitans	bacteria	TRH42
Jeotgalibaca	bacteria	TRH43
Anoxybacillus	bacteria	TRH44
Saccharomycopsis	eukaryota	TRH45
Chryseobacterium	bacteria	TRH46
Xanthomonas	bacteria	TRH47
Microlunatus	bacteria	TRH48
Lactobacillus	bacteria	TRH49
Alatosessilispora	eukaryota	TRH50
Hathewaya	bacteria	TRH51
Ascochyta	eukaryota	TRH52
Frischella	bacteria	TRH53
Penicillium	eukaryota	TRH54
Cyanobacterium	bacteria	TRH55
Mediterraneibacter	bacteria	TRH56
Streptococcus	bacteria	TRH57
Pyrenophora	eukaryota	TRH58
Hymenobacter	bacteria	TRH59
Rothia	bacteria	TRH60
Halomonas	bacteria	TRH61
Schaalia	bacteria	TRH62
Gemella	bacteria	TRH63
Veillonella	bacteria	TRH64
Phyllobacterium	bacteria	TRH65
Haemophilus	bacteria	TRH66
Anaerococcus	bacteria	TRH67
Blastococcus	bacteria	TRH68
Gordonia	bacteria	TRH69
Cupriavidus	bacteria	TRH70
Actinomyces	bacteria	TRH71
Lactococcus	bacteria	TRH72
Bacillus	bacteria	TRH73
Debaryomyces	eukaryota	TRH74
Asaia	bacteria	TRH75
Millerozyma	eukaryota	TRH76
Parasaccharibacter	bacteria	TRH77
Bombella	bacteria	TRH78
Kodamaea	eukaryota	TRH79
Loigolactobacillus	bacteria	TRH80
Nevskia	bacteria	TRH81
Lacticaseibacillus	bacteria	TRH82
Vagococcus	bacteria	TRH83
Levilactobacillus	bacteria	TRH84
Serratia	bacteria	TRH85
Shewanella	bacteria	TRH86
Vibrio	bacteria	TRH87
Klebsiella	bacteria	TRH88
Dermacoccus	bacteria	TRH89
Blastobotrys	eukaryota	TRH90
Lactiplantibacillus	bacteria	TRH91
Saitoella	eukaryota	TRH92
Citrobacter	bacteria	TRH93
Apibacter	bacteria	TRH94
Roseicitreum	bacteria	TRH95
Microbulbifer	bacteria	TRH96
Shigella	bacteria	TRH97
Rhodobacter	bacteria	TRH98
Salmonella	bacteria	TRH99
Tatumella	bacteria	TRH100
Leptomonas	eukaryota	TRH101
Crithidia	eukaryota	TRH102
Apilactobacillus	bacteria	TRH103
Lotmaria	eukaryota	TRH104
Acetilactobacillus	bacteria	TRH105
Wolbachia	bacteria	TRH106
Erwinia	bacteria	TRH107
Rhizopus	eukaryota	TRH108
Lelliottia	bacteria	TRH109
Mortierella	eukaryota	TRH110
Metschnikowia	eukaryota	TRH111
Podila	eukaryota	TRH112
Puccinia	eukaryota	TRH113
Bipolaris	eukaryota	TRH114
Phycicoccus	bacteria	TRH115
Fusarium	eukaryota	TRH116
Enterobacteriaceae	bacteria	TRH117
Providencia	bacteria	TRH118
Acetobacteraceae	bacteria	TRH119
Pluralibacter	bacteria	TRH120
Amyloporia	eukaryota	TRH121
Polyporus	eukaryota	TRH122
Cerrena	eukaryota	TRH123
Rigidoporus	eukaryota	TRH124
Photorhabdus	bacteria	TRH125
Truepera	bacteria	TRH126
Aureobasidium	eukaryota	TRH127
Leuconostoc	bacteria	TRH128
Periconia	eukaryota	TRH129
Parastagonospora	eukaryota	TRH130
Teratosphaeria	eukaryota	TRH131
Umbilicaria	eukaryota	TRH132
Cryptocoryneum	eukaryota	TRH133
Massarinaceae	eukaryota	TRH134
Talaromyces	eukaryota	TRH135
Synchytrium	eukaryota	TRH136
Candidatus Pelagibacter	bacteria	TRH137
Francisella	bacteria	TRH138
Patellaria	eukaryota	TRH139
Spissiomyces	eukaryota	TRH140
Aaosphaeria	eukaryota	TRH141
Zymobacter	bacteria	TRH142
Exserohilum	eukaryota	TRH143
Tilletiaria	eukaryota	TRH144
Endocarpon	eukaryota	TRH145
Naumovozyma	eukaryota	TRH146
Kluyveromyces	eukaryota	TRH147
Kwoniella	eukaryota	TRH148
Saprochaete	eukaryota	TRH149
Fischerella	bacteria	TRH150
Leptosphaeria	eukaryota	TRH151
Yamadazyma	eukaryota	TRH152
Cladosporium	eukaryota	TRH153
Komagataella	eukaryota	TRH154
Epilithonimonas	bacteria	TRH155
Pirellula	bacteria	TRH156
Chroococcidiopsis	bacteria	TRH157
Hyphopichia	eukaryota	TRH158
Clavispora	eukaryota	TRH159
Corynebacterium	bacteria	TRH160
Prevotella	bacteria	TRH161
Leishmania	eukaryota	TRH162
Rhizoctonia	eukaryota	TRH163
Fomitopsis	eukaryota	TRH164
Phlebiopsis	eukaryota	TRH165
Tricholoma	eukaryota	TRH166
Veluticeps	eukaryota	TRH167
Entoloma	eukaryota	TRH168
Strelitziana	eukaryota	TRH169
Blumeria	eukaryota	TRH170
Cercospora	eukaryota	TRH171
Cronobacter	bacteria	TRH172
Ganoderma	eukaryota	TRH173
Gloeophyllum	eukaryota	TRH174
Pholiota	eukaryota	TRH175
Fibroporia	eukaryota	TRH176
Mycena	eukaryota	TRH177
Phlebia	eukaryota	TRH178
Waitea	eukaryota	TRH179
Laetisaria	eukaryota	TRH180
Colletotrichum	eukaryota	TRH181
Limosilactobacillus	bacteria	TRH182
Pyricularia	eukaryota	TRH183
Enterobacter	bacteria	TRH184
Dictyostelium	eukaryota	TRH185
Micrococcus	bacteria	TRH186
Rhodococcus	bacteria	TRH187
Wallemia	eukaryota	TRH188
Serpentinimonas	bacteria	TRH189
Cutibacterium	bacteria	TRH190
Zymoseptoria	eukaryota	TRH191
Wickerhamomyces	eukaryota	TRH192
Phoma	eukaryota	TRH193
Streptomyces	bacteria	TRH194
Dietzia	bacteria	TRH195
Moraxella	bacteria	TRH196
Rhizobium	bacteria	TRH197
Kondoa	eukaryota	TRH198
Cystobasidium	eukaryota	TRH199
Paracoccus	bacteria	TRH200
Geodermatophilaceae	bacteria	TRH201
Flavisolibacter	bacteria	TRH202
Phyllactinia	eukaryota	TRH203
Sphingosinithalassobacter	bacteria	TRH204
Sydowia	eukaryota	TRH205
Pithomyces	eukaryota	TRH206
Empedobacter	bacteria	TRH207
Novosphingobium	bacteria	TRH208
