tax_name	species	genus	family	order	class	phylum	kingdom	superkingdom	ID
Methanomassiliicoccus	NA	Methanomassiliicoccus	Methanomassiliicoccaceae	Methanomassiliicoccales	Thermoplasmata	Candidatus Thermoplasmatota		Archaea	TRH746
Natronomonas	NA	Natronomonas	Haloarculaceae	Halobacteriales	Halobacteria	Euryarchaeota		Archaea	TRH383
Bacteroides	NA	Bacteroides	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH278
Phocaeicola	NA	Phocaeicola	Bacteroidaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH271
Dysgonomonas	NA	Dysgonomonas	Dysgonomonadaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH656
Petrimonas	NA	Petrimonas	Dysgonomonadaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH672
Proteiniphilum	NA	Proteiniphilum	Dysgonomonadaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH749
Paludibacter	NA	Paludibacter	Paludibacteraceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH480
Porphyromonas	NA	Porphyromonas	Porphyromonadaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH332
Alloprevotella	NA	Alloprevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH304
Prevotella	NA	Prevotella	Prevotellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH161
Alistipes	NA	Alistipes	Rikenellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH580
Parabacteroides	NA	Parabacteroides	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH612
Tannerella	NA	Tannerella	Tannerellaceae	Bacteroidales	Bacteroidia	Bacteroidota		Bacteria	TRH312
Aquipluma	NA	Aquipluma	Prolixibacteraceae	Marinilabiliales	Bacteroidia	Bacteroidota		Bacteria	TRH492
Filimonas	NA	Filimonas	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota		Bacteria	TRH33
Flavihumibacter	NA	Flavihumibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota		Bacteria	TRH693
Flavisolibacter	NA	Flavisolibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota		Bacteria	TRH202
Lacibacter	NA	Lacibacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota		Bacteria	TRH763
Pseudobacter	NA	Pseudobacter	Chitinophagaceae	Chitinophagales	Chitinophagia	Bacteroidota		Bacteria	TRH694
Candidatus Cardinium	NA	Candidatus Cardinium	Amoebophilaceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria	TRH716
Bernardetia	NA	Bernardetia	Bernardetiaceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria	TRH485
Spirosoma	NA	Spirosoma	Cytophagaceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria	TRH295
Hymenobacter	NA	Hymenobacter	Hymenobacteraceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria	TRH59
Dyadobacter	NA	Dyadobacter	Spirosomaceae	Cytophagales	Cytophagia	Bacteroidota		Bacteria	TRH489
Amniculibacterium	NA	Amniculibacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH769
Arenibacter	NA	Arenibacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH421
Capnocytophaga	NA	Capnocytophaga	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH229
Flavobacterium	NA	Flavobacterium	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH220
Myroides	NA	Myroides	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH435
Polaribacter	NA	Polaribacter	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH598
Tenacibaculum	NA	Tenacibaculum	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH732
Winogradskyella	NA	Winogradskyella	Flavobacteriaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH741
Apibacter	NA	Apibacter	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH94
Chryseobacterium	NA	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH46
Epilithonimonas	NA	Epilithonimonas	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH155
Kaistella	NA	Kaistella	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH482
Cloacibacterium	NA	Cloacibacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH671
Empedobacter	NA	Empedobacter	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota		Bacteria	TRH207
Mucilaginibacter	NA	Mucilaginibacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidota		Bacteria	TRH241
Pedobacter	NA	Pedobacter	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidota		Bacteria	TRH279
Sphingobacterium	NA	Sphingobacterium	Sphingobacteriaceae	Sphingobacteriales	Sphingobacteriia	Bacteroidota		Bacteria	TRH268
Rhodothermaceae	NA	Rhodothermaceae		Bacteroidetes Order II. Incertae sedis		Bacteroidota		Bacteria	TRH669
Fusobacterium	NA	Fusobacterium	Fusobacteriaceae	Fusobacteriales	Fusobacteriia	Fusobacteria		Bacteria	TRH222
Leptotrichia	NA	Leptotrichia	Leptotrichiaceae	Fusobacteriales	Fusobacteriia	Fusobacteria		Bacteria	TRH217
Asticcacaulis	NA	Asticcacaulis	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH333
Brevundimonas	NA	Brevundimonas	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH296
Phenylobacterium	NA	Phenylobacterium	Caulobacteraceae	Caulobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH643
Aureimonas	NA	Aureimonas	Aurantimonadaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH300
Bartonella	NA	Bartonella	Bartonellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH456
Bosea	NA	Bosea	Boseaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH315
Brucella	NA	Brucella	Brucellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH400
Ochrobactrum	NA	Ochrobactrum	Brucellaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH230
Chelatococcus	NA	Chelatococcus	Chelatococcaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH650
Devosia	NA	Devosia	Devosiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH299
Methylobacterium	NA	Methylobacterium	Methylobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH346
Methylorubrum	NA	Methylorubrum	Methylobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH406
Microvirga	NA	Microvirga	Methylobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH264
Afipia	NA	Afipia	Nitrobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH624
Candidatus Phaeomarinobacter	NA	Candidatus Phaeomarinobacter	Parvibaculaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH411
Phreatobacter	NA	Phreatobacter	Phreatobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH235
Aminobacter	NA	Aminobacter	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH317
Mesorhizobium	NA	Mesorhizobium	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH244
Phyllobacterium	NA	Phyllobacterium	Phyllobacteriaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH65
Agrobacterium	NA	Agrobacterium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH20
Neorhizobium	NA	Neorhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH276
Rhizobium	NA	Rhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH197
Shinella	NA	Shinella	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH293
Ensifer	NA	Ensifer	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH285
Sinorhizobium	NA	Sinorhizobium	Rhizobiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH243
Pannonibacter	NA	Pannonibacter	Stappiaceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH311
Xanthobacter	NA	Xanthobacter	Xanthobacteraceae	Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH269
Nordella	NA	Nordella		Hyphomicrobiales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH420
Glycocaulis	NA	Glycocaulis	Maricaulaceae	Maricaulales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH424
Maricaulis	NA	Maricaulis	Maricaulaceae	Maricaulales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH410
Candidatus Pelagibacter	NA	Candidatus Pelagibacter	Pelagibacteraceae	Pelagibacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH137
Paracoccus	NA	Paracoccus	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH200
Polymorphum	NA	Polymorphum	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH314
Rhodobacter	NA	Rhodobacter	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH98
Roseicitreum	NA	Roseicitreum	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH95
Thioclava	NA	Thioclava	Rhodobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH503
Mameliella	NA	Mameliella	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH409
Roseivivax	NA	Roseivivax	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH773
Roseobacter	NA	Roseobacter	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH772
Roseovarius	NA	Roseovarius	Roseobacteraceae	Rhodobacterales	Alphaproteobacteria	Proteobacteria		Bacteria	TRH427
