TaxID	Sample	NoReads	TotReads	RelAbundance	AvgRelAbundance	Prevalence	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Family	Continent	tax_name	genus	family	order	class	phylum
TRH1	AM_N_068	174	174	1	0.0101129913689115	0.0977443609022556	Apis mellifera	Eusocial	Female	abdomen	United Kingdom	RNA	CompHym22	2019	July	Paired	POLYA	Illumina HiSeq PE150	Illumina	Illumina HiSeq	Apis	Apidae	Europe	Starmerella	Starmerella		Saccharomycetales	Saccharomycetes	Ascomycota
TRH13	SRR1503129	171	171	1	0.0835524098752135	0.345864661654135	Anthophora plumipes	Solitary	Male	whole body	Germany	RNA	PRJNA252326	2011	April	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Anthophora	Apidae	Europe	Alternaria	Alternaria	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota
TRH13	SRR1503133	171	171	1	0.0835524098752135	0.345864661654135	Nomada lathburiana	Solitary	Female	whole body	Germany	RNA	PRJNA252330	2011	April	Paired	CDNA	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Nomada	Apidae	Europe	Alternaria	Alternaria	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota
TRH13	SRR8335258	320	320	1	0.0835524098752135	0.345864661654135	Apis mellifera	Eusocial	Female	whole body	China	RNA	PRJNA510543	2017	NA	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Asia	Alternaria	Alternaria	Pleosporaceae	Pleosporales	Dothideomycetes	Ascomycota
TRH23	SRR10034518	829	829	1	0.145018188627205	0.473684210526316	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	NA	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Asia	Aspergillus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota
TRH23	SRR17475010	688	688	1	0.145018188627205	0.473684210526316	Apis mellifera	Eusocial	Female	abdomen	China	RNA	PRJNA793424	2020	September	Paired	RANDOM	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Asia	Aspergillus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota
TRH23	SRR18500045	424	424	1	0.145018188627205	0.473684210526316	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Oceania	Aspergillus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota
TRH23	SRR18500061	515	515	1	0.145018188627205	0.473684210526316	Apis mellifera	Eusocial	Female	pooled whole bodies	New Zealand	RNA	PRJNA820512	2021	NA	Paired	NA	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Oceania	Aspergillus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota
TRH23	SRR5387735	9292	9292	1	0.145018188627205	0.473684210526316	Apis mellifera	Eusocial	Unknown	whole body	China	RNA	PRJNA380316	2015	NA	Paired	POLYA	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Asia	Aspergillus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota
TRH23	SRR5387737	15925	15925	1	0.145018188627205	0.473684210526316	Apis mellifera	Eusocial	Unknown	whole body	China	RNA	PRJNA380316	2015	NA	Paired	POLYA	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Asia	Aspergillus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota
TRH23	SRR5387738	5060	5060	1	0.145018188627205	0.473684210526316	Apis mellifera	Eusocial	Unknown	whole body	China	RNA	PRJNA380316	2015	NA	Paired	POLYA	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	Asia	Aspergillus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota
TRH185	SRR12053420	189	189	1	0.0340706181185691	0.0827067669172932	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	March	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	North America	Dictyostelium	Dictyostelium	Dictyosteliaceae	Dictyosteliales	Eumycetozoa	Evosea
TRH211	SRR8754038	607	607	1	0.0717491928265665	0.345864661654135	Apis mellifera	Eusocial	Female	whole body	North Dakota	RNA	PRJNA495845	2012	October	Paired	RANDOM	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	North America	Zygosaccharomyces	Zygosaccharomyces	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH211	SRR8754044	110	110	1	0.0717491928265665	0.345864661654135	Apis mellifera	Eusocial	Female	whole body	North Dakota	RNA	PRJNA495845	2012	October	Paired	RANDOM	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	North America	Zygosaccharomyces	Zygosaccharomyces	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH226	SRR5117446	556	556	1	0.037334373934929	0.135338345864662	Apis mellifera	Eusocial	Female	whole body	Australia	RNA	PRJNA357523	2014	June	Paired	NA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Oceania	Malassezia	Malassezia	Malasseziaceae	Malasseziales	Malasseziomycetes	Basidiomycota
TRH336	SRR12053418	1055	1055	1	0.0352095688424601	0.0827067669172932	Euglossa viridissima	Polymorphic	Female	abdomen	Mexico	RNA	PRJNA636137	2016	March	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Euglossa	Apidae	North America	Plasmodium	Plasmodium	Plasmodiidae	Haemosporida	Aconoidasida	Apicomplexa
TRH336	SRR15496107	111	111	1	0.0352095688424601	0.0827067669172932	Apis mellifera	Eusocial	Female	abdomen	China	RNA	PRJNA754836	2021	May	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Asia	Plasmodium	Plasmodium	Plasmodiidae	Haemosporida	Aconoidasida	Apicomplexa
TRH336	SRR15496114	345	345	1	0.0352095688424601	0.0827067669172932	Apis mellifera	Eusocial	Female	abdomen	China	RNA	PRJNA754836	2021	May	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Asia	Plasmodium	Plasmodium	Plasmodiidae	Haemosporida	Aconoidasida	Apicomplexa
TRH336	SRR15496115	366	366	1	0.0352095688424601	0.0827067669172932	Apis mellifera	Eusocial	Female	abdomen	China	RNA	PRJNA754836	2021	May	Paired	PCR	Illumina NovaSeq 6000	Illumina	Illumina NovaSeq	Apis	Apidae	Asia	Plasmodium	Plasmodium	Plasmodiidae	Haemosporida	Aconoidasida	Apicomplexa
TRH365	SRR12527932	3920	3920	1	0.0320368029601643	0.0902255639097744	Bombus superbus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Asia	Saccharomyces	Saccharomyces	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH365	SRR12527962	2353	2353	1	0.0320368029601643	0.0902255639097744	Bombus difficillimus	Eusocial	Unknown	whole body	China	RNA	PRJNA659133	2016	August	Paired	POLYA	Illumina HiSeq X Ten	Illumina	Illumina HiSeq	Bombus	Apidae	Asia	Saccharomyces	Saccharomyces	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH365	SRR8754036	4163	4163	1	0.0320368029601643	0.0902255639097744	Apis mellifera	Eusocial	Female	whole body	North Dakota	RNA	PRJNA495845	2012	October	Paired	RANDOM	Illumina NextSeq 500	Illumina	Illumina NextSeq	Apis	Apidae	North America	Saccharomyces	Saccharomyces	Saccharomycetaceae	Saccharomycetales	Saccharomycetes	Ascomycota
TRH462	SRR13442827	483825	483825	1	0.132835652505474	0.24812030075188	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Oceania	Nosema	Nosema	Nosematidae			Microsporidia
TRH462	SRR5109829	1343	1343	1	0.132835652505474	0.24812030075188	Apis mellifera	Eusocial	Female	whole body	Netherlands	RNA	PRJNA357165	2014	July	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Europe	Nosema	Nosema	Nosematidae			Microsporidia
TRH462	SRR5109832	3774	3774	1	0.132835652505474	0.24812030075188	Apis mellifera	Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Africa	Nosema	Nosema	Nosematidae			Microsporidia
TRH462	SRR5117450	420	420	1	0.132835652505474	0.24812030075188	Apis mellifera	Eusocial	Female	whole body	Australia	RNA	PRJNA357523	2014	August	Paired	NA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	Oceania	Nosema	Nosema	Nosematidae			Microsporidia
TRH462	SRR8867394	157	157	1	0.132835652505474	0.24812030075188	Apis mellifera	Eusocial	Female	pooled whole bodies	Hawaii	RNA	PRJNA531527 	2012	November	Paired	CDNA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Apis	Apidae	North America	Nosema	Nosema	Nosematidae			Microsporidia
TRH462	SRR13442815	1617102	1617712	0.999622924228787	0.132835652505474	0.24812030075188	Apis mellifera	Eusocial	Unknown	whole body	Australia	RNA	PRJNA687066	2017	September	Paired	POLYA	BGISEQ-500	BGISEQ	BGISEQ	Apis	Apidae	Oceania	Nosema	Nosema	Nosematidae			Microsporidia
TRH23	SRR10034516	98220	98433	0.997836091554662	0.145018188627205	0.473684210526316	Apis cerana	Eusocial	Female	midgut	China	RNA	PRJNA562784	2020	NA	Paired	PCR	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Apis	Apidae	Asia	Aspergillus	Aspergillus	Aspergillaceae	Eurotiales	Eurotiomycetes	Ascomycota
TRH462	SRR5109826	24448	24606	0.993578801918231	0.132835652505474	0.24812030075188	Apis mellifera	Eusocial	Female	whole body	South Africa	RNA	PRJNA357165	2013	March	Paired	RANDOM	Illumina HiSeq 2000	Illumina	Illumina HiSeq	Apis	Apidae	Africa	Nosema	Nosema	Nosematidae			Microsporidia
TRH462	SRR6148366	7673	7724	0.993397203521491	0.132835652505474	0.24812030075188	Bombus pascuorum	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	May	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Europe	Nosema	Nosema	Nosematidae			Microsporidia
TRH462	SRR6148378	4072	4194	0.970910824988078	0.132835652505474	0.24812030075188	Bombus pascuorum	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Apidae	Europe	Nosema	Nosema	Nosematidae			Microsporidia
