genus	AvgRelAbundance	Prevalence	Family	n
Yamadazyma	0.492746845893938	0.8	Halictidae	15
Cladosporium	0.199561676232588	0.5	Megachilidae	4
Leptomonas	0.30771403752792	0.75	Megachilidae	4
Metschnikowia	0.241339217010227	0.5	Megachilidae	4
Clavispora	0.0528982451286359	0.5	Megachilidae	4
Aspergillus	0.0672858231266166	1	Megachilidae	4
Leishmania	0.0509241123301742	0.5	Megachilidae	4
Crithidia	0.0543677695102097	0.75	Megachilidae	4
Colletotrichum	0.0100295288293598	0.75	Megachilidae	4
Cladosporium	0.29768822243049	0.666666666666667	Andrenidae	3
Nosema	0.287609196200261	0.666666666666667	Andrenidae	3
