genus	AvgRelAbundance	Prevalence	Tribe	n
Alternaria	0.408516951277964	0.5	Ceratini	4
Aspergillus	0.321141511731753	0.5	Ceratini	4
Wolfiporia	0.178858488268247	0.5	Ceratini	4
Apicystis	0.0752873050728434	0.5	Ceratini	4
Fusarium	0.0161957436491924	0.5	Ceratini	4
Alternaria	0.675742574257426	1	Epeolini	1
Aureobasidium	0.073019801980198	1	Epeolini	1
Bipolaris	0.0668316831683168	1	Epeolini	1
Cladosporium	0.0532178217821782	1	Epeolini	1
Starmerella	0.0457920792079208	1	Epeolini	1
Metschnikowia	0.0445544554455446	1	Epeolini	1
Penicillium	0.0408415841584158	1	Epeolini	1
Yarrowia	0.227617214625876	0.5	Euglossini	6
Alternaria	0.5	0.5	Anthophorini	2
Metschnikowia	0.345238095238095	0.5	Anthophorini	2
Clavispora	0.154761904761905	0.5	Anthophorini	2
Alternaria	1	1	Nomadini	1
Zymoseptoria	0.556483300589391	1	Rophitini	1
Alternaria	0.207514734774067	1	Rophitini	1
Cladosporium	0.0537819253438114	1	Rophitini	1
Aureobasidium	0.0442043222003929	1	Rophitini	1
Aspergillus	0.0356090373280943	1	Rophitini	1
Starmerella	0.0321709233791749	1	Rophitini	1
Cercospora	0.0265225933202358	1	Rophitini	1
Fusarium	0.0174361493123772	1	Rophitini	1
Bipolaris	0.0157170923379175	1	Rophitini	1
Penicillium	0.0105599214145383	1	Rophitini	1
Cladosporium	0.199561676232588	0.5	Osmiini	4
Leptomonas	0.30771403752792	0.75	Osmiini	4
Metschnikowia	0.241339217010227	0.5	Osmiini	4
Clavispora	0.0528982451286359	0.5	Osmiini	4
Aspergillus	0.0672858231266166	1	Osmiini	4
Leishmania	0.0509241123301742	0.5	Osmiini	4
Crithidia	0.0543677695102097	0.75	Osmiini	4
Colletotrichum	0.0100295288293598	0.75	Osmiini	4
Zygosaccharomyces	0.117656041667454	0.622641509433962	Bombini	53
Alternaria	0.0638607504317707	0.60377358490566	Bombini	53
Aureobasidium	0.0379013374692426	0.60377358490566	Bombini	53
Yamadazyma	0.671630499188214	1	Augochlorini	11
Cladosporium	0.282759224724589	0.666666666666667	Halictini	3
Cladosporium	0.29768822243049	0.666666666666667	Andrenini	3
Nosema	0.287609196200261	0.666666666666667	Andrenini	3
Parastagonospora	0.172018687406773	0.5	Meliponini	6
Fusarium	0.0867189686377336	0.5	Meliponini	6
Cladosporium	0.0883766857776536	0.5	Meliponini	6
Penicillium	0.0698501853647991	0.5	Meliponini	6
Aureobasidium	0.0834597636073127	0.5	Meliponini	6
Aspergillus	0.100523987061622	0.666666666666667	Meliponini	6
Aureobasidium	0.229452054794521	1	Allodapini	1
Aspergillus	0.164383561643836	1	Allodapini	1
Penicillium	0.164383561643836	1	Allodapini	1
Candida	0.116438356164384	1	Allodapini	1
Nosema	0.102739726027397	1	Allodapini	1
Colletotrichum	0.089041095890411	1	Allodapini	1
Starmerella	0.0719178082191781	1	Allodapini	1
Alternaria	0.0616438356164384	1	Allodapini	1
