AM_N_068	SRR10034516	SRR10034517	SRR10034518	SRR10034523	SRR11426432	SRR11440495	SRR11440496	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12053418	SRR12053420	SRR12053430	SRR12233820	SRR12235348	SRR12244814	SRR12245258	SRR12245523	SRR12527928	SRR12527929	SRR12527932	SRR12527933	SRR12527934	SRR12527935	SRR12527936	SRR12527961	SRR12527962	SRR12527963	SRR12527964	SRR12527965	SRR12527966	SRR13404631	SRR13404632	SRR13404634	SRR13404636	SRR13404640	SRR13404641	SRR13442813	SRR13442815	SRR13442818	SRR13442824	SRR13442825	SRR13442827	SRR13442828	SRR13442829	SRR13442830	SRR13442831	SRR13769013	SRR13769014	SRR13769015	SRR13769016	SRR13769017	SRR13769018	SRR13769019	SRR14567209	SRR14567210	SRR14567211	SRR14567212	SRR14567213	SRR14567214	SRR14567217	SRR14567218	SRR14567219	SRR14567220	SRR14567221	SRR14567222	SRR1503066	SRR1503113	SRR1503129	SRR1503133	SRR15496114	SRR15496115	SRR17475010	SRR18500042	SRR18500043	SRR18500044	SRR18500045	SRR18500050	SRR18500061	SRR18500072	SRR18500076	SRR18500077	SRR18500078	SRR18500079	SRR18500080	SRR18500081	SRR18500082	SRR18500084	SRR18500085	SRR18500086	SRR18500087	SRR18500088	SRR18500090	SRR18500091	SRR2001612	SRR2001766	SRR2396653	SRR2895251	SRR2915407	SRR2954866	SRR3383868	SRR3948531	SRR3948548	SRR3948572	SRR3948577	SRR5109820	SRR5109826	SRR5109829	SRR5109831	SRR5109832	SRR5109833	SRR5117446	SRR5117450	SRR5253659	SRR5387735	SRR5387737	SRR5387738	SRR6148364	SRR6148366	SRR6148368	SRR6148369	SRR6148370	SRR6148371	SRR6148372	SRR6148374	SRR6148376	SRR6148378	SRR6148379	SRR8335253	SRR8335256	SRR8335258	SRR8754036	SRR8754038	SRR8867392	SRR8867393	SRR8867395
AM_N_068	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.997712865497076	1	1	1	1	1	1	1	1	1	1	1	1	0.927930409356725	1	1	1	1	0.956860233918129	1	0.994759064327485	0.990705263157895	0.994776608187134	1	1	1	0.949326315789474	1	0.932258479532164	1	1	1	1	1	0.971136257309941	1	1	1	1	0.954075438596491	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.985491228070175	1	1	0.96763567251462	1	1	1	1	1	0.818611111111111	0.686784795321637	1	1	1	1	1	1	1	1	1	1	0.0602491228070176	1	1	1	1	1	1	1	0.999776608187135	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR10034516	1	0	0.123488304093567	0.00216140350877193	0.223345029239766	0.908507602339181	0.797724561403509	0.898774269005848	0.832963742690058	0.781512280701754	0.890208771929825	0.961553801169591	0.984927485380117	0.987777777777778	1	1	0.782216374269006	0.997838596491228	0.997838596491228	1	1	1	0.95306432748538	1	1	1	1	0.926581286549708	1	1	1	0.963397076023392	0.998270175438597	1	1	1	1	1	1	0.997838596491228	1	0.604408187134503	1	0.787014619883041	0.833517543859649	1	1	1	1	0.99794269005848	1	0.999866081871345	0.951791812865497	1	0.979783625730994	1	0.981084795321637	1	1	0.953587719298246	1	0.864839766081871	1	0.902336842105263	1	0.956998830409357	0.971295321637427	1	0.987772514619883	1	0.997841520467836	1	1	1	1	1	0.00216140350877193	0.890366666666667	0.324146198830409	0.176927485380117	0.00216140350877193	0.262297660818713	0.00216140350877193	0.73069298245614	0.929268421052632	0.561129824561403	0.398536257309942	0.129939766081871	0.851112280701754	0.790842105263158	0.7151	0.977925730994152	0.847587719298246	0.981105847953216	0.946883040935672	0.354549707602339	0.984697660818713	0.994247953216374	1	0.962683040935672	0.997995321637427	0.837306432748538	1	1	0.997219883040936	1	0.495007602339181	1	1	1	1	1	1	1	1	1	1	1	0.00216140350877193	0.00216140350877193	0.00216140350877193	0.999361403508772	1	1	0.998436257309941	0.999156140350877	0.99929649122807	0.980105263157895	0.994729239766082	0.970333333333333	1	0.894251461988304	1	1	1	1	1	1	1	1
SRR10034517	1	0.123488304093567	0	0.125649707602339	0.223433918128655	0.886973099415205	0.797724561403509	0.898774269005848	0.832963742690058	0.777522807017544	0.88552865497076	0.961553801169591	0.9787216374269	0.987777777777778	1	1	0.782216374269006	0.876814035087719	0.874350292397661	1	1	1	0.931312865497076	1	1	1	1	0.926581286549708	1	1	1	0.963397076023392	0.998270175438597	1	1	1	1	1	1	0.941033333333333	1	0.480919883040936	1	0.663526315789474	0.711708771929825	1	1	1	1	0.980552631578947	1	0.999540350877193	0.951307602339181	1	0.979783625730994	1	0.981084795321637	1	1	0.953587719298246	1	0.864839766081871	1	0.859418128654971	1	0.956998830409357	0.971295321637427	1	0.987772514619883	1	0.959300584795322	1	1	1	1	1	0.125649707602339	0.88917134502924	0.324146198830409	0.178573684210526	0.125649707602339	0.262301169590643	0.125649707602339	0.73069298245614	0.929268421052632	0.561129824561403	0.398536257309942	0.142169005847953	0.840481871345029	0.790842105263158	0.7151	0.977925730994152	0.847587719298246	0.979750292397661	0.946883040935672	0.354549707602339	0.981146198830409	0.994247953216374	1	0.953837426900585	0.997995321637427	0.837306432748538	1	1	0.997219883040936	1	0.495007602339181	1	1	1	1	1	1	1	1	1	1	1	0.125649707602339	0.125649707602339	0.125649707602339	0.998826900584795	1	1	0.998436257309941	0.999156140350877	0.99929649122807	0.97570350877193	0.994729239766082	0.968788888888889	1	0.894251461988304	1	1	1	1	1	1	1	1
SRR10034518	1	0.00216140350877193	0.125649707602339	0	0.223345029239766	0.910626900584795	0.797724561403509	0.898774269005848	0.832963742690058	0.782676608187134	0.891446198830409	0.961553801169591	0.986381286549708	0.987777777777778	1	1	0.782216374269006	1	1	1	1	1	0.955175438596491	1	1	1	1	0.926581286549708	1	1	1	0.963397076023392	0.998270175438597	1	1	1	1	1	1	1	1	0.606569590643275	1	0.789176023391813	0.835678947368421	1	1	1	1	1	1	1	0.952002339181287	1	0.979783625730994	1	0.981084795321637	1	1	0.953587719298246	1	0.864839766081871	1	0.904498245614035	1	0.956998830409357	0.971295321637427	1	0.987772514619883	1	1	1	1	1	1	1	0	0.890813450292398	0.324146198830409	0.176927485380117	0	0.262297660818713	0	0.73069298245614	0.929268421052632	0.561129824561403	0.398536257309942	0.129939766081871	0.852905847953216	0.790842105263158	0.7151	0.977925730994152	0.847587719298246	0.98162865497076	0.946883040935672	0.354549707602339	0.985740935672515	0.994247953216374	1	0.96439298245614	0.997995321637427	0.837306432748538	1	1	0.997219883040936	1	0.495007602339181	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0.999567251461988	1	1	0.998436257309941	0.999156140350877	0.99929649122807	0.981336257309941	0.994729239766082	0.97090350877193	1	0.894251461988304	1	1	1	1	1	1	1	1
SRR10034523	1	0.223345029239766	0.223433918128655	0.223345029239766	0	0.910626900584795	0.797724561403509	0.898774269005848	0.832963742690058	0.782676608187134	0.891446198830409	0.961553801169591	0.986381286549708	0.987777777777778	1	1	0.782216374269006	1	1	1	1	1	0.955175438596491	1	1	1	1	0.926581286549708	0.844914035087719	1	1	0.963397076023392	0.998270175438597	1	1	1	0.946418713450292	0.94599649122807	0.82967134502924	1	0.848950877192982	0.606569590643275	1	0.789176023391813	0.835678947368421	1	1	0.863482456140351	1	1	1	0.866504093567251	0.845748538011696	0.888469590643275	0.873140935672515	0.898202339181287	0.875893567251462	0.89329298245614	0.971609941520468	0.953587719298246	0.902881286549708	0.864839766081871	0.886907602339181	0.833498830409357	0.87800350877193	0.910042105263158	0.937153216374269	0.871322222222222	0.877197660818713	0.900664912280702	1	1	1	1	1	1	0.223345029239766	0.792124561403509	0.324460233918129	0.226387134502924	0.223345029239766	0.266818128654971	0.223345029239766	0.73069298245614	0.82437485380117	0.561129824561403	0.398540350877193	0.223475438596491	0.67016081871345	0.605780116959064	0.640105263157895	0.86198947368421	0.767184210526316	0.979511111111111	0.798532748538012	0.276724561403509	0.900463742690058	0.854101169590643	1	0.96439298245614	0.997995321637427	0.837306432748538	1	1	0.802888888888889	1	0.495007602339181	1	1	0.885406432748538	1	1	0.905727485380117	1	0.885735087719298	1	1	1	0.223345029239766	0.223345029239766	0.223345029239766	0.839393567251462	1	0.850618713450292	0.848178947368421	0.828859064327485	0.840894736842105	0.981336257309941	0.816338596491228	0.825217543859649	1	0.802439766081871	1	1	1	1	1	0.915014619883041	0.92163567251462	0.937429239766082
SRR11426432	1	0.908507602339181	0.886973099415205	0.910626900584795	0.910626900584795	0	0.910626900584795	0.501929239766082	0.8615	0.874395321637427	0.826146198830409	0.896319298245614	0.923597660818713	0.960621052631579	1	1	0.910626900584795	0.936485964912281	0.936485964912281	0.957298830409357	0.97643918128655	0.915905847953216	0.875005263157895	1	1	1	0.979940350877193	0.930615789473684	1	0.5612	1	0.963498245614035	0.558047953216374	0.976809356725146	0.543849707602339	0.960139766081871	0.999370175438597	1	1	0.93665730994152	1	0.753214619883041	0.999888888888889	0.886973099415205	0.863361403508772	0.960139766081871	1	0.995579532163743	0.976367251461988	0.878397660818713	0.976367251461988	0.99134269005848	0.944001754385965	0.995918128654971	0.976194736842105	0.996750877192982	0.971205847953216	0.996184210526316	0.981605263157895	0.930195906432749	0.991733918128655	0.848191228070175	0.995120467836257	0.871473099415205	0.991333918128655	0.868366081871345	0.886630994152047	1	0.927154970760234	0.999043859649123	0.917046198830409	1	1	1	1	1	0.910626900584795	0.913686549707602	0.910626900584795	0.910626900584795	0.910626900584795	0.910626900584795	0.910626900584795	0.910626900584795	0.933283625730994	0.910626900584795	0.910626900584795	0.910626900584795	0.900095906432749	0.910630409356725	0.910626900584795	0.977930409356725	0.910949707602339	0.979791812865497	0.947750292397661	0.910626900584795	0.981313450292398	0.994247953216374	1	0.878143274853801	0.972018128654971	0.870769590643275	0.965707602339181	0.969773099415205	0.997219883040936	0.979072514619883	0.889699415204678	0.979072514619883	0.979072514619883	1	1	1	1	1	1	1	1	0.985336842105263	0.910626900584795	0.910626900584795	0.910626900584795	0.99843567251462	1	1	0.998436257309941	0.998926900584795	0.99929649122807	0.970904678362573	0.992618713450292	0.950030994152047	1	0.913990643274854	1	0.960139766081871	1	1	1	1	1	1
SRR11440495	1	0.797724561403509	0.797724561403509	0.797724561403509	0.797724561403509	0.910626900584795	0	0.898774269005848	0.835385964912281	0.805475438596491	0.891458479532164	0.961553801169591	0.986381286549708	0.987777777777778	1	1	0.80188947368421	1	1	0.987844444444444	1	1	0.955175438596491	1	1	1	1	0.926581286549708	1	1	1	0.963397076023392	0.996433333333333	1	1	1	0.958202339181286	0.942142105263158	0.927615204678363	1	0.539972514619883	0.797724561403509	1	0.803973099415205	0.83630350877193	1	1	0.813194736842105	1	0.976860233918129	1	0.839488304093567	0.775948538011696	0.870826315789474	0.829088304093567	0.879591812865497	0.876287134502924	0.915156140350877	1	0.953587719298246	0.908108771929825	0.864861403508772	0.908319883040936	0.86157485380117	0.879715204678363	0.956998830409357	0.939382456140351	1	0.987772514619883	0.674899415204678	1	1	1	1	1	1	0.797724561403509	0.782097076023392	0.797724561403509	0.797724561403509	0.797724561403509	0.797724561403509	0.797724561403509	0.798202923976608	0.840878947368421	0.797724561403509	0.797724561403509	0.797724561403509	0.790379532163743	0.808640350877193	0.736763157894737	0.741285964912281	0.848501169590643	0.98162865497076	0.946883040935672	0.777159064327485	0.961004093567251	0.994247953216374	1	0.937768421052632	0.997995321637427	0.837461988304094	1	1	0.79839298245614	1	0.797724561403509	1	1	0.394904678362573	1	1	0.280840350877193	1	0.392228070175439	1	1	1	0.797724561403509	0.797724561403509	0.797724561403509	0.882633333333333	0.99947485380117	0.833347368421053	0.867794152046784	0.87876783625731	0.911994152046784	0.981336257309941	0.863805263157895	0.810236257309942	1	0.894251461988304	1	0.921435087719298	1	1	1	0.949477777777778	0.984008771929824	0.994622807017544
SRR11440496	1	0.898774269005848	0.898774269005848	0.898774269005848	0.898774269005848	0.501929239766082	0.898774269005848	0	0.889266081871345	0.898778947368421	0.88705730994152	0.951762573099415	0.976885964912281	0.987777777777778	1	1	0.898774269005848	1	1	0.989597660818713	1	0.938855555555556	0.955238011695906	1	1	1	1	0.928153801169591	1	0.948480116959064	1	0.962472514619883	0.946750292397661	1	0.948480116959064	1	1	1	1	1	1	0.765015789473684	1	0.898774269005848	0.809866666666667	1	1	1	1	0.935316959064327	1	0.99687134502924	0.949794152046784	0.999198830409357	0.979563157894737	0.999858479532164	0.975016959064328	0.99861052631579	1	0.953637426900585	1	0.899824561403509	1	0.911822807017544	1	0.927324561403509	0.933463157894737	1	0.987772514619883	1	1	1	1	1	1	1	0.898774269005848	0.907076023391813	0.898774269005848	0.898774269005848	0.898774269005848	0.898774269005848	0.898774269005848	0.898774269005848	0.930967251461988	0.898774269005848	0.898774269005848	0.898774269005848	0.899798245614035	0.898781871345029	0.898774269005848	0.977925730994152	0.899535087719298	0.98162865497076	0.947169590643275	0.898774269005848	0.985740935672515	0.994247953216374	1	0.947126900584795	0.972595321637427	0.859346198830409	0.967323976608187	0.970694152046784	0.997219883040936	1	0.898774269005848	1	1	1	1	1	1	1	1	1	1	1	0.898774269005848	0.898774269005848	0.898774269005848	0.999440935672515	1	1	0.998436257309941	0.998926900584795	0.998711111111111	0.976308187134503	0.992618713450292	0.937578947368421	1	0.905607602339181	1	1	1	1	1	1	1	1
SRR11445089	1	0.832963742690058	0.832963742690058	0.832963742690058	0.832963742690058	0.8615	0.835385964912281	0.889266081871345	0	0.217931578947368	0.249676608187134	0.297352046783626	0.385846198830409	0.333752046783626	1	0.612730994152047	0.827342105263158	0.983641520467836	0.975586549707602	0.895428070175439	0.929354970760234	0.882975438596491	0.888405847953216	0.991945029239766	1	1	0.911740935672515	0.918565497076023	0.993705263157895	0.991945029239766	1	0.955342105263158	0.991401169590643	0.94825730994152	0.981873099415205	0.983641520467836	0.999408771929825	1	0.99924269005848	0.983641520467836	1	0.823221052631579	0.999887719298246	0.834549707602339	0.755776023391813	0.983641520467836	1	0.996149122807018	0.908063157894737	0.88446081871345	0.908063157894737	0.985073099415205	0.941473684210526	0.994948538011696	0.967601754385965	0.988464912280702	0.967754970760234	0.988416374269006	0.884669590643275	0.853595906432749	0.983895321637427	0.460065497076023	0.994950877192982	0.804670175438596	0.990549707602339	0.740346783625731	0.775708771929825	0.998887719298246	0.930833333333333	0.998421637426901	0.914978947368421	0.755370760233918	1	1	1	1	0.832963742690058	0.891705263157895	0.646622807017544	0.824909356725146	0.832963742690058	0.824908771929825	0.832963742690058	0.588483040935672	0.894549122807017	0.824908771929825	0.824908771929825	0.832963742690058	0.860461988304094	0.829471929824561	0.824964912280702	0.973094152046784	0.854370175438597	0.963319883040936	0.938830994152047	0.785988888888889	0.985740935672515	0.994247953216374	1	0.836218128654971	0.989940350877193	0.830950877192982	1	1	0.997219883040936	1	0.832963742690058	1	1	1	1	1	1	1	1	0.755370760233918	1	0.990298245614035	0.832963742690058	0.832963742690058	0.832963742690058	0.99898947368421	1	1	0.998436257309941	0.999156140350877	0.998987134502924	0.966133918128655	0.993143859649123	0.961548538011696	1	0.894493567251462	1	0.983641520467836	1	1	0.991945029239766	1	1	1
SRR11445090	1	0.781512280701754	0.777522807017544	0.782676608187134	0.782676608187134	0.874395321637427	0.805475438596491	0.898778947368421	0.217931578947368	0	0.318715789473684	0.489384210526316	0.558153216374269	0.279995906432749	1	0.497733918128655	0.792767251461988	0.984242105263158	0.942114619883041	0.918536842105263	0.924776608187134	0.956349707602339	0.888597076023392	0.95733216374269	1	1	0.882718128654971	0.889347953216374	0.986028070175439	0.95733216374269	1	0.920729239766082	0.982587134502924	0.968906432748538	0.983330994152047	0.989395906432749	0.999474269005848	1	1	0.984243274853801	1	0.777522807017544	0.999887719298246	0.795381286549708	0.798415789473684	0.989395906432749	1	0.996755555555556	0.966822222222222	0.9515216374269	0.966822222222222	0.975964912280702	0.941056725146199	0.994912865497076	0.933792397660819	0.9545	0.934753216374269	0.955000584795322	0.853233918128655	0.877742105263158	0.949830994152047	0.521463742690058	0.995015789473684	0.823508771929825	0.990876023391813	0.74001052631579	0.831538011695906	0.998887719298246	0.929781286549708	0.998194736842105	0.951445614035088	0.819872514619883	1	1	1	1	0.782676608187134	0.886114619883041	0.610881286549708	0.73632514619883	0.782676608187134	0.740008771929825	0.782676608187134	0.605494152046784	0.88834269005848	0.740008771929825	0.735655555555556	0.778174269005848	0.845280701754386	0.780883625730994	0.737040350877193	0.966492397660819	0.840995321637427	0.940921052631579	0.906095906432749	0.7312	0.982994736842105	0.994247953216374	1	0.92069649122807	0.955327485380117	0.827286549707602	1	1	0.997219883040936	1	0.782676608187134	1	1	1	1	1	1	1	1	0.819872514619883	1	0.991802923976608	0.782676608187134	0.782676608187134	0.782676608187134	0.998780701754386	1	1	0.998436257309941	0.999156140350877	0.998878362573099	0.963556725146199	0.994729239766082	0.96352514619883	1	0.894253801169591	1	0.989395906432749	1	1	0.95733216374269	1	1	1
