Variable	R_Statistic	pvalue	adjP	Significance	Dispersion
Sociality	-0.0205627058317523	0.6609	0.734333333333333		Sig Dispersed
Sociality 	-0.00685850484809287	0.6042	0.734333333333333		Sig Dispersed
Sex	0.0377153151308559	0.0224	0.0746666666666667		Sig Dispersed
Year Collected	0.0337444776066827	0.1767	0.3714		Sig Dispersed
Library Layout	0.0739516812706885	0.2724	0.454		Sig Dispersed
Platform	0.00398284542581663	0.4539	0.648428571428571		Sig Dispersed
Host Family	0.0554861319534302	0.1857	0.3714		Sig Dispersed
Host Tribe	-0.0450379350753289	0.9454	0.9454		Sig Dispersed
Continent	0.0372447365960265	0.017	0.0746666666666667		Sig Dispersed
Tissue Type	0.127191873852642	1e-04	0.001	*	Sig Dispersed
