Variable	DF	R2	F	pvalue	adjP	Significance	Dispersion
Sociality	2	0.0320850217503682	2.270678767545	0.0019	0.00475	*	Sig Dispersed
Sociality 	3	0.0378605726689001	1.78388486349754	0.0051	0.00728571428571429	*	Sig Dispersed
Sex	3	0.0371525026092892	1.74923525222707	0.0033	0.0055	*	Sig Dispersed
Year Collected	1	0.0314398042723313	4.47952848849225	1e-04	5e-04	*	Sig Dispersed
Library Layout	1	0.0126476472877263	1.76773298905062	0.0369	0.041	*	Sig Dispersed
Platform	6	0.0646850985252507	1.53301632963284	0.0024	0.0048	*	Sig Dispersed
Host Family	3	0.0255468455073089	1.1884857241813	0.1914	0.1914		Sig Dispersed
Host Tribe	13	0.11525128173834	1.26256287405038	0.0115	0.014375	*	Sig Dispersed
Continent	5	0.062731061977536	1.79371404812059	8e-04	0.00266666666666667	*	Sig Dispersed
Tissue Type	5	0.0850420413939554	2.49096331467546	1e-04	5e-04	*	Sig Dispersed
