1	2	pvalue	padj
Europe	North America	0.1909	0.715875
Europe	Asia	0.8153	0.9761
Europe	Oceania	0.9488	0.9761
Europe	Africa	0.787	0.9761
Europe	South America	0.0809	0.60675
North America	Asia	0.0392	0.588
North America	Oceania	0.4143	0.7768125
North America	Africa	0.5022	0.837
North America	South America	0.9761	0.9761
Asia	Oceania	0.8834	0.9761
Asia	Africa	0.7108	0.9761
Asia	South America	0.1383	0.6915
Oceania	Africa	0.2501	0.7503
Oceania	South America	0.3829	0.7768125
Africa	South America	0.333333333333333	0.7768125
