Variable	Factor_Levels	AvgDistanceToMedian	ANOVA_DF	ANOVA_Fvalue	ANOVA_pvalue	adj_pvalue	Sig
Sociality	Eusocial,Polymorphic,Solitary	0.64062631530056,0.586535750579705,0.564619228058559	2	6.00131103778404	0.00317377363394456	0.00436393874667377	Sig
Sociality 	Complex Eusocial,Polymorphic,Primitive Eusocial,Solitary	0.630795682520124,0.586535750579705,0.646804081951047,0.564619228058559	3	3.98456455800395	0.0093123438325324	0.0113817535730952	Sig
Sex	Female,Male,Queen,Unknown	0.634161164858045,0.501860432799649,0,0.632907618755318	3	23.1740557499213	3.53193624017406e-12	9.71282466047865e-12	Sig
Year Collected	2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021	0.38547044076074,0.543198581553396,0.539567520825442,0.534885975651493,0.637171498531404,0.63260267959567,0.517047713155083,0.534396778656363,0.545612617235828,0.465983558385332,0.617496940018717	10	2.11434885639875	0.0276459391552532	0.0304105330707785	Sig
Month Collected	April,August,December,January,July,June,March,May,November,October,September	0.631593770759123,0.630611569459614,0.368504675120797,0,0.595912689444749,0.486819298245614,0.611507542719145,0.622018719463888,0.448604093567252,0.547665265581247,0.397546146310859	10	5.93464024966265	2.58677275046972e-06	5.69090005103339e-06	Sig
Library Layout	Paired,Single	0.640304233182562,0.409244541020886	1	22.7936606385282	4.54396223643583e-06	8.3305974334657e-06	Sig
Library Selection	CDNA,Other,PCR,POLYA,RANDOM,RT-PCR	0.620108997656063,0.455338888888889,0.571774672128277,0.618300763584498,0.638062908981278,0.604422085385671	5	1.94582465485447	0.0923849422802702	0.0923849422802702	Non-Sig
Platform	BGISEQ,Illumina Genome Analyzer,Illumina HiSeq,Illumina NextSeq,Illumina NovaSeq,Ion Torrent,MGI	0.43567376830152,0,0.643529884478761,0.605871836504036,0.618370498126442,0,0.612647041641158	6	28.7873561602419	6.91232674852592e-22	7.60355942337852e-21	Sig
Host Family	Andrenidae,Apidae,Halictidae,Megachilidae	0.455891529331227,0.639042576453391,0.608790942327382,0.594774967979671	3	7.16351035738934	0.000167740960360205	0.000263592937708894	Sig
Host Tribe	Allodapini,Andrenini,Anthophorini,Apini,Augochlorini,Bombini,Ceratini,Epeolini,Euglossini,Halictini,Meliponini,Nomadini,Osmiini,Rophitini	0,0.455891529331227,0.455338888888889,0.635948221578967,0.432420405473581,0.646804081951047,0.159850584795321,0,0.539428097494465,0.410389463717356,0.314348582414587,0,0.594774967979671,0	13	15.6985787835409	1.20716998659272e-20	6.63943492625994e-20	Sig
Continent	Africa,Asia,Europe,North America,Oceania,South America	0.539567520825442,0.626983663929176,0.64408496627954,0.638244362005986,0.608153718268053,0.103883615934629	5	23.8581995270549	4.18027855186578e-17	1.53276880235079e-16	Sig
