Tax_ID	Microbial_Genus	Sociality
TRH1	Starmerella	Eusocial, Polymorphic, Solitary
TRH13	Alternaria	Eusocial, Polymorphic, Solitary
TRH21	Wolfiporia	Eusocial, Polymorphic
TRH23	Aspergillus	Eusocial, Polymorphic, Solitary
TRH54	Penicillium	Eusocial, Polymorphic, Solitary
TRH101	Leptomonas	Eusocial, Solitary
TRH102	Crithidia	Eusocial, Solitary
TRH104	Lotmaria	Eusocial
TRH111	Metschnikowia	Eusocial, Polymorphic, Solitary
TRH114	Bipolaris	Eusocial, Polymorphic, Solitary
TRH116	Fusarium	Eusocial, Polymorphic, Solitary
TRH127	Aureobasidium	Eusocial, Polymorphic, Solitary
TRH130	Parastagonospora	Eusocial, Polymorphic
TRH152	Yamadazyma	Eusocial, Polymorphic
TRH153	Cladosporium	Eusocial, Polymorphic, Solitary
TRH159	Clavispora	Eusocial, Polymorphic, Solitary
TRH162	Leishmania	Eusocial, Solitary
TRH171	Cercospora	Eusocial, Solitary
TRH181	Colletotrichum	Eusocial, Polymorphic, Solitary
TRH185	Dictyostelium	Eusocial, Polymorphic
TRH191	Zymoseptoria	Eusocial, Solitary
TRH211	Zygosaccharomyces	Eusocial, Solitary
TRH226	Malassezia	Eusocial, Polymorphic
TRH228	Yarrowia	Eusocial, Polymorphic
TRH334	Diplodia	Eusocial, Polymorphic
TRH336	Plasmodium	Eusocial, Polymorphic, Solitary
TRH344	Botrytis	Eusocial, Solitary
TRH365	Saccharomyces	Eusocial, Polymorphic
TRH367	Candida	Eusocial, Polymorphic, Solitary
TRH462	Nosema	Eusocial, Polymorphic, Solitary
TRH472	Trypanosoma	Eusocial, Solitary
TRH493	Apicystis	Eusocial, Polymorphic, Solitary
TRH1	Starmerella	Eusocial, Polymorphic, Solitary
TRH13	Alternaria	Eusocial, Polymorphic, Solitary
TRH21	Wolfiporia	Eusocial, Polymorphic
TRH23	Aspergillus	Eusocial, Polymorphic, Solitary
TRH54	Penicillium	Eusocial, Polymorphic, Solitary
TRH111	Metschnikowia	Eusocial, Polymorphic, Solitary
TRH114	Bipolaris	Eusocial, Polymorphic, Solitary
TRH116	Fusarium	Eusocial, Polymorphic, Solitary
TRH127	Aureobasidium	Eusocial, Polymorphic, Solitary
TRH130	Parastagonospora	Eusocial, Polymorphic
TRH152	Yamadazyma	Eusocial, Polymorphic
TRH153	Cladosporium	Eusocial, Polymorphic, Solitary
TRH159	Clavispora	Eusocial, Polymorphic, Solitary
TRH181	Colletotrichum	Eusocial, Polymorphic, Solitary
TRH185	Dictyostelium	Eusocial, Polymorphic
TRH226	Malassezia	Eusocial, Polymorphic
TRH228	Yarrowia	Eusocial, Polymorphic
TRH334	Diplodia	Eusocial, Polymorphic
TRH336	Plasmodium	Eusocial, Polymorphic, Solitary
TRH365	Saccharomyces	Eusocial, Polymorphic
TRH367	Candida	Eusocial, Polymorphic, Solitary
TRH462	Nosema	Eusocial, Polymorphic, Solitary
TRH493	Apicystis	Eusocial, Polymorphic, Solitary
TRH1	Starmerella	Eusocial, Polymorphic, Solitary
TRH13	Alternaria	Eusocial, Polymorphic, Solitary
TRH23	Aspergillus	Eusocial, Polymorphic, Solitary
TRH54	Penicillium	Eusocial, Polymorphic, Solitary
TRH101	Leptomonas	Eusocial, Solitary
TRH102	Crithidia	Eusocial, Solitary
TRH111	Metschnikowia	Eusocial, Polymorphic, Solitary
TRH114	Bipolaris	Eusocial, Polymorphic, Solitary
TRH116	Fusarium	Eusocial, Polymorphic, Solitary
TRH127	Aureobasidium	Eusocial, Polymorphic, Solitary
TRH153	Cladosporium	Eusocial, Polymorphic, Solitary
TRH159	Clavispora	Eusocial, Polymorphic, Solitary
TRH162	Leishmania	Eusocial, Solitary
TRH171	Cercospora	Eusocial, Solitary
TRH181	Colletotrichum	Eusocial, Polymorphic, Solitary
TRH191	Zymoseptoria	Eusocial, Solitary
TRH211	Zygosaccharomyces	Eusocial, Solitary
TRH336	Plasmodium	Eusocial, Polymorphic, Solitary
TRH344	Botrytis	Eusocial, Solitary
TRH367	Candida	Eusocial, Polymorphic, Solitary
TRH462	Nosema	Eusocial, Polymorphic, Solitary
TRH472	Trypanosoma	Eusocial, Solitary
TRH493	Apicystis	Eusocial, Polymorphic, Solitary
