AM_N_068	SRR10034516	SRR10034517	SRR10034518	SRR10034523	SRR11426432	SRR11440496	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12053430	SRR12233820	SRR12235348	SRR12244814	SRR12245258	SRR12245523	SRR12527928	SRR12527929	SRR12527932	SRR12527933	SRR12527934	SRR12527935	SRR12527961	SRR12527962	SRR12527963	SRR12527964	SRR12527965	SRR12527966	SRR13404631	SRR13404632	SRR13404634	SRR13404636	SRR13404640	SRR13404641	SRR13442813	SRR13442815	SRR13442818	SRR13442824	SRR13442825	SRR13442827	SRR13442828	SRR13442829	SRR13442830	SRR13442831	SRR13769013	SRR13769014	SRR13769015	SRR13769016	SRR13769017	SRR13769018	SRR13769019	SRR14567209	SRR14567210	SRR14567211	SRR14567212	SRR14567213	SRR14567214	SRR14567217	SRR14567218	SRR14567219	SRR14567220	SRR14567221	SRR14567222	SRR1503066	SRR1503113	SRR1503129	SRR1503133	SRR17475010	SRR18500042	SRR18500043	SRR18500044	SRR18500045	SRR18500050	SRR18500061	SRR18500072	SRR18500076	SRR18500077	SRR18500078	SRR18500079	SRR18500080	SRR18500081	SRR18500082	SRR18500084	SRR18500085	SRR18500086	SRR18500087	SRR18500088	SRR18500090	SRR18500091	SRR2001612	SRR2001766	SRR2396653	SRR2895251	SRR2915407	SRR2954866	SRR3948531	SRR3948548	SRR3948572	SRR3948577	SRR5109826	SRR5109829	SRR5109832	SRR5117446	SRR5117450	SRR5253659	SRR5387735	SRR5387737	SRR5387738	SRR6148364	SRR6148366	SRR6148371	SRR6148374	SRR6148376	SRR6148378	SRR6148379	SRR8335253	SRR8335256	SRR8335258	SRR8754036	SRR8754038	SRR8867392	SRR8867393	SRR8867395
AM_N_068	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.99759649122807	1	1	1	1	1	1	1	1	1	1	1	1	0.928201754385965	1	1	1	1	0.956762573099415	1	0.895347368421053	0.959850292397661	0.941338011695906	1	1	1	0.839840350877193	1	0.931916374269006	1	1	1	1	1	0.96972865497076	1	1	1	1	0.954298830409357	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.981269590643275	1	1	0.967931578947368	1	1	1	1	0.819033333333333	0.686830409356725	1	1	1	1	1	1	1	0.0599959064327485	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR10034516	1	0	0.123367251461988	0.00211169590643275	0.00211169590643275	0.908947368421053	0.899306432748538	0.727675438596491	0.561088888888889	0.839746783625731	0.94955730994152	0.981718713450292	0.963945029239766	0.782030994152047	0.997888304093567	0.997888304093567	1	1	1	0.940945029239766	1	1	1	1	0.92633918128655	1	1	0.963094152046784	0.998254970760234	1	1	1	1	1	1	0.997888304093567	1	0.604988888888889	1	0.787138596491228	0.83343216374269	1	1	1	1	0.997994736842105	1	0.998362573099415	0.79233216374269	1	0.917659064327485	1	0.946016959064327	1	1	0.953587719298246	1	0.806436257309942	1	0.887575438596491	1	0.955130994152047	0.969678947368421	1	0.947002923976608	1	0.997890058479532	1	1	1	0.00211169590643275	0.129218128654971	0.324551461988304	0.177185964912281	0.00211169590643275	0.262552631578947	0.00211169590643275	0.731135087719298	0.416521637426901	0.561257894736842	0.398161403508772	0.129716374269006	0.19359298245614	0.21720350877193	0.525109941520468	0.40312514619883	0.178012865497076	0.981204093567251	0.559411695906433	0.262309356725146	0.98043918128655	0.00211169590643275	1	0.96282514619883	0.997929824561403	0.837488888888889	1	1	1	0.49498947368421	1	1	1	1	1	1	1	1	0.00211169590643275	0.00211169590643275	0.00211169590643275	0.790833333333333	1	0.998465497076023	0.285697660818713	0.654769005847953	1	0.88372865497076	1	1	1	1	1	1	1	1
SRR10034517	1	0.123367251461988	0	0.125478947368421	0.125478947368421	0.887176023391813	0.899306432748538	0.727675438596491	0.552205847953216	0.832523976608187	0.94955730994152	0.973911695906433	0.963945029239766	0.782030994152047	0.876830409356725	0.874521052631579	1	1	1	0.912575438596491	1	1	1	1	0.92633918128655	1	1	0.963094152046784	0.998254970760234	1	1	1	1	1	1	0.928052631578947	1	0.481621637426901	1	0.66377134502924	0.711728070175439	1	1	1	1	0.980685964912281	1	0.990304093567251	0.790066081871345	1	0.917659064327485	1	0.946016959064327	1	1	0.953587719298246	1	0.806436257309942	1	0.837273684210526	1	0.955130994152047	0.969678947368421	1	0.947002923976608	1	0.95897485380117	1	1	1	0.125478947368421	0.129775438596491	0.324551461988304	0.178676608187134	0.125478947368421	0.262563742690058	0.125478947368421	0.731135087719298	0.416521637426901	0.561257894736842	0.398161403508772	0.141876023391813	0.128562573099415	0.217370175438596	0.525109941520468	0.40312514619883	0.179550877192982	0.979835087719298	0.559411695906433	0.262313450292398	0.975827485380117	0.125478947368421	1	0.953770760233918	0.997929824561403	0.837488888888889	1	1	1	0.49498947368421	1	1	1	1	1	1	1	1	0.125478947368421	0.125478947368421	0.125478947368421	0.667466081871345	1	0.998465497076023	0.285697660818713	0.631909356725146	1	0.88372865497076	1	1	1	1	1	1	1	1
SRR10034518	1	0.00211169590643275	0.125478947368421	0	0	0.911021052631579	0.899306432748538	0.727675438596491	0.562765497076023	0.84127485380117	0.94955730994152	0.983315204678363	0.963945029239766	0.782030994152047	1	1	1	1	1	0.943043859649123	1	1	1	1	0.92633918128655	1	1	0.963094152046784	0.998254970760234	1	1	1	1	1	1	1	1	0.607100584795322	1	0.789250292397661	0.835543859649123	1	1	1	1	1	1	1	0.79306783625731	1	0.917659064327485	1	0.946016959064327	1	1	0.953587719298246	1	0.806436257309942	1	0.889687134502924	1	0.955130994152047	0.969678947368421	1	0.947002923976608	1	1	1	1	1	0	0.13103216374269	0.324551461988304	0.177185964912281	0	0.262552631578947	0	0.731135087719298	0.416521637426901	0.561257894736842	0.398161403508772	0.129716374269006	0.195704678362573	0.21720350877193	0.525109941520468	0.40312514619883	0.178012865497076	0.98170701754386	0.559411695906433	0.262309356725146	0.981647368421053	0	1	0.964511111111111	0.997929824561403	0.837488888888889	1	1	1	0.49498947368421	1	1	1	1	1	1	1	1	0	0	0	0.792945029239766	1	0.998465497076023	0.285697660818713	0.656852046783626	1	0.88372865497076	1	1	1	1	1	1	1	1
SRR10034523	1	0.00211169590643275	0.125478947368421	0	0	0.911021052631579	0.899306432748538	0.727675438596491	0.562765497076023	0.84127485380117	0.94955730994152	0.983315204678363	0.963945029239766	0.782030994152047	1	1	1	1	1	0.943043859649123	1	1	1	1	0.92633918128655	1	1	0.963094152046784	0.998254970760234	1	1	1	1	1	1	1	1	0.607100584795322	1	0.789250292397661	0.835543859649123	1	1	1	1	1	1	1	0.79306783625731	1	0.917659064327485	1	0.946016959064327	1	1	0.953587719298246	1	0.806436257309942	1	0.889687134502924	1	0.955130994152047	0.969678947368421	1	0.947002923976608	1	1	1	1	1	0	0.13103216374269	0.324551461988304	0.177185964912281	0	0.262552631578947	0	0.731135087719298	0.416521637426901	0.561257894736842	0.398161403508772	0.129716374269006	0.195704678362573	0.21720350877193	0.525109941520468	0.40312514619883	0.178012865497076	0.98170701754386	0.559411695906433	0.262309356725146	0.981647368421053	0	1	0.964511111111111	0.997929824561403	0.837488888888889	1	1	1	0.49498947368421	1	1	1	1	1	1	1	1	0	0	0	0.792945029239766	1	0.998465497076023	0.285697660818713	0.656852046783626	1	0.88372865497076	1	1	1	1	1	1	1	1
SRR11426432	1	0.908947368421053	0.887176023391813	0.911021052631579	0.911021052631579	0	0.502501169590643	0.847285380116959	0.858032748538012	0.80963216374269	0.877428070175439	0.912843859649123	0.908859064327485	0.911021052631579	0.935890643274854	0.935890643274854	0.95740350877193	0.976461403508772	0.915614619883041	0.860025730994152	1	1	1	0.979897076023392	0.930581286549708	0.560800584795322	1	0.96320701754386	0.55763567251462	0.976421052631579	0.543623391812865	0.959736257309941	0.999331578947368	1	1	0.935913450292398	1	0.753023391812865	0.999891812865497	0.887175438596491	0.863602923976608	0.959736257309941	1	0.960943859649123	0.97640701754386	0.877692397660819	0.97640701754386	0.924901754385965	0.880246198830409	0.967939766081871	0.912084210526316	0.974731578947368	0.920023391812866	0.987922222222222	0.980408187134503	0.930278362573099	0.983311695906433	0.847167251461988	0.987908187134503	0.866833918128655	0.97640701754386	0.86393567251462	0.883301754385965	1	0.884031578947368	0.998251461988304	0.916698830409357	1	1	1	0.911021052631579	0.899498245614035	0.911021052631579	0.911021052631579	0.911021052631579	0.911021052631579	0.911021052631579	0.911021052631579	0.911021052631579	0.911021052631579	0.911021052631579	0.911021052631579	0.887268421052632	0.911021052631579	0.911021052631579	0.911021052631579	0.911021052631579	0.979875438596491	0.911021052631579	0.911021052631579	0.976101169590643	0.911021052631579	1	0.877788304093567	0.972026900584795	0.87076432748538	0.959665497076023	0.964176608187134	0.979131578947368	0.890152631578947	0.979131578947368	0.979131578947368	1	1	1	1	1	0.985467251461988	0.911021052631579	0.911021052631579	0.911021052631579	0.823321637426901	1	0.998465497076023	0.625468421052632	0.668959064327485	1	0.912300584795322	1	0.959736257309941	1	1	1	1	1	1
SRR11440496	1	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.502501169590643	0	0.88342865497076	0.899306432748538	0.870116374269006	0.936860233918129	0.971819883040936	0.963963157894737	0.899306432748538	1	1	0.989575438596491	1	0.938658479532164	0.943369005847953	1	1	1	1	0.927915789473684	0.948239766081871	1	0.962139766081871	0.946494736842105	1	0.948239766081871	1	1	1	1	1	1	0.765154385964912	1	0.899306432748538	0.810340350877193	1	1	1	1	0.934819298245614	1	0.937278947368421	0.889144444444444	0.99093216374269	0.92090701754386	0.998836257309942	0.929515204678363	0.995421052631579	1	0.953659064327485	1	0.899306432748538	1	0.905092397660819	1	0.924121637426901	0.929645614035088	1	0.947241520467836	1	1	1	1	1	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.899306432748538	0.98170701754386	0.899306432748538	0.899306432748538	0.981647368421053	0.899306432748538	1	0.947044444444444	0.972591812865497	0.860012280701754	0.962645614035088	0.965975438596491	1	0.899306432748538	1	1	1	1	1	1	1	1	0.899306432748538	0.899306432748538	0.899306432748538	0.84082514619883	1	0.997142105263158	0.613608771929825	0.567559649122807	1	0.902340935672515	1	1	1	1	1	1	1	1
SRR11445089	1	0.727675438596491	0.727675438596491	0.727675438596491	0.727675438596491	0.847285380116959	0.88342865497076	0	0.270768421052632	0.33587485380117	0.266969590643275	0.330265497076023	0.496177192982456	0.772371929824561	0.973597076023392	0.960351461988304	0.859046783625731	0.91858947368421	0.81173216374269	0.849540935672515	0.986751461988304	1	1	0.906610526315789	0.913158479532164	0.986751461988304	1	0.949845614035088	0.988409356725146	0.918588888888889	0.981695906432749	0.973597076023392	0.99934269005848	1	0.998431578947368	0.973597076023392	1	0.7118	0.999891228070175	0.790031578947368	0.685526315789474	0.973597076023392	1	0.973829239766082	0.849800584795322	0.813204678362573	0.850011695906433	0.831419883040936	0.749633918128655	0.945480116959064	0.887361988304094	0.957502923976608	0.917477192982456	0.974940935672515	0.958980701754386	0.790139766081871	0.969552631578947	0.630011111111111	0.986298830409357	0.726533918128655	0.849800584795322	0.713033333333333	0.750541520467836	1	0.774337426900585	0.996914619883041	0.901550877192982	0.600552046783626	1	1	0.727675438596491	0.727675438596491	0.53902514619883	0.714430994152047	0.727675438596491	0.714426900584795	0.727675438596491	0.348923391812865	0.460020467836257	0.71442865497076	0.714426900584795	0.727675438596491	0.727675438596491	0.714432748538012	0.714426900584795	0.714426900584795	0.712261988304094	0.958877192982456	0.714431578947368	0.673571929824561	0.981647368421053	0.727675438596491	1	0.783211695906433	0.984681286549708	0.811087719298246	1	1	1	0.727675438596491	1	1	1	1	1	0.600552046783626	1	0.989069005847953	0.727675438596491	0.727675438596491	0.727675438596491	0.591653216374269	1	0.997601754385965	0.711797660818713	0.69964269005848	1	0.88372865497076	1	0.973597076023392	1	1	0.986751461988304	1	1	1
SRR11445090	1	0.561088888888889	0.552205847953216	0.562765497076023	0.562765497076023	0.858032748538012	0.899306432748538	0.270768421052632	0	0.370485964912281	0.483952631578947	0.507943274853801	0.534618713450292	0.773668421052632	0.968491228070175	0.89627134502924	0.840274269005848	0.85676783625731	0.91333216374269	0.833091228070175	0.914270760233918	1	1	0.834528070175439	0.877876608187135	0.914270760233918	1	0.877364912280702	0.982178362573099	0.938409356725146	0.981845029239766	0.979050877192982	0.99935730994152	1	1	0.968491228070175	1	0.599690643274854	0.999891228070175	0.778690643274854	0.758264912280702	0.979050877192982	1	0.979139766081871	0.933280701754386	0.903515204678363	0.933280701754386	0.826932748538012	0.744497076023392	0.943667251461988	0.817956140350877	0.889394152046784	0.849793567251462	0.906456725146199	0.886808187134503	0.80113918128655	0.897476023391813	0.71876783625731	0.986315789473684	0.726734502923977	0.933280701754386	0.67512514619883	0.78962514619883	1	0.779919883040936	0.996730994152047	0.909681286549708	0.638697076023392	1	1	0.562765497076023	0.546390643274854	0.364973099415205	0.482894152046784	0.562765497076023	0.477036257309941	0.562765497076023	0.369836842105263	0.249577192982456	0.497233918128655	0.474598830409357	0.553622807017544	0.543066081871345	0.485233918128655	0.475365497076023	0.467908187134503	0.535936257309942	0.936301169590643	0.496094152046784	0.499519298245614	0.976316959064327	0.562765497076023	1	0.895538596491228	0.912200584795322	0.816539766081871	1	1	1	0.563513450292398	1	1	1	1	1	0.638697076023392	1	0.989653801169591	0.562765497076023	0.562765497076023	0.562765497076023	0.697311695906433	1	0.99750701754386	0.562765497076023	0.578844444444444	1	0.88372865497076	1	0.979050877192982	1	1	0.914270760233918	1	1	1
SRR11445091	1	0.839746783625731	0.832523976608187	0.84127485380117	0.84127485380117	0.80963216374269	0.870116374269006	0.33587485380117	0.370485964912281	0	0.418116374269006	0.459847953216374	0.506344444444444	0.827687134502924	0.764538011695906	0.663154385964912	0.853194736842105	0.895171929824561	0.829857894736842	0.560743859649123	0.962380116959064	1	1	0.882243859649123	0.89227134502924	0.962380116959064	1	0.925474269005848	0.982885964912281	0.921956140350877	0.981619883040936	0.705902923976608	0.999331578947368	1	1	0.82386783625731	1	0.802921637426901	0.999891228070175	0.833499415204678	0.736265497076023	0.705902923976608	1	0.932901169590643	0.893214035087719	0.797098830409357	0.893216374269006	0.830238596491228	0.793759649122807	0.93937134502924	0.865181871345029	0.934662573099415	0.893431578947368	0.950043859649123	0.934614619883041	0.809183625730994	0.944818713450292	0.642127485380117	0.986298830409357	0.737465497076023	0.893214035087719	0.66713216374269	0.712494152046784	1	0.510913450292398	0.996733918128655	0.866853216374269	0.657049122807018	1	1	0.84127485380117	0.827654385964912	0.645318128654971	0.796752631578947	0.84127485380117	0.803654970760234	0.84127485380117	0.498409356725146	0.546093567251462	0.803654970760234	0.796422222222222	0.833967251461988	0.825216374269006	0.796969590643275	0.796347368421053	0.796347368421053	0.816420467836257	0.94169649122807	0.803654970760234	0.779863742690058	0.97690701754386	0.84127485380117	1	0.861112865497076	0.960309941520468	0.557288304093567	1	1	1	0.84127485380117	1	1	1	1	1	0.657049122807018	1	0.988416374269006	0.84127485380117	0.84127485380117	0.84127485380117	0.645199415204678	1	0.997511695906433	0.811672514619883	0.76619649122807	1	0.884745029239766	1	0.796976608187134	1	1	0.962380116959064	1	1	1
