Variable	R_Statistic	pvalue	adjP	Significance	Dispersion
Sociality	0.0253502820600871	0.2816	0.352		NonSig Dispersed
Sociality 	0.0212392355822555	0.1689	0.2815		NonSig Dispersed
Sex	0.0297641667728777	0.0442	0.1105		Sig Dispersed
Year Collected	-0.0200902374077388	0.7113	0.7113		Sig Dispersed
Library Layout	-0.0597860106497686	0.667	0.7113		Sig Dispersed
Platform	0.0936415898051353	0.01	0.0333333333333333	*	Sig Dispersed
Host Family	0.0427914618502707	0.2258	0.322571428571429		Sig Dispersed
Host Tribe	0.0283348854580849	0.1536	0.2815		Sig Dispersed
Continent	0.0447497592870585	0.0093	0.0333333333333333	*	Sig Dispersed
Tissue Type	0.0619143971185536	0.0083	0.0333333333333333	*	Sig Dispersed
