Variable	DF	R2	F	pvalue	adjP	Significance	Dispersion
Sociality	2	0.0314135607842517	1.99459120013671	0.0132	0.022	*	NonSig Dispersed
Sociality 	3	0.0482320537109687	2.06083516319332	0.0026	0.00866666666666667	*	NonSig Dispersed
Sex	3	0.0440761249666027	1.87507512762201	0.0044	0.0088	*	Sig Dispersed
Year Collected	1	0.0109018796859718	1.36673304022791	0.1887	0.235875		Sig Dispersed
Library Layout	1	0.00630576874009511	0.786877189354721	0.6708	0.6708		Sig Dispersed
Platform	5	0.0855985312128189	2.24667700045634	1e-04	0.001	*	Sig Dispersed
Host Family	3	0.0225065414134098	0.936339787687272	0.5559	0.617666666666667		Sig Dispersed
Host Tribe	13	0.120116156901099	1.1761176186395	0.0659	0.0941428571428571		Sig Dispersed
Continent	5	0.0687432485982417	1.77162524070232	0.002	0.00866666666666667	*	Sig Dispersed
Tissue Type	5	0.0651024404648502	1.67126179250408	0.0043	0.0088	*	Sig Dispersed
