Variable	Factor_Levels	AvgDistanceToMedian	ANOVA_DF	ANOVA_Fvalue	ANOVA_pvalue	adj_pvalue	Sig
Sociality	Eusocial,Polymorphic,Solitary	0.623420406670425,0.581246824079419,0.562940338690449	2	2.86911681555246	0.0605550367322908	0.06606004007159	Non-Sig
Sociality 	Complex Eusocial,Polymorphic,Primitive Eusocial,Solitary	0.620048884219301,0.581246824079419,0.609946791729186,0.562940338690449	3	1.24043719028231	0.298080751693974	0.298080751693974	Non-Sig
Sex	Female,Male,Queen,Unknown	0.634309509419766,0.489900874021683,0,0.593453829333697	3	12.9707035612119	2.07088384548255e-07	6.21265153644764e-07	Sig
Year Collected	2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021	0.36232703420751,0.459558707374566,0.406711111111111,0.520373006435158,0.584897276259103,0.560825738429551,0.47212906748502,0.205120227777607,0.417129627984986,0.524331373014867,0.633524337650421	10	3.47542562544244	0.000505440800677274	0.000866469944018184	Sig
Month Collected	April,August,December,January,July,June,March,May,November,October,September	0.587841392754301,0.544006936147334,0.397324327552357,0,0.541057087707755,0.469395321637427,0.38009482021421,0.534608393122369,0.000185672514345416,0.51892707182386,0.361951874117497	10	2.18388701348144	0.0332316479118863	0.0398779774942636	Sig
Library Layout	Paired,Single	0.626614717487708,0.45713538011696	1	12.3160760110351	0.000626593002624589	0.000939889503936883	Sig
Library Selection	CDNA,Other,PCR,POLYA,RANDOM,RT-PCR	0.627508732029296,0.251250584795321,0.582889213008183,0.605407814921817,0.599301720980379,0.443547827862552	5	8.25202156625053	1.58111763617234e-06	3.79468232681361e-06	Sig
Platform	BGISEQ,Illumina Genome Analyzer,Illumina HiSeq,Illumina NextSeq,Illumina NovaSeq,MGI	0.283966150375189,0,0.625025564659423,0.615560476047309,0.623078574513364,0.412925195576545	5	18.3946670421104	1.5883314351112e-13	9.52998861066722e-13	Sig
Host Family	Andrenidae,Apidae,Halictidae,Megachilidae	0.452476351607503,0.62292221277164,0.624950352281309,0.585059739942859	3	4.87008432483906	0.00310878166551173	0.00414504222068231	Sig
Host Tribe	Allodapini,Andrenini,Anthophorini,Apini,Augochlorini,Bombini,Ceratini,Epeolini,Euglossini,Halictini,Meliponini,Nomadini,Osmiini,Rophitini	0,0.452476351607503,0.455510526315789,0.618220637878841,0.495775548886815,0.609946791729186,0.209058187134503,0,0.499999999999999,0.557173381018943,0.531828030453344,0,0.585059739942859,0	13	13.4818707271777	1.6951960630252e-17	2.03423527563024e-16	Sig
Continent	Africa,Asia,Europe,North America,Oceania,South America	0.406711111111111,0.586527578098975,0.601252038765008,0.648562328183119,0.599554516771575,0.190522807017544	5	7.14644142344568	6.94287209428923e-06	1.38857441885785e-05	Sig
Tissue Type	abdomen,abdomen and fatbody,abdomen and head, pooled,gut,whole body,whole body, pooled	0.639342879388701,0,0.540440403664496,0.534928535569149,0.612034231330639,0.601977531109299	5	10.503908009279	2.22317333636684e-08	8.89269334546738e-08	Sig
