Microbe	Sample	Sample_Species	AggregateScore	nt_count	nt_contigs	nt_percent_identity	nt_alignment_length	nt_e_value	nr_count	nr_contigs	nr_percent_identity	nr_alignment_length	nr_e_value
Lactobacillus helsingborgensis	AM_N_056	Apis mellifera	26.0947560825224	39	2	99.7026	417.258	1e-286	1	NA	100	49	3.1e-24
Lactobacillus apis	AM_N_068	Apis mellifera	0.183900211777274	4	NA	99.8333	150	1e-89	0	NA	0	0	1
Gilliamella apicola	AM_N_072	Apis mellifera	1876112.64503914	3414	5	98.8719	1670.9	9.99999999999999e-295	138	2	99.4134	59.823	2.22232e-06
Snodgrassella alvi	AM_N_072	Apis mellifera	1335046.86871527	2575	7	99.584	1335.49	9.99999999999999e-226	118	3	95.6279	57.9714	0.0320002
Frischella perrara	AM_N_072	Apis mellifera	2640.92415172058	5	NA	93.372	89	1e-41	1	NA	98	49	7.39e-25
Candidatus Schmidhempelia	AM_N_072	Apis mellifera	528.184866283542	NA	NA	NA	NA	NA	1	NA	100	50	6.81e-25
Bartonella apis	AM_N_072	Apis mellifera	17.1252545271631	8	NA	99.7777	189	1e-105	0	NA	0	0	1
Lactobacillus apis	AM_N_072	Apis mellifera	13.1595564756578	40	4	99.6963	374.441	9.99999999999999e-263	0	NA	0	0	1
Gilliamella apicola	BT_N_001	Bombus terrestris	17707803.8587025	2771	24	96.4851	1847.55	1e-256	1305	39	97.1039	66.962	0.0113051
Gilliamella bombi	BT_N_001	Bombus terrestris	238942.397504572	NA	NA	NA	NA	NA	55	3	99.3596	75.3902	1.93903e-14
Gilliamella intestini	BT_N_001	Bombus terrestris	39099.6650462028	NA	NA	NA	NA	NA	9	NA	85.475	51.75	1.785e-07
Gilliamella mensalis	BT_N_001	Bombus terrestris	13033.2216820676	NA	NA	NA	NA	NA	3	NA	100	49	1.78001e-23
Gilliamella bombicola	BT_N_001	Bombus terrestris	13033.2216820676	NA	NA	NA	NA	NA	3	NA	99	49	3.53665e-26
Snodgrassella alvi	BT_N_001	Bombus terrestris	9341950.03062807	1659	8	97.3553	2158.24	9.99999999999999e-272	535	14	91.0886	61.6465	0.0394944
Lactobacillus apis	BT_N_001	Bombus terrestris	1078592.99969245	540	3	98.0606	1597.56	9.99999999999999e-303	1	NA	100	50	2.76e-21
Lactobacillus panisapium	BT_N_001	Bombus terrestris	2017.5390126339	1	NA	99.333	150	1e-88	NA	NA	NA	NA	NA
Bombilactobacillus bombi	BT_N_001	Bombus terrestris	1010813.22958889	233	3	99.8789	782.739	1e-257	2	NA	100	84	1
Frischella perrara	BT_N_001	Bombus terrestris	282386.469778131	65	2	87.9476	187.759	1e-60	0	NA	0	0	1
Bombiscardovia coagulans	BT_N_001	Bombus terrestris	30410.850591491	3	NA	98.1517	100.333	1e-54	4	NA	98.3095	67	6.005e-24
Candidatus Schmidhempelia	BT_N_001	Bombus terrestris	4344.40722735586	NA	NA	NA	NA	NA	1	NA	92	50	2.98e-19
Bifidobacterium actinocoloniiforme	BT_N_001	Bombus terrestris	313.062325598294	9	1	87.6283	373.444	1e-122	NA	NA	NA	NA	NA
Snodgrassella alvi	BT_N_025	Bombus terrestris	13508253.8537126	3343	28	96.4071	2219.57	1e-83	1409	56	93.7767	63.7117	0.0361697
Gilliamella apicola	BT_N_025	Bombus terrestris	9469685.98347257	2422	26	97.2733	1415.19	9.99999999999999e-266	843	34	98.7037	74.3225	0.00236804
Gilliamella bombi	BT_N_025	Bombus terrestris	89911.2604862633	NA	NA	NA	NA	NA	31	1	99.6326	59.0323	7.08483e-17
Gilliamella intestini	BT_N_025	Bombus terrestris	29003.6324149236	NA	NA	NA	NA	NA	10	NA	97.3002	59.1111	1.33526e-11
Gilliamella mensalis	BT_N_025	Bombus terrestris	11601.4529659695	NA	NA	NA	NA	NA	4	NA	98.276	39	7.3e-14
Gilliamella bombicola	BT_N_025	Bombus terrestris	2900.36324149236	NA	NA	NA	NA	NA	1	NA	100	49	1.28e-23
Bombilactobacillus bombi	BT_N_025	Bombus terrestris	1699844.88857385	592	4	92.7378	2237.72	9.99999999999999e-260	NA	NA	NA	NA	NA
Frischella perrara	BT_N_025	Bombus terrestris	159519.97828208	55	2	88.3009	189.02	1e-63	0	NA	0	0	1
Lactobacillus apis	BT_N_025	Bombus terrestris	1935.49355626067	34	1	97.6313	175.385	1e-93	5	NA	100	27.6	0.0003128
Lactobacillus helsingborgensis	BT_N_025	Bombus terrestris	249.729780349814	4	NA	97.5	150	1e-84	NA	NA	NA	NA	NA
Lactobacillus kullabergensis	BT_N_025	Bombus terrestris	6.2470690244499	2	NA	96.9335	137.5	1e-75	NA	NA	NA	NA	NA
Bifidobacterium actinocoloniiforme	BT_N_025	Bombus terrestris	37704.6664337427	156	3	89.4111	2088.71	9.99999999999999e-292	NA	NA	NA	NA	NA
Apilactobacillus kunkeei	BT_N_025	Bombus terrestris	17402.1794489542	6	NA	99.6665	150	1e-89	NA	NA	NA	NA	NA
Bombiscardovia coagulans	BT_N_025	Bombus terrestris	11601.4529659695	NA	NA	NA	NA	NA	4	NA	77.5865	87	1.02e-35
Gilliamella apicola	BT_N_029	Bombus terrestris	7035117.10502313	868	14	94.6337	1250.64	1e-198	744	27	96.7683	61.6537	0.0128245
Gilliamella bombi	BT_N_029	Bombus terrestris	113469.630726179	NA	NA	NA	NA	NA	26	1	86.0179	50.5	0.152727
Gilliamella mensalis	BT_N_029	Bombus terrestris	17456.8662655661	NA	NA	NA	NA	NA	4	NA	96.375	42	1.1175e-08
Gilliamella intestini	BT_N_029	Bombus terrestris	13092.6496991746	NA	NA	NA	NA	NA	3	NA	98	37.5	7.6e-07
Snodgrassella alvi	BT_N_029	Bombus terrestris	5179893.44328832	803	5	96.1665	2253.93	1e-246	408	9	95.0698	56.4713	0.0287976
