1	2	pvalue	padj
Europe	Oceania	0.001	0.015
Europe	Asia	0.433	0.590454545454545
Europe	North America	0.241	0.5565
Europe	Africa	0.345	0.5565
Europe	South America	0.822	0.880714285714286
Oceania	Asia	0.279	0.5565
Oceania	North America	0.295	0.5565
Oceania	Africa	0.246	0.5565
Oceania	South America	0.371	0.5565
Asia	North America	0.075	0.5565
Asia	Africa	0.229	0.5565
Asia	South America	0.563	0.649615384615384
North America	Africa	0.95	0.95
North America	South America	0.509	0.63625
Africa	South America	0.333333333333333	0.5565
