Variable	R_Statistic	pvalue	adjP	Significance	Dispersion
Sociality	0.0350754085152366	0.1646	0.182888888888889		NonSig Dispersed
Sociality 	0.00867032904030809	0.3278	0.3278		Sig Dispersed
Sex	0.070870378719639	0.0161	0.0268333333333333	*	Sig Dispersed
Year Collected	0.104602108685229	3e-04	0.0015	*	Sig Dispersed
Library Layout	0.517554603701929	0.0047	0.01525	*	Sig Dispersed
Platform	0.163787439995227	1e-04	0.001	*	Sig Dispersed
Host Family	0.105734963990305	0.0119	0.0238	*	NonSig Dispersed
Host Tribe	0.0504333892646869	0.042	0.06		Sig Dispersed
Continent	0.0385745270420711	0.0061	0.01525	*	NonSig Dispersed
Tissue Type	0.0314694774923904	0.0765	0.095625		Sig Dispersed
