Variable	DF	R2	F	pvalue	adjP	Significance	Dispersion
Sociality	2	0.0278964647433533	2.88404949166945	6e-04	0.00075	*	NonSig Dispersed
Sociality 	3	0.0435780958729406	3.03757826853725	1e-04	0.000166666666666667	*	Sig Dispersed
Sex	2	0.0485578697375427	5.12912530715543	1e-04	0.000166666666666667	*	Sig Dispersed
Year Collected	1	0.0179233897199949	3.68660111190991	8e-04	0.000888888888888889	*	Sig Dispersed
Library Layout	1	0.0105791596582486	2.15983953827785	0.0193	0.0193	*	Sig Dispersed
Platform	5	0.125630696791272	5.68978756994031	1e-04	0.000166666666666667	*	Sig Dispersed
Host Family	3	0.0608277499792085	4.31782703530418	1e-04	0.000166666666666667	*	NonSig Dispersed
Host Tribe	7	0.118959718676925	3.78061275240659	1e-04	0.000166666666666667	*	Sig Dispersed
Continent	5	0.0562643075873424	2.36090104292094	3e-04	0.000428571428571429	*	NonSig Dispersed
Tissue Type	5	0.0741101170049398	3.16966486759989	1e-04	0.000166666666666667	*	Sig Dispersed
