1	2	pvalue	padj
Europe	Oceania	0.0011	0.0165
Europe	Asia	0.2119	0.31785
Europe	North America	0.1529	0.31785
Europe	Africa	0.7555	0.7555
Europe	South America	0.3143	0.416666666666667
Oceania	Asia	0.1736	0.31785
Oceania	North America	0.1402	0.31785
Oceania	Africa	0.1988	0.31785
Oceania	South America	0.3646	0.420692307692308
Asia	North America	0.037	0.2775
Asia	Africa	0.0946	0.31785
Asia	South America	0.5565	0.59625
North America	Africa	0.1844	0.31785
North America	South America	0.1592	0.31785
Africa	South America	0.333333333333333	0.416666666666667
