1	2	pvalue	padj
Apini	Bombini	0.036	0.126
Apini	Ceratini	0.18	0.387692307692308
Apini	Euglossini	0.005	0.035
Apini	Osmiini	0.263	0.490933333333333
Apini	Andrenini	0.976	0.996
Apini	Augochlorini	0.995	0.996
Apini	Meliponini	0.049	0.1372
Bombini	Ceratini	0.253	0.490933333333333
Bombini	Euglossini	0.653	0.850181818181818
Bombini	Osmiini	0.996	0.996
Bombini	Andrenini	0.668	0.850181818181818
Bombini	Augochlorini	0.001	0.00933333333333333
Bombini	Meliponini	0.861	0.996
Ceratini	Euglossini	0.361	0.594588235294118
Ceratini	Osmiini	0.046	0.1372
Ceratini	Andrenini	0.091	0.212333333333333
Ceratini	Augochlorini	0.031	0.124
Ceratini	Meliponini	0.333333333333333	0.583333333333333
Euglossini	Osmiini	0.009	0.0504
Euglossini	Andrenini	0.648	0.850181818181818
Euglossini	Augochlorini	0.649	0.850181818181818
Euglossini	Meliponini	0.061	0.155272727272727
Osmiini	Andrenini	0.483	0.751333333333333
Osmiini	Augochlorini	0.001	0.00933333333333333
Osmiini	Meliponini	0.832	0.996
Andrenini	Augochlorini	0.001	0.00933333333333333
Andrenini	Meliponini	0.031	0.124
Augochlorini	Meliponini	0.923	0.996
