genus	AvgRelAbundance	Prevalence	Tribe	n
Lactobacillus: Firm-5	0.167414333097029	0.825581395348837	Apini	86
Gilliamella	0.266449444101991	0.790697674418605	Apini	86
Frischella	0.0796588944104076	0.616279069767442	Apini	86
Bartonella	0.0442002053776748	0.558139534883721	Apini	86
Snodgrassella	0.085496137874114	0.77906976744186	Apini	86
Bifidobacterium	0.0431066418751757	0.569767441860465	Apini	86
Commensalibacter	0.0177616504556266	0.523255813953488	Apini	86
Bombilactobacillus	0.0476305980285287	0.662790697674419	Apini	86
Escherichia	0.310746886413504	0.56140350877193	Bombini	57
Lactobacillus: Firm-5	0.0311568714460328	0.526315789473684	Bombini	57
Gilliamella	0.0792629044317721	0.824561403508772	Bombini	57
Snodgrassella	0.0663676203730801	0.719298245614035	Bombini	57
Acinetobacter	0.0276690288650374	0.56140350877193	Bombini	57
Neisseria	0.00465443771471311	0.56140350877193	Bombini	57
Staphylococcus	0.511353711310616	0.6	Ceratini	5
Paraburkholderia	0.115502700967272	0.6	Ceratini	5
Cupriavidus	0.421929628649168	0.846153846153846	Euglossini	26
Ochrobactrum	0.17795790500822	0.923076923076923	Euglossini	26
Asticcacaulis	0.125055091118617	0.846153846153846	Euglossini	26
Escherichia	0.903677351888291	1	Osmiini	11
Wolbachia	0.0121723682993618	0.636363636363636	Osmiini	11
Wolbachia	0.569750597448018	1	Andrenini	13
Ralstonia	0.662929634380061	0.863636363636364	Augochlorini	22
Streptococcus	0.100325436615627	0.681818181818182	Augochlorini	22
Apilactobacillus	0.0703731191557218	0.681818181818182	Augochlorini	22
Bombella	0.0565014279299917	0.545454545454545	Augochlorini	22
Escherichia	0.65773922194346	0.857142857142857	Meliponini	7
Staphylococcus	0.131396669749782	0.857142857142857	Meliponini	7
Bifidobacterium	0.0399562990446769	1	Meliponini	7
Neisseria	0.0087385034121026	0.571428571428571	Meliponini	7
Snodgrassella	0.0133538073004884	0.714285714285714	Meliponini	7
Lactobacillus: Firm-5	0.00691280273096294	0.857142857142857	Meliponini	7
Salmonella	0.00319670373082926	0.857142857142857	Meliponini	7
Klebsiella	0.000862626874953034	0.571428571428571	Meliponini	7
Enterobacteriaceae	0.00106423499943009	0.571428571428571	Meliponini	7
Streptococcus	0.000749152829396493	0.714285714285714	Meliponini	7
