TaxID	Sample	NoReads	TotReads	RelAbundance	AvgRelAbundance	Prevalence	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Tribe	Continent	tax_name	genus	family	order	class	phylum
TRH29	SRR3948564	5489	5652	0.971160651096957	0.662929634380061	0.863636363636364	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	May	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Augochlorini	North America	Ralstonia	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
TRH29	SRR3948566	1901	1965	0.967430025445293	0.662929634380061	0.863636363636364	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Augochlorini	North America	Ralstonia	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
TRH29	SRR3948550	2693	2809	0.958704165183339	0.662929634380061	0.863636363636364	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	April	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Augochlorini	North America	Ralstonia	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
TRH29	SRR3948554	1910	2051	0.931253047294003	0.662929634380061	0.863636363636364	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	May	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Augochlorini	North America	Ralstonia	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
TRH29	SRR3948563	2516	2717	0.926021347073979	0.662929634380061	0.863636363636364	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	March	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Augochlorini	North America	Ralstonia	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
TRH29	SRR3948540	1996	2162	0.923219241443108	0.662929634380061	0.863636363636364	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	May	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Augochlorini	North America	Ralstonia	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
TRH29	SRR3948531	2783	3115	0.893418940609952	0.662929634380061	0.863636363636364	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Augochlorini	North America	Ralstonia	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
TRH57	SRR3948548	205	230	0.891304347826087	0.100325436615627	0.681818181818182	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Augochlorini	North America	Streptococcus	Streptococcus	Streptococcaceae	Lactobacillales	Bacilli	Firmicutes
TRH29	SRR3948528	2032	2286	0.888888888888889	0.662929634380061	0.863636363636364	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	July	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Augochlorini	North America	Ralstonia	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
TRH29	SRR3948560	1867	2112	0.883996212121212	0.662929634380061	0.863636363636364	Megalopta genalis	Polymorphic	Female	whole body	Panama	RNA	PRJNA331103	2014	May	Paired	POLYA	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Megalopta	Augochlorini	North America	Ralstonia	Ralstonia	Burkholderiaceae	Burkholderiales	Betaproteobacteria	Proteobacteria
