TaxID	Sample	NoReads	TotReads	RelAbundance	AvgRelAbundance	Prevalence	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Tribe	Continent	tax_name	genus	family	order	class	phylum
TRH7	SRR12245258	6237	6255	0.997122302158273	0.310746886413504	0.56140350877193	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646816	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Bombini	Asia	Escherichia	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria
TRH7	SRR12233573	4190	4212	0.994776828110161	0.310746886413504	0.56140350877193	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646593	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Bombini	Asia	Escherichia	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria
TRH7	SRR6148374	150682	151773	0.992811633162684	0.310746886413504	0.56140350877193	Bombus terrestris	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Bombini	Europe	Escherichia	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria
TRH7	SRR6148368	161972	163462	0.990884731619581	0.310746886413504	0.56140350877193	Bombus terrestris	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Bombini	Europe	Escherichia	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria
TRH7	SRR6148378	94759	95961	0.987474078010859	0.310746886413504	0.56140350877193	Bombus pascuorum	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Bombini	Europe	Escherichia	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria
TRH46	SRR14567220	14691	14887	0.986834150601196	0.201382220172958	0.298245614035088	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Bombini	North America	Chryseobacterium	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
TRH7	SRR6148370	276035	280645	0.983573553777904	0.310746886413504	0.56140350877193	Bombus terrestris	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Bombini	Europe	Escherichia	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria
TRH7	SRR6148372	240562	246224	0.97700467866658	0.310746886413504	0.56140350877193	Bombus pascuorum	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Bombini	Europe	Escherichia	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria
TRH46	SRR14567210	21665	22206	0.975637215167072	0.201382220172958	0.298245614035088	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Bombini	North America	Chryseobacterium	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
TRH7	SRR12245523	2733	2823	0.968119022316684	0.310746886413504	0.56140350877193	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646831	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Bombini	Asia	Escherichia	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria
TRH46	SRR14567221	37537	38788	0.967747757038259	0.201382220172958	0.298245614035088	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Bombini	North America	Chryseobacterium	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
TRH7	SRR6148376	228396	236316	0.966485553242269	0.310746886413504	0.56140350877193	Bombus pascuorum	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Bombini	Europe	Escherichia	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria
TRH46	SRR14567211	35882	37285	0.962370926646104	0.201382220172958	0.298245614035088	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Bombini	North America	Chryseobacterium	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
TRH46	SRR14567218	161630	168615	0.958574266820864	0.201382220172958	0.298245614035088	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Bombini	North America	Chryseobacterium	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
TRH46	SRR14567219	74983	78477	0.955477401021955	0.201382220172958	0.298245614035088	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Bombini	North America	Chryseobacterium	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
TRH7	SRR6148366	160577	168121	0.955127556938158	0.310746886413504	0.56140350877193	Bombus pascuorum	Eusocial	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	May	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Bombini	Europe	Escherichia	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria
TRH7	SRR12244814	7283	7655	0.951404310907903	0.310746886413504	0.56140350877193	Bombus pyrosoma	Eusocial	Unknown	whole body	China	RNA	PRJNA646806	2019	July	Paired	RT-PCR	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Bombus	Bombini	Asia	Escherichia	Escherichia	Enterobacteriaceae	Enterobacterales	Gammaproteobacteria	Proteobacteria
TRH46	SRR14567209	13001	13703	0.948770342260819	0.201382220172958	0.298245614035088	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Bombini	North America	Chryseobacterium	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
TRH46	SRR14567212	20195	21311	0.947632677959739	0.201382220172958	0.298245614035088	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Bombini	North America	Chryseobacterium	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
TRH46	SRR14567217	18289	19455	0.940066820868671	0.201382220172958	0.298245614035088	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Bombini	North America	Chryseobacterium	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
TRH46	SRR14567214	53754	57829	0.929533624997838	0.201382220172958	0.298245614035088	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Bombini	North America	Chryseobacterium	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
TRH46	SRR14567222	39933	43252	0.923263664108018	0.201382220172958	0.298245614035088	Bombus terricola	Eusocial	Unknown	abdomen	Canada	RNA	PRJNA730495	2021	NA	Paired	CDNA	Illumina HiSeq 4000	Illumina	Illumina HiSeq	Bombus	Bombini	North America	Chryseobacterium	Chryseobacterium	Weeksellaceae	Flavobacteriales	Flavobacteriia	Bacteroidota
