1	2	pvalue	padj
Europe	Oceania	0.004	0.06
Europe	Asia	0.151	0.3775
Europe	North America	0.059	0.3775
Europe	Africa	0.776	0.776
Europe	South America	0.772	0.776
Oceania	Asia	0.15	0.3775
Oceania	North America	0.224	0.48
Oceania	Africa	0.632	0.776
Oceania	South America	0.578	0.776
Asia	North America	0.11	0.3775
Asia	Africa	0.43	0.645
Asia	South America	0.37	0.616666666666667
North America	Africa	0.103	0.3775
North America	South America	0.676	0.776
Africa	South America	0.333333333333333	0.616666666666667
