TaxID	Sample	NoReads	TotReads	RelAbundance	AvgRelAbundance	Prevalence	Species	Sociality	Sex	Tissue	Location	NucleotideType	Project.Accession	YearCollected	Month	LibraryLayout	LibrarySelection	SequenceInstrument	Platform_Gen	Platform_Spec	Genus	Tribe	Continent	tax_name	genus	family	order	class	phylum
TRH803	SRR6148379	1236	1236	1	0.438906485307437	0.75	Osmia bicornis	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	May	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Nepovirus	NA	Nepovirus	Picornavirales	Pisoniviricetes	Pisuviricota
TRH793	SRR6148371	3303	5043	0.654967281380131	0.293722571066881	0.5	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Capillovirus	NA	Capillovirus	Tymovirales	Alsuviricetes	Kitrinoviricota
TRH806	SRR3383870	61	111	0.54954954954955	0.256061992711342	0.75	Osmia cornuta	Solitary	Female	head and abdomen (pooled 5 females)	Belgium	RNA	PRJNA318490	2015	NA	Single	CDNA	Ion Torrent PGM	Ion Torrent	Ion Torrent	Osmia	Osmiini	Europe	Fabavirus	NA	Fabavirus	Picornavirales	Pisoniviricetes	Pisuviricota
TRH793	SRR6148364	2701	5195	0.519923002887392	0.293722571066881	0.5	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Capillovirus	NA	Capillovirus	Tymovirales	Alsuviricetes	Kitrinoviricota
TRH803	SRR3383870	50	111	0.45045045045045	0.438906485307437	0.75	Osmia cornuta	Solitary	Female	head and abdomen (pooled 5 females)	Belgium	RNA	PRJNA318490	2015	NA	Single	CDNA	Ion Torrent PGM	Ion Torrent	Ion Torrent	Osmia	Osmiini	Europe	Nepovirus	NA	Nepovirus	Picornavirales	Pisoniviricetes	Pisuviricota
TRH806	SRR6148364	2259	5195	0.434841193455245	0.256061992711342	0.75	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Fabavirus	NA	Fabavirus	Picornavirales	Pisoniviricetes	Pisuviricota
TRH803	SRR6148371	1539	5043	0.305175490779298	0.438906485307437	0.75	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Nepovirus	NA	Nepovirus	Picornavirales	Pisoniviricetes	Pisuviricota
TRH806	SRR6148371	201	5043	0.0398572278405711	0.256061992711342	0.75	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Fabavirus	NA	Fabavirus	Picornavirales	Pisoniviricetes	Pisuviricota
TRH778	SRR6148364	140	5195	0.026948989412897	0.00673724735322425	0.25	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Iflavirus	NA	Iflavirus	Picornavirales	Pisoniviricetes	Pisuviricota
TRH780	SRR6148364	95	5195	0.0182868142444658	0.00457170356111646	0.25	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Gammaretrovirus	NA	Gammaretrovirus	Ortervirales	Revtraviricetes	Artverviricota
TRH778	SRR3383870	0	111	0	0.00673724735322425	0.25	Osmia cornuta	Solitary	Female	head and abdomen (pooled 5 females)	Belgium	RNA	PRJNA318490	2015	NA	Single	CDNA	Ion Torrent PGM	Ion Torrent	Ion Torrent	Osmia	Osmiini	Europe	Iflavirus	NA	Iflavirus	Picornavirales	Pisoniviricetes	Pisuviricota
TRH778	SRR6148371	0	5043	0	0.00673724735322425	0.25	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Iflavirus	NA	Iflavirus	Picornavirales	Pisoniviricetes	Pisuviricota
TRH778	SRR6148379	0	1236	0	0.00673724735322425	0.25	Osmia bicornis	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	May	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Iflavirus	NA	Iflavirus	Picornavirales	Pisoniviricetes	Pisuviricota
TRH780	SRR3383870	0	111	0	0.00457170356111646	0.25	Osmia cornuta	Solitary	Female	head and abdomen (pooled 5 females)	Belgium	RNA	PRJNA318490	2015	NA	Single	CDNA	Ion Torrent PGM	Ion Torrent	Ion Torrent	Osmia	Osmiini	Europe	Gammaretrovirus	NA	Gammaretrovirus	Ortervirales	Revtraviricetes	Artverviricota
TRH780	SRR6148371	0	5043	0	0.00457170356111646	0.25	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Gammaretrovirus	NA	Gammaretrovirus	Ortervirales	Revtraviricetes	Artverviricota
TRH780	SRR6148379	0	1236	0	0.00457170356111646	0.25	Osmia bicornis	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	May	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Gammaretrovirus	NA	Gammaretrovirus	Ortervirales	Revtraviricetes	Artverviricota
TRH793	SRR3383870	0	111	0	0.293722571066881	0.5	Osmia cornuta	Solitary	Female	head and abdomen (pooled 5 females)	Belgium	RNA	PRJNA318490	2015	NA	Single	CDNA	Ion Torrent PGM	Ion Torrent	Ion Torrent	Osmia	Osmiini	Europe	Capillovirus	NA	Capillovirus	Tymovirales	Alsuviricetes	Kitrinoviricota
TRH793	SRR6148379	0	1236	0	0.293722571066881	0.5	Osmia bicornis	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	May	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Capillovirus	NA	Capillovirus	Tymovirales	Alsuviricetes	Kitrinoviricota
TRH803	SRR6148364	0	5195	0	0.438906485307437	0.75	Osmia cornuta	Solitary	Female	pool of heads and abdomen	Belgium	RNA	PRJNA411946	2015	April	Paired	RANDOM	Illumina HiSeq 2500	Illumina	Illumina HiSeq	Osmia	Osmiini	Europe	Nepovirus	NA	Nepovirus	Picornavirales	Pisoniviricetes	Pisuviricota
