AM_N_068	BT_N_001	SRR10034523	SRR11440496	SRR11445089	SRR11445090	SRR11445091	SRR11448239	SRR11448240	SRR11448241	SRR12244814	SRR12527961	SRR13189063	SRR13189066	SRR13404632	SRR13404634	SRR13404636	SRR13404641	SRR13442813	SRR13442815	SRR13442827	SRR13442828	SRR13442829	SRR13442831	SRR13769013	SRR13769015	SRR13769016	SRR13769017	SRR13769019	SRR1380984	SRR15496106	SRR15496109	SRR15496114	SRR1790685	SRR1790687	SRR18500042	SRR18500043	SRR18500044	SRR18500050	SRR18500061	SRR18500077	SRR18500078	SRR18500080	SRR18500083	SRR18500085	SRR18500086	SRR18500088	SRR18500090	SRR2396633	SRR2396644	SRR2396654	SRR2396655	SRR3383870	SRR5109820	SRR5109826	SRR5109829	SRR5109831	SRR5109832	SRR5109833	SRR5117442	SRR5117444	SRR5117446	SRR5117447	SRR5117448	SRR5117449	SRR5117450	SRR5387735	SRR5387737	SRR5387738	SRR6148364	SRR6148369	SRR6148371	SRR6148372	SRR6148374	SRR6148376	SRR6148377	SRR6148378	SRR6148379	SRR8335255	SRR8754037	SRR8754040	SRR8754041	SRR8754042	SRR8754044	SRR8867392	SRR8867393	SRR8867394	SRR8867395
AM_N_068	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0170900900900901	1	0.982241441441441	0	1	1	1	1	1	1	1	1	1	0.922122522522523	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
BT_N_001	1	0	0.71267027027027	1	0.28732972972973	0.28732972972973	0.28732972972973	0.28732972972973	0.28732972972973	0.28732972972973	1	0.71267027027027	0.71267027027027	0.71267027027027	1	1	1	0.71267027027027	1	1	1	1	1	1	0.28732972972973	1	0.28732972972973	0.28732972972973	1	1	0.71267027027027	0.71267027027027	0.71267027027027	1	1	1	0.71267027027027	1	1	1	1	0.71267027027027	0.71267027027027	1	0.71267027027027	1	1	0.71267027027027	0.227328828828829	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.71267027027027	1	1	1	1	1	0.71267027027027	1	0.71267027027027	1	1	0.71267027027027	0.973085585585586	1	1	1	1	1	0.71267027027027	0.28732972972973	1	0.71267027027027	0.71267027027027	0.71267027027027	0.71267027027027	0.71267027027027	0.71267027027027	1	1	1	1
SRR10034523	1	0.71267027027027	0	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	1	0.0124225225225225	1	1	1	1	0	0	1	0	1	1	0.00129189189189189	0.939999099099099	1	1	1	1	0.992861261261261	0.997686486486487	1	0.970940540540541	0.117686486486486	1	1	1	1	1	0.011245045045045	1	0.25574954954955	1	1	0	0.973085585585586	1	1	1	1	1	0	1	1	0	0	0	0.271427027027027	0	0	1	1	1	1
SRR11440496	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.993412612612613	1	1	1	1	0.965490990990991	1	1	1	1	1	1	1	0.981802702702703	1	1	1	0.929294594594595	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SRR11445089	1	0.28732972972973	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0194216216216216	1	0	0.0231135135135135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0600009009009009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
SRR11445090	1	0.28732972972973	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0194216216216216	1	0	0.0231135135135135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0600009009009009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
SRR11445091	1	0.28732972972973	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0194216216216216	1	0	0.0231135135135135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0600009009009009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
SRR11448239	1	0.28732972972973	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0194216216216216	1	0	0.0231135135135135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0600009009009009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
SRR11448240	1	0.28732972972973	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0194216216216216	1	0	0.0231135135135135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0600009009009009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
SRR11448241	1	0.28732972972973	1	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0194216216216216	1	0	0.0231135135135135	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0.0600009009009009	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
