Variable	DF	R2	F	pvalue	adjP	Significance	Dispersion
Sociality	1	0.0186883179602768	1.61875890779341	0.1121	0.155555555555556		NonSig Dispersed
Sociality 	2	0.0430523395436546	1.88954771044762	0.0226	0.0452	*	NonSig Dispersed
Sex	2	0.0697417488098468	3.14875299011438	2e-04	0.001	*	Sig Dispersed
Year Collected	1	0.0085566091704391	0.733588812245515	0.6544	0.6544		NonSig Dispersed
Library Layout	1	0.0639863652796593	5.81064297252042	1e-04	0.001	*	Sig Dispersed
Platform	6	0.127002255020256	1.93971108173867	4e-04	0.001	*	Sig Dispersed
Host Family	2	0.0298981374181508	1.29442259622132	0.1292	0.155555555555556		Sig Dispersed
Host Tribe	4	0.0614089853049	1.34124893488289	0.0606	0.101		Sig Dispersed
Continent	5	0.0706465182254404	1.23147286548797	0.14	0.155555555555556		Sig Dispersed
Tissue Type	6	0.13659676039463	2.10943167114767	3e-04	0.001	*	Sig Dispersed
