Variable	Factor_Levels	AvgDistanceToMedian	ANOVA_DF	ANOVA_Fvalue	ANOVA_pvalue	adj_pvalue	Sig
Sociality	O. Eusocial,Solitary	0.642582062216971,0.500000013527173	1	3.54876127702499	0.063091496446817	0.115667743485831	Non-Sig
Sex	Female,Queen,Unknown	0.632973939293968,1.37333013910121e-14,0.634280234353537	2	48.3788844067645	1.32894194596904e-14	1.46183614056595e-13	Sig
Year Collected	2012,2013,2014,2015,2016,2017,2018,2019,2020,2021	0.600551944264863,0.500000005657052,0.494243240810138,0.555753491812885,0,0.503101067263831,0.46442475580189,0.573581101691712,0.347627617063224,0.628886260446633	9	0.639389825522394	0.759898833869652	0.835888717256618	Non-Sig
Month Collected	April,August,December,January,July,June,March,May,November,October,September	0.563885160469581,0.577156245953394,0,0,0.579979368476944,0,0.578884953306775,0.534097773383009,0.500000018673799,0.591478415325057,0.576912865628034	10	1.4341522466297	0.206393888245113	0.324333252956606	Non-Sig
Library Layout	Paired,Single	0.63908266978283,0.200000000000012	1	39.6678888911172	1.36625895394098e-08	5.00961616445025e-08	Sig
Library Selection	CDNA,PCR,POLYA,RANDOM,RT-PCR	0.582846411722124,0.59619543836083,0.607644989595758,0.591997932282125,0.601308683014827	4	0.0184949359688902	0.999311384933753	0.999311384933753	Non-Sig
Platform	BGISEQ,Illumina Genome Analyzer,Illumina HiSeq,Illumina NextSeq,Illumina NovaSeq,Ion Torrent,MGI	0.406871678204126,1.37333013910121e-14,0.627842743221063,0.632103884198255,0.613504487842875,0,0.577358137644054	6	9.07386126186423	1.60412454777055e-07	4.41134250636901e-07	Sig
Host Family	Apidae,Megachilidae	0.642582062216971,0.500000013527173	1	3.54876127702499	0.063091496446817	0.115667743485831	Non-Sig
Host Tribe	Apini,Bombini,Osmiini	0.631579458223944,0.629567495052185,0.500000013527173	2	1.31204469131206	0.274861304738545	0.377934294015499	Non-Sig
Continent	Africa,Asia,Europe,North America,Oceania	0.56031185705517,0.640682339999485,0.622574533894696,0.625545808529829,0.611715338312206	4	0.662375276531496	0.619954055330214	0.757721623181372	Non-Sig
Tissue Type	abdomen,abdomen and fatbody,abdomen and fatbody, pooled,abdomen and head, pooled,gut,whole body,whole body, pooled	0.590394275400023,1.37333013910121e-14,3.15420020890391e-14,0.606058049891449,0.49513288901366,0.634447255547429,0.602388765080263	6	11.8715097717039	2.02572670714222e-09	1.11414968892822e-08	Sig
