Tax_ID	Microbial_Genus	Sociality
TRH788	NA	F. Eusocial, O. Eusocial
TRH776	NA	O. Eusocial
TRH777	NA	O. Eusocial
TRH778	NA	O. Eusocial, Solitary
TRH780	NA	O. Eusocial, Solitary
TRH787	NA	O. Eusocial
TRH788	NA	F. Eusocial, O. Eusocial
TRH792	NA	O. Eusocial
TRH793	NA	O. Eusocial, Solitary
TRH795	NA	O. Eusocial
TRH803	NA	O. Eusocial, Solitary
TRH804	NA	O. Eusocial
TRH806	NA	O. Eusocial, Solitary
TRH778	NA	O. Eusocial, Solitary
TRH780	NA	O. Eusocial, Solitary
TRH793	NA	O. Eusocial, Solitary
TRH803	NA	O. Eusocial, Solitary
TRH806	NA	O. Eusocial, Solitary
